sales_order_id,customer_id,customer_level,order_created_at,promised_delivery_at,order_status,currency,order_amount,gross_profit,penalty_cost,sales_region,line_count,updated_at
SO-202602-000030,CUS-0075,C,2026-02-12T04:13:00+08:00,2026-02-19T04:13:00+08:00,confirmed,CNY,138300.41,58397.18,1106.4,成都,2,2026-03-08T04:13:00+08:00
SO-202605-000031,CUS-0071,C,2026-05-01T04:37:00+08:00,2026-05-05T16:37:00+08:00,confirmed,CNY,8112226.04,2966633.85,64897.81,杭州,5,2026-05-12T04:37:00+08:00
SO-202512-000032,CUS-0050,B,2025-12-19T06:44:00+08:00,2025-12-23T06:44:00+08:00,shipped,CNY,2022966.63,868201.23,36413.4,上海,4,2026-01-30T06:44:00+08:00
SO-202510-000033,CUS-0019,B,2025-10-17T05:36:00+08:00,2025-10-20T05:36:00+08:00,at_risk,CNY,7444437.7,2996269.58,133999.88,合肥,1,2025-11-07T05:36:00+08:00
SO-202511-000034,CUS-0107,B,2025-11-26T16:37:00+08:00,2025-11-29T04:37:00+08:00,confirmed,CNY,4190154.45,2005324.13,75422.78,成都,2,2025-12-26T16:37:00+08:00
SO-202601-000035,CUS-0083,B,2026-01-02T10:25:00+08:00,2026-01-07T10:25:00+08:00,delivered,CNY,1400620.12,356190.48,25211.16,苏州,2,2026-01-19T10:25:00+08:00
SO-202510-000036,CUS-0042,A,2025-10-28T13:37:00+08:00,2025-10-30T01:37:00+08:00,confirmed,CNY,6371941.65,2137179.93,223017.96,东莞,4,2025-11-25T13:37:00+08:00
SO-202602-000037,CUS-0059,C,2026-02-03T18:35:00+08:00,2026-02-09T06:35:00+08:00,delivered,CNY,4614541.6,1173897.48,36916.33,天津,5,2026-03-02T18:35:00+08:00
SO-202605-000038,CUS-0107,B,2026-05-06T04:29:00+08:00,2026-05-11T04:29:00+08:00,delivered,CNY,13251944.52,5600002.93,238535.0,成都,5,2026-05-14T04:29:00+08:00
SO-202606-000039,CUS-0044,B,2026-06-12T15:20:00+08:00,2026-06-16T03:20:00+08:00,delivered,CNY,201128.21,79739.19,3620.31,宁波,1,2026-06-15T08:00:00+08:00
SO-202602-000040,CUS-0114,B,2026-02-11T16:47:00+08:00,2026-02-15T16:47:00+08:00,at_risk,CNY,6330612.9,2723095.22,113951.03,苏州,4,2026-02-25T16:47:00+08:00
SO-202512-000041,CUS-0071,C,2025-12-05T23:05:00+08:00,2025-12-10T11:05:00+08:00,at_risk,CNY,3829127.22,1311616.98,30633.02,杭州,5,2025-12-10T23:05:00+08:00
SO-202606-000042,CUS-0017,C,2026-06-05T04:46:00+08:00,2026-06-12T04:46:00+08:00,confirmed,CNY,5633292.75,2293342.03,45066.34,青岛,4,2026-06-15T08:00:00+08:00
SO-202602-000043,CUS-0047,B,2026-02-11T09:10:00+08:00,2026-02-14T09:10:00+08:00,delivered,CNY,3296254.65,715836.96,59332.58,东莞,2,2026-03-21T09:10:00+08:00
SO-202511-000044,CUS-0054,C,2025-11-12T17:57:00+08:00,2025-11-18T17:57:00+08:00,at_risk,CNY,3173470.6,1176253.5,25387.76,青岛,5,2025-12-01T17:57:00+08:00
SO-202512-000045,CUS-0023,A,2025-12-15T14:33:00+08:00,2025-12-18T02:33:00+08:00,shipped,CNY,3025890.21,1089882.09,105906.16,青岛,3,2026-01-23T14:33:00+08:00
SO-202511-000046,CUS-0100,B,2025-11-03T13:39:00+08:00,2025-11-06T13:39:00+08:00,confirmed,CNY,493386.96,130739.52,8880.97,成都,1,2025-12-15T13:39:00+08:00
SO-202601-000047,CUS-0001,C,2026-01-11T12:48:00+08:00,2026-01-17T12:48:00+08:00,delivered,CNY,7747363.03,3472531.5,61978.9,苏州,5,2026-02-06T12:48:00+08:00
SO-202605-000048,CUS-0032,A,2026-05-27T05:14:00+08:00,2026-05-29T05:14:00+08:00,delivered,CNY,1995823.36,614501.28,69853.82,苏州,5,2026-06-15T08:00:00+08:00
SO-202511-000049,CUS-0107,B,2025-11-26T18:16:00+08:00,2025-11-30T06:16:00+08:00,shipped,CNY,8619600.04,3544447.12,155152.8,成都,5,2025-12-08T18:16:00+08:00
SO-202511-000050,CUS-0027,B,2025-11-21T13:01:00+08:00,2025-11-26T13:01:00+08:00,shipped,CNY,3329392.28,1108459.96,59929.06,合肥,1,2025-12-04T13:01:00+08:00
SO-202509-000051,CUS-0081,B,2025-09-05T10:56:00+08:00,2025-09-09T10:56:00+08:00,delivered,CNY,2625494.62,1013371.67,47258.9,天津,4,2025-09-09T10:56:00+08:00
SO-202605-000052,CUS-0073,C,2026-05-05T03:21:00+08:00,2026-05-09T15:21:00+08:00,cancelled,CNY,1417886.71,518338.75,11343.09,成都,2,2026-05-15T03:21:00+08:00
SO-202604-000053,CUS-0078,B,2026-04-05T23:45:00+08:00,2026-04-09T11:45:00+08:00,delivered,CNY,361187.25,172658.53,6501.37,武汉,2,2026-05-05T23:45:00+08:00
SO-202506-000054,CUS-0080,B,2025-06-24T08:01:00+08:00,2025-06-28T08:01:00+08:00,delivered,CNY,1257115.35,419510.61,22628.08,武汉,2,2025-08-06T08:01:00+08:00
SO-202511-000055,CUS-0068,A,2025-11-11T19:02:00+08:00,2025-11-15T19:02:00+08:00,confirmed,CNY,3609747.18,1427494.62,126341.15,成都,2,2025-11-13T19:02:00+08:00
SO-202510-000056,CUS-0076,B,2025-10-04T10:56:00+08:00,2025-10-08T10:56:00+08:00,confirmed,CNY,5275080.6,2201200.24,94951.45,杭州,4,2025-10-26T10:56:00+08:00
SO-202507-000057,CUS-0095,B,2025-07-06T16:26:00+08:00,2025-07-09T04:26:00+08:00,delivered,CNY,2683977.86,1114393.63,48311.6,苏州,3,2025-07-22T16:26:00+08:00
SO-202510-000058,CUS-0030,B,2025-10-31T15:39:00+08:00,2025-11-04T03:39:00+08:00,delivered,CNY,1325870.86,506572.16,23865.68,上海,2,2025-11-26T15:39:00+08:00
SO-202507-000059,CUS-0079,C,2025-07-04T17:14:00+08:00,2025-07-09T17:14:00+08:00,shipped,CNY,4184748.86,1627510.58,33477.99,东莞,3,2025-08-18T17:14:00+08:00
SO-202511-000060,CUS-0097,B,2025-11-29T00:58:00+08:00,2025-12-04T00:58:00+08:00,delivered,CNY,4748602.79,2088970.59,85474.85,杭州,5,2025-12-03T00:58:00+08:00
SO-202511-000061,CUS-0005,A,2025-11-09T14:04:00+08:00,2025-11-11T02:04:00+08:00,delivered,CNY,8482419.17,3762309.05,296884.67,青岛,5,2025-11-19T14:04:00+08:00
SO-202601-000062,CUS-0082,C,2026-01-08T06:55:00+08:00,2026-01-12T18:55:00+08:00,at_risk,CNY,1963833.41,750631.16,15710.67,武汉,1,2026-01-12T06:55:00+08:00
SO-202509-000063,CUS-0107,B,2025-09-09T22:57:00+08:00,2025-09-12T10:57:00+08:00,delivered,CNY,1363827.68,519188.46,24548.9,成都,3,2025-09-27T22:57:00+08:00
SO-202601-000064,CUS-0003,A,2026-01-25T18:26:00+08:00,2026-01-27T18:26:00+08:00,cancelled,CNY,433094.21,172766.59,15158.3,杭州,2,2026-02-20T18:26:00+08:00
SO-202510-000065,CUS-0030,B,2025-10-26T20:27:00+08:00,2025-10-31T20:27:00+08:00,delivered,CNY,1725010.31,433278.15,31050.19,上海,4,2025-11-03T20:27:00+08:00
SO-202602-000066,CUS-0095,B,2026-02-17T15:04:00+08:00,2026-02-20T15:04:00+08:00,cancelled,CNY,1620049.23,481589.13,29160.89,苏州,3,2026-03-09T15:04:00+08:00
SO-202603-000067,CUS-0062,B,2026-03-13T19:32:00+08:00,2026-03-17T07:32:00+08:00,overdue,CNY,1400694.53,297923.01,25212.5,苏州,1,2026-03-13T19:32:00+08:00
SO-202512-000068,CUS-0070,A,2025-12-14T14:29:00+08:00,2025-12-17T02:29:00+08:00,confirmed,CNY,54431.2,24465.79,1905.09,苏州,1,2026-01-22T14:29:00+08:00
SO-202507-000069,CUS-0030,B,2025-07-29T07:09:00+08:00,2025-08-01T07:09:00+08:00,shipped,CNY,811911.94,237880.86,14614.41,上海,3,2025-09-11T07:09:00+08:00
SO-202509-000070,CUS-0082,C,2025-09-27T13:58:00+08:00,2025-10-03T13:58:00+08:00,confirmed,CNY,1191633.59,327443.71,9533.07,武汉,2,2025-10-11T13:58:00+08:00
SO-202605-000071,CUS-0118,C,2026-05-20T04:22:00+08:00,2026-05-24T16:22:00+08:00,delivered,CNY,3845200.16,1357920.87,30761.6,上海,4,2026-05-28T04:22:00+08:00
SO-202603-000072,CUS-0059,C,2026-03-06T14:01:00+08:00,2026-03-11T02:01:00+08:00,delivered,CNY,3562373.83,984299.52,28498.99,天津,3,2026-04-11T14:01:00+08:00
SO-202512-000073,CUS-0024,B,2025-12-22T04:31:00+08:00,2025-12-24T16:31:00+08:00,delivered,CNY,2617480.7,1156259.36,47114.65,合肥,4,2026-01-08T04:31:00+08:00
SO-202602-000074,CUS-0077,B,2026-02-12T17:22:00+08:00,2026-02-16T05:22:00+08:00,overdue,CNY,1721925.2,583498.78,30994.65,东莞,2,2026-03-22T17:22:00+08:00
SO-202601-000075,CUS-0040,C,2026-01-17T15:00:00+08:00,2026-01-22T15:00:00+08:00,at_risk,CNY,2889502.19,1038572.44,23116.02,合肥,2,2026-01-20T15:00:00+08:00
SO-202509-000076,CUS-0104,C,2025-09-01T06:37:00+08:00,2025-09-07T06:37:00+08:00,delivered,CNY,3577266.66,1595412.47,28618.13,武汉,4,2025-09-05T06:37:00+08:00
SO-202511-000077,CUS-0001,C,2025-11-28T23:45:00+08:00,2025-12-03T11:45:00+08:00,delivered,CNY,877263.7,218818.86,7018.11,苏州,3,2026-01-03T23:45:00+08:00
SO-202506-000078,CUS-0029,B,2025-06-26T21:36:00+08:00,2025-06-29T09:36:00+08:00,shipped,CNY,6785126.51,2211757.77,122132.28,武汉,4,2025-07-27T21:36:00+08:00
SO-202508-000079,CUS-0102,A,2025-08-07T21:20:00+08:00,2025-08-10T21:20:00+08:00,delivered,CNY,426550.88,139449.6,14929.28,青岛,1,2025-08-12T21:20:00+08:00
SO-202508-000080,CUS-0025,B,2025-08-02T19:08:00+08:00,2025-08-07T19:08:00+08:00,at_risk,CNY,154723.78,29564.69,2785.03,东莞,1,2025-09-10T19:08:00+08:00
SO-202509-000081,CUS-0094,C,2025-09-06T12:16:00+08:00,2025-09-12T12:16:00+08:00,delivered,CNY,7749100.0,2770826.11,61992.8,宁波,5,2025-09-23T12:16:00+08:00
SO-202602-000082,CUS-0001,C,2026-02-07T17:37:00+08:00,2026-02-14T17:37:00+08:00,at_risk,CNY,172098.79,54503.6,1376.79,苏州,1,2026-03-05T17:37:00+08:00
SO-202511-000083,CUS-0074,C,2025-11-23T01:50:00+08:00,2025-11-27T13:50:00+08:00,at_risk,CNY,1520539.78,490995.47,12164.32,苏州,3,2025-12-30T01:50:00+08:00
SO-202601-000084,CUS-0062,B,2026-01-02T04:35:00+08:00,2026-01-04T16:35:00+08:00,delivered,CNY,1763610.79,663811.27,31744.99,苏州,3,2026-01-14T04:35:00+08:00
SO-202601-000085,CUS-0001,C,2026-01-26T10:18:00+08:00,2026-02-02T10:18:00+08:00,delivered,CNY,3997020.03,1594455.27,31976.16,苏州,3,2026-03-08T10:18:00+08:00
SO-202509-000086,CUS-0076,B,2025-09-24T11:55:00+08:00,2025-09-27T11:55:00+08:00,shipped,CNY,22612.4,7308.32,407.02,杭州,1,2025-10-12T11:55:00+08:00
SO-202603-000087,CUS-0082,C,2026-03-11T07:50:00+08:00,2026-03-18T07:50:00+08:00,shipped,CNY,269820.45,114408.14,2158.56,武汉,3,2026-03-18T07:50:00+08:00
SO-202507-000088,CUS-0032,A,2025-07-20T00:56:00+08:00,2025-07-22T12:56:00+08:00,delivered,CNY,3491098.84,1025168.53,122188.46,苏州,4,2025-08-26T00:56:00+08:00
SO-202603-000089,CUS-0119,B,2026-03-02T09:09:00+08:00,2026-03-07T09:09:00+08:00,delivered,CNY,2116514.69,486214.01,38097.26,苏州,3,2026-04-15T09:09:00+08:00
SO-202605-000090,CUS-0059,C,2026-05-04T08:03:00+08:00,2026-05-11T08:03:00+08:00,delivered,CNY,6524518.22,2342023.21,52196.15,天津,5,2026-05-15T08:03:00+08:00
SO-202604-000091,CUS-0013,B,2026-04-13T07:39:00+08:00,2026-04-16T19:39:00+08:00,at_risk,CNY,3897263.38,913317.62,70150.74,成都,1,2026-05-05T07:39:00+08:00
SO-202605-000092,CUS-0023,A,2026-05-22T15:59:00+08:00,2026-05-26T15:59:00+08:00,shipped,CNY,3057977.93,1324566.62,107029.23,青岛,2,2026-06-07T15:59:00+08:00
SO-202507-000093,CUS-0010,B,2025-07-06T01:31:00+08:00,2025-07-10T01:31:00+08:00,delivered,CNY,11020470.27,4292517.24,198368.46,合肥,5,2025-07-27T01:31:00+08:00
SO-202605-000094,CUS-0033,B,2026-05-04T22:07:00+08:00,2026-05-07T22:07:00+08:00,cancelled,CNY,1992222.59,571291.79,35860.01,青岛,1,2026-06-03T22:07:00+08:00
SO-202509-000095,CUS-0031,C,2025-09-23T15:35:00+08:00,2025-09-30T15:35:00+08:00,shipped,CNY,295458.02,117735.86,2363.66,青岛,1,2025-10-06T15:35:00+08:00
SO-202603-000096,CUS-0115,C,2026-03-29T21:56:00+08:00,2026-04-03T09:56:00+08:00,overdue,CNY,2363960.46,575669.52,18911.68,东莞,1,2026-05-01T21:56:00+08:00
SO-202508-000097,CUS-0089,B,2025-08-26T07:43:00+08:00,2025-08-29T19:43:00+08:00,shipped,CNY,761628.2,301693.8,13709.31,宁波,1,2025-09-02T07:43:00+08:00
SO-202508-000098,CUS-0053,B,2025-08-18T08:38:00+08:00,2025-08-23T08:38:00+08:00,shipped,CNY,3648149.6,1385355.0,65666.69,成都,5,2025-08-29T08:38:00+08:00
SO-202601-000099,CUS-0032,A,2026-01-23T19:56:00+08:00,2026-01-25T07:56:00+08:00,delivered,CNY,225377.1,97349.61,7888.2,苏州,2,2026-02-08T19:56:00+08:00
SO-202509-000100,CUS-0059,C,2025-09-27T08:17:00+08:00,2025-10-03T08:17:00+08:00,cancelled,CNY,1762536.24,768348.52,14100.29,天津,2,2025-11-07T08:17:00+08:00
SO-202511-000101,CUS-0054,C,2025-11-14T21:21:00+08:00,2025-11-20T21:21:00+08:00,delivered,CNY,204445.05,91630.36,1635.56,青岛,2,2025-11-21T21:21:00+08:00
SO-202508-000102,CUS-0062,B,2025-08-23T12:38:00+08:00,2025-08-26T00:38:00+08:00,delivered,CNY,1223466.13,528220.79,22022.39,苏州,1,2025-10-06T12:38:00+08:00
SO-202510-000103,CUS-0047,B,2025-10-07T01:45:00+08:00,2025-10-09T13:45:00+08:00,confirmed,CNY,5944839.26,2493381.52,107007.11,东莞,5,2025-10-08T01:45:00+08:00
SO-202511-000104,CUS-0016,C,2025-11-08T19:01:00+08:00,2025-11-13T19:01:00+08:00,confirmed,CNY,2562721.29,746918.92,20501.77,杭州,1,2025-12-21T19:01:00+08:00
SO-202508-000105,CUS-0070,A,2025-08-18T13:11:00+08:00,2025-08-21T01:11:00+08:00,delivered,CNY,8568875.09,3815669.01,299910.63,苏州,4,2025-09-13T13:11:00+08:00
SO-202509-000106,CUS-0003,A,2025-09-14T13:19:00+08:00,2025-09-16T13:19:00+08:00,at_risk,CNY,4728871.58,1596157.16,165510.51,杭州,4,2025-09-27T13:19:00+08:00
SO-202606-000107,CUS-0073,C,2026-06-14T01:46:00+08:00,2026-06-19T13:46:00+08:00,at_risk,CNY,1301100.86,455911.32,10408.81,成都,4,2026-06-15T08:00:00+08:00
SO-202604-000108,CUS-0096,C,2026-04-27T18:04:00+08:00,2026-05-04T18:04:00+08:00,confirmed,CNY,2639166.25,838797.53,21113.33,苏州,4,2026-05-31T18:04:00+08:00
SO-202507-000109,CUS-0058,C,2025-07-22T22:32:00+08:00,2025-07-27T10:32:00+08:00,overdue,CNY,2807995.54,1161094.91,22463.96,苏州,3,2025-08-08T22:32:00+08:00
SO-202509-000110,CUS-0101,C,2025-09-05T12:28:00+08:00,2025-09-10T12:28:00+08:00,delivered,CNY,3044364.65,1408762.65,24354.92,武汉,2,2025-10-10T12:28:00+08:00
SO-202602-000111,CUS-0058,C,2026-02-12T02:32:00+08:00,2026-02-17T14:32:00+08:00,delivered,CNY,2932062.12,710536.57,23456.5,苏州,3,2026-02-18T02:32:00+08:00
SO-202602-000112,CUS-0106,A,2026-02-08T07:36:00+08:00,2026-02-09T19:36:00+08:00,shipped,CNY,4731227.39,1678761.92,165592.96,天津,5,2026-03-11T07:36:00+08:00
SO-202510-000113,CUS-0117,C,2025-10-04T02:03:00+08:00,2025-10-11T02:03:00+08:00,at_risk,CNY,3445431.32,1007148.97,27563.45,苏州,4,2025-10-09T02:03:00+08:00
SO-202507-000114,CUS-0051,C,2025-07-28T09:41:00+08:00,2025-08-02T21:41:00+08:00,delivered,CNY,3983131.35,1461671.74,31865.05,武汉,1,2025-08-08T09:41:00+08:00
SO-202602-000115,CUS-0026,B,2026-02-07T19:13:00+08:00,2026-02-11T19:13:00+08:00,overdue,CNY,6635411.21,2280416.91,119437.4,天津,5,2026-03-05T19:13:00+08:00
SO-202506-000116,CUS-0096,C,2025-06-22T21:04:00+08:00,2025-06-27T09:04:00+08:00,confirmed,CNY,772527.76,282494.88,6180.22,苏州,1,2025-07-25T21:04:00+08:00
SO-202507-000117,CUS-0089,B,2025-07-07T14:13:00+08:00,2025-07-10T14:13:00+08:00,confirmed,CNY,2395625.48,911676.25,43121.26,宁波,2,2025-08-09T14:13:00+08:00
SO-202511-000118,CUS-0004,B,2025-11-04T07:30:00+08:00,2025-11-09T07:30:00+08:00,delivered,CNY,806181.96,248998.9,14511.28,杭州,1,2025-11-26T07:30:00+08:00
SO-202602-000119,CUS-0084,C,2026-02-10T16:11:00+08:00,2026-02-16T16:11:00+08:00,shipped,CNY,2833180.14,1066515.2,22665.44,合肥,4,2026-03-21T16:11:00+08:00
SO-202606-000120,CUS-0051,C,2026-06-04T15:26:00+08:00,2026-06-10T15:26:00+08:00,delivered,CNY,114776.97,36433.21,918.22,武汉,1,2026-06-15T08:00:00+08:00
SO-202512-000121,CUS-0084,C,2025-12-23T16:45:00+08:00,2025-12-28T04:45:00+08:00,at_risk,CNY,1663585.76,631112.27,13308.69,合肥,2,2025-12-28T16:45:00+08:00
SO-202605-000122,CUS-0018,B,2026-05-31T10:41:00+08:00,2026-06-03T10:41:00+08:00,delivered,CNY,7910330.68,2760724.33,142385.95,宁波,5,2026-06-09T10:41:00+08:00
SO-202604-000123,CUS-0087,B,2026-04-20T02:54:00+08:00,2026-04-24T02:54:00+08:00,delivered,CNY,7582956.76,2097770.54,136493.22,天津,4,2026-05-11T02:54:00+08:00
SO-202602-000124,CUS-0084,C,2026-02-01T10:33:00+08:00,2026-02-06T10:33:00+08:00,confirmed,CNY,826520.33,252794.23,6612.16,合肥,4,2026-03-14T10:33:00+08:00
SO-202602-000125,CUS-0095,B,2026-02-15T22:38:00+08:00,2026-02-18T22:38:00+08:00,delivered,CNY,3565376.84,1273306.68,64176.78,苏州,3,2026-03-28T22:38:00+08:00
SO-202511-000126,CUS-0110,B,2025-11-11T05:18:00+08:00,2025-11-15T05:18:00+08:00,delivered,CNY,1221423.12,328571.12,21985.62,成都,1,2025-11-28T05:18:00+08:00
SO-202602-000127,CUS-0085,B,2026-02-23T21:12:00+08:00,2026-02-26T09:12:00+08:00,delivered,CNY,5219432.02,2328975.96,93949.78,青岛,4,2026-03-03T21:12:00+08:00
SO-202605-000128,CUS-0013,B,2026-05-10T20:05:00+08:00,2026-05-13T20:05:00+08:00,cancelled,CNY,1340590.62,243561.1,24130.63,成都,2,2026-06-15T08:00:00+08:00
SO-202604-000129,CUS-0048,A,2026-04-28T06:21:00+08:00,2026-04-30T18:21:00+08:00,shipped,CNY,9651952.64,3926037.93,337818.34,上海,4,2026-05-02T06:21:00+08:00
SO-202508-000130,CUS-0056,B,2025-08-11T17:13:00+08:00,2025-08-16T17:13:00+08:00,delivered,CNY,3373544.24,854322.39,60723.8,成都,4,2025-09-02T17:13:00+08:00
SO-202603-000131,CUS-0119,B,2026-03-26T19:18:00+08:00,2026-03-29T19:18:00+08:00,delivered,CNY,32333.06,12307.22,582.0,苏州,1,2026-05-10T19:18:00+08:00
SO-202604-000132,CUS-0043,C,2026-04-18T20:52:00+08:00,2026-04-23T20:52:00+08:00,at_risk,CNY,10468376.16,4981412.19,83747.01,武汉,3,2026-05-01T20:52:00+08:00
SO-202602-000133,CUS-0005,A,2026-02-21T14:16:00+08:00,2026-02-23T02:16:00+08:00,delivered,CNY,497826.71,180682.98,17423.94,青岛,1,2026-03-31T14:16:00+08:00
SO-202603-000134,CUS-0119,B,2026-03-05T16:43:00+08:00,2026-03-09T04:43:00+08:00,shipped,CNY,1946459.77,694343.55,35036.28,苏州,5,2026-03-27T16:43:00+08:00
SO-202601-000135,CUS-0073,C,2026-01-05T21:17:00+08:00,2026-01-11T21:17:00+08:00,delivered,CNY,8813069.56,3138270.05,70504.56,成都,5,2026-02-01T21:17:00+08:00
SO-202509-000136,CUS-0051,C,2025-09-25T21:33:00+08:00,2025-10-01T21:33:00+08:00,delivered,CNY,2530851.18,1045562.86,20246.81,武汉,4,2025-10-13T21:33:00+08:00
SO-202604-000137,CUS-0077,B,2026-04-21T03:45:00+08:00,2026-04-23T15:45:00+08:00,confirmed,CNY,4587206.76,1217715.68,82569.72,东莞,3,2026-04-24T03:45:00+08:00
SO-202511-000138,CUS-0089,B,2025-11-24T21:59:00+08:00,2025-11-29T21:59:00+08:00,cancelled,CNY,606520.88,200327.9,10917.38,宁波,2,2025-12-21T21:59:00+08:00
SO-202506-000139,CUS-0017,C,2025-06-24T03:06:00+08:00,2025-06-29T03:06:00+08:00,delivered,CNY,7253855.25,2900896.23,58030.84,青岛,4,2025-08-04T03:06:00+08:00
