supplier_performance_id,supplier_id,period,purchase_order_count,on_time_delivery_rate,defect_rate,average_delay_hours,emergency_response_hours,score
SP-006-2025-11,SUP-006,2025-11,30,0.8566,0.12,8.1,28.9,86.5
SP-006-2025-10,SUP-006,2025-10,17,0.8934,0.12,8.8,18.4,88.9
SP-006-2025-09,SUP-006,2025-09,11,0.8787,0.12,7.7,7.3,87.9
SP-006-2025-08,SUP-006,2025-08,63,0.8761,0.12,12.4,18.5,87.7
SP-006-2025-07,SUP-006,2025-07,61,0.8022,0.12,21.0,35.6,82.9
SP-007-2026-06,SUP-007,2026-06,48,0.9972,0.09834,3.2,15.0,96.4
SP-007-2026-05,SUP-007,2026-05,53,0.9625,0.0998,0,10.1,94.1
SP-007-2026-04,SUP-007,2026-04,7,0.8823,0.10001,8.9,30.2,88.9
SP-007-2026-03,SUP-007,2026-03,50,1.0,0.09392,5.2,33.8,96.7
SP-007-2026-02,SUP-007,2026-02,41,0.9853,0.09334,13.3,27.9,95.8
SP-007-2026-01,SUP-007,2026-01,48,0.8868,0.10936,0.2,2.8,88.8
SP-007-2025-12,SUP-007,2025-12,37,0.9241,0.10992,6.8,23.5,91.2
SP-007-2025-11,SUP-007,2025-11,44,0.957,0.10256,3.9,27.3,93.6
SP-007-2025-10,SUP-007,2025-10,48,0.9479,0.10921,2.1,18.8,92.8
SP-007-2025-09,SUP-007,2025-09,28,0.9243,0.1066,4.0,7.4,91.3
SP-007-2025-08,SUP-007,2025-08,45,0.9829,0.10277,0,4.7,95.3
SP-007-2025-07,SUP-007,2025-07,62,0.9141,0.10512,11.5,16.4,90.7
SP-008-2026-06,SUP-008,2026-06,58,0.8687,0.12,14.0,32.4,87.3
SP-008-2026-05,SUP-008,2026-05,40,0.8443,0.12,0,7.3,85.7
SP-008-2026-04,SUP-008,2026-04,27,0.8904,0.12,0.6,22.9,88.7
SP-008-2026-03,SUP-008,2026-03,5,0.8212,0.12,5.3,11.5,84.2
SP-008-2026-02,SUP-008,2026-02,61,0.913,0.12,10.4,24.8,90.1
SP-008-2026-01,SUP-008,2026-01,60,0.8397,0.12,12.8,11.6,85.4
SP-008-2025-12,SUP-008,2025-12,42,0.8299,0.12,12.1,8.0,84.7
SP-008-2025-11,SUP-008,2025-11,19,0.9251,0.12,4.6,5.6,90.9
SP-008-2025-10,SUP-008,2025-10,22,0.8137,0.12,17.6,14.0,83.7
SP-008-2025-09,SUP-008,2025-09,60,0.8904,0.12,9.4,22.6,88.7
SP-008-2025-08,SUP-008,2025-08,15,0.9059,0.12,11.2,6.6,89.7
SP-008-2025-07,SUP-008,2025-07,21,0.8878,0.12,9.1,27.6,88.5
SP-009-2026-06,SUP-009,2026-06,18,0.7805,0.10875,13.3,28.0,81.9
SP-009-2026-05,SUP-009,2026-05,5,0.7813,0.10354,24.9,14.2,82.2
SP-009-2026-04,SUP-009,2026-04,34,0.7376,0.11621,16.8,29.3,78.9
SP-009-2026-03,SUP-009,2026-03,9,0.7292,0.11233,22.2,12.6,78.5
SP-009-2026-02,SUP-009,2026-02,34,0.7778,0.11993,18.8,20.5,81.4
SP-009-2026-01,SUP-009,2026-01,58,0.79,0.11508,16.9,11.1,82.3
SP-009-2025-12,SUP-009,2025-12,62,0.8153,0.11731,16.7,7.5,83.9
SP-009-2025-11,SUP-009,2025-11,43,0.769,0.11853,21.7,19.7,80.8
SP-009-2025-10,SUP-009,2025-10,19,0.8272,0.10933,19.5,16.1,84.9
SP-009-2025-09,SUP-009,2025-09,53,0.7709,0.09656,26.0,21.7,81.7
SP-009-2025-08,SUP-009,2025-08,48,0.834,0.09761,13.3,4.1,85.8
SP-009-2025-07,SUP-009,2025-07,11,0.7634,0.11255,15.7,17.4,80.7
SP-010-2026-06,SUP-010,2026-06,47,0.9355,0.12,7.8,1.7,91.6
SP-010-2026-05,SUP-010,2026-05,32,0.9394,0.12,2.0,32.0,91.9
SP-010-2026-04,SUP-010,2026-04,32,0.9039,0.12,6.6,22.9,89.6
SP-010-2026-03,SUP-010,2026-03,34,0.8377,0.12,8.3,23.4,85.2
SP-010-2026-02,SUP-010,2026-02,27,0.8445,0.12,0,22.0,85.7
SP-010-2026-01,SUP-010,2026-01,42,0.9417,0.12,0,33.7,92.0
SP-010-2025-12,SUP-010,2025-12,16,0.8343,0.12,3.1,8.9,85.0
SP-010-2025-11,SUP-010,2025-11,60,0.8584,0.12,5.4,17.0,86.6
SP-010-2025-10,SUP-010,2025-10,45,0.8647,0.12,17.1,1.3,87.0
SP-010-2025-09,SUP-010,2025-09,19,0.885,0.12,10.7,9.7,88.3
SP-010-2025-08,SUP-010,2025-08,59,0.8641,0.12,5.8,23.4,87.0
SP-010-2025-07,SUP-010,2025-07,45,0.9426,0.12,1.6,8.3,92.1
SP-011-2026-06,SUP-011,2026-06,46,0.9474,0.0678,9.9,25.6,94.2
SP-011-2026-05,SUP-011,2026-05,18,0.8349,0.08931,19.5,3.3,86.1
SP-011-2026-04,SUP-011,2026-04,54,0.8673,0.06728,16.1,28.8,89.0
SP-011-2026-03,SUP-011,2026-03,5,0.9242,0.08349,4.2,20.6,92.1
SP-011-2026-02,SUP-011,2026-02,40,0.8466,0.08998,13.8,3.9,86.9
SP-011-2026-01,SUP-011,2026-01,59,0.8551,0.08447,7.7,30.4,87.6
SP-011-2025-12,SUP-011,2025-12,50,0.8553,0.07681,15.0,31.0,87.9
SP-011-2025-11,SUP-011,2025-11,32,0.8683,0.08278,11.6,17.7,88.5
SP-011-2025-10,SUP-011,2025-10,7,0.9357,0.07556,8.5,27.5,93.2
SP-011-2025-09,SUP-011,2025-09,13,0.86,0.08307,5.4,11.3,88.0
SP-011-2025-08,SUP-011,2025-08,51,0.8878,0.08345,9.2,29.4,89.8
SP-011-2025-07,SUP-011,2025-07,32,0.94,0.07031,1.3,4.4,93.6
SP-012-2026-06,SUP-012,2026-06,4,0.8545,0.12,11.6,16.4,86.3
SP-012-2026-05,SUP-012,2026-05,58,0.9178,0.12,0,35.2,90.5
SP-012-2026-04,SUP-012,2026-04,15,0.9136,0.12,0,6.9,90.2
SP-012-2026-03,SUP-012,2026-03,13,0.8933,0.12,4.9,18.2,88.9
SP-012-2026-02,SUP-012,2026-02,10,0.8814,0.12,19.3,16.8,88.1
SP-012-2026-01,SUP-012,2026-01,65,0.8648,0.12,8.3,32.0,87.0
SP-012-2025-12,SUP-012,2025-12,41,0.9439,0.12,10.7,28.7,92.2
SP-012-2025-11,SUP-012,2025-11,55,0.8521,0.12,14.5,4.7,86.2
SP-012-2025-10,SUP-012,2025-10,34,0.8917,0.12,2.0,31.5,88.8
SP-012-2025-09,SUP-012,2025-09,12,0.8789,0.12,9.2,33.9,87.9
SP-012-2025-08,SUP-012,2025-08,15,0.9208,0.12,4.7,34.1,90.7
SP-012-2025-07,SUP-012,2025-07,45,0.8608,0.12,19.4,15.6,86.8
SP-013-2026-06,SUP-013,2026-06,53,0.8601,0.12,7.0,4.8,86.7
SP-013-2026-05,SUP-013,2026-05,63,0.7978,0.12,17.6,21.2,82.7
SP-013-2026-04,SUP-013,2026-04,63,0.885,0.12,11.7,23.7,88.3
SP-013-2026-03,SUP-013,2026-03,52,0.8844,0.12,12.2,16.4,88.3
SP-013-2026-02,SUP-013,2026-02,20,0.7982,0.12,18.0,32.4,82.7
SP-013-2026-01,SUP-013,2026-01,63,0.8796,0.12,4.8,14.1,88.0
SP-013-2025-12,SUP-013,2025-12,52,0.8407,0.12,15.1,21.3,85.4
SP-013-2025-11,SUP-013,2025-11,49,0.7935,0.12,14.7,11.8,82.4
SP-013-2025-10,SUP-013,2025-10,45,0.8247,0.12,25.5,32.9,84.4
SP-013-2025-09,SUP-013,2025-09,9,0.7801,0.12,10.6,8.0,81.5
SP-013-2025-08,SUP-013,2025-08,32,0.7893,0.12,15.1,32.1,82.1
SP-013-2025-07,SUP-013,2025-07,50,0.7741,0.12,17.1,5.6,81.1
SP-014-2026-06,SUP-014,2026-06,35,0.8562,0.03666,15.1,2.4,89.4
SP-014-2026-05,SUP-014,2026-05,14,0.922,0.0226,3.3,22.7,94.1
SP-014-2026-04,SUP-014,2026-04,20,0.9287,0.02302,0,35.3,94.6
SP-014-2026-03,SUP-014,2026-03,6,0.8852,0.02747,15.8,17.9,91.6
SP-014-2026-02,SUP-014,2026-02,47,0.9449,0.02903,3.6,14.5,95.4
SP-014-2026-01,SUP-014,2026-01,30,0.868,0.02118,7.4,22.8,90.7
SP-014-2025-12,SUP-014,2025-12,11,0.9412,0.0191,15.3,12.2,95.5
SP-014-2025-11,SUP-014,2025-11,64,0.9622,0.02601,0.9,21.1,96.6
SP-014-2025-10,SUP-014,2025-10,44,0.9246,0.02389,19.4,24.5,94.3
SP-014-2025-09,SUP-014,2025-09,61,0.8988,0.01702,0,23.9,92.8
SP-014-2025-08,SUP-014,2025-08,15,0.9119,0.03008,7.7,35.3,93.2
SP-014-2025-07,SUP-014,2025-07,16,0.9314,0.02983,0,23.1,94.5
SP-015-2026-06,SUP-015,2026-06,27,0.7944,0.12,9.5,14.8,82.4
SP-015-2026-05,SUP-015,2026-05,28,0.8052,0.12,9.4,14.7,83.1
SP-015-2026-04,SUP-015,2026-04,60,0.7681,0.12,21.4,9.8,80.7
SP-015-2026-03,SUP-015,2026-03,52,0.7284,0.12,21.1,8.2,78.1
SP-015-2026-02,SUP-015,2026-02,16,0.7269,0.12,27.5,11.3,78.0
SP-015-2026-01,SUP-015,2026-01,9,0.6957,0.12,22.7,5.2,76.0
SP-015-2025-12,SUP-015,2025-12,44,0.7054,0.12,33.2,2.1,76.7
SP-015-2025-11,SUP-015,2025-11,11,0.7533,0.12,25.1,33.8,79.8
SP-015-2025-10,SUP-015,2025-10,40,0.8054,0.12,5.1,17.5,83.2
SP-015-2025-09,SUP-015,2025-09,32,0.773,0.12,12.3,10.0,81.0
SP-015-2025-08,SUP-015,2025-08,63,0.795,0.12,17.7,4.1,82.5
SP-015-2025-07,SUP-015,2025-07,45,0.723,0.12,11.2,15.6,77.8
SP-016-2026-06,SUP-016,2026-06,28,0.7519,0.11128,22.9,11.9,80.0
SP-016-2026-05,SUP-016,2026-05,58,0.7669,0.12,22.2,9.0,80.6
SP-016-2026-04,SUP-016,2026-04,62,0.6863,0.12,27.6,6.2,75.4
SP-016-2026-03,SUP-016,2026-03,55,0.7562,0.11807,28.7,35.0,80.0
SP-016-2026-02,SUP-016,2026-02,9,0.6969,0.12,27.3,30.3,76.1
SP-016-2026-01,SUP-016,2026-01,8,0.7419,0.11633,23.9,13.9,79.2
SP-016-2025-12,SUP-016,2025-12,60,0.7601,0.10555,15.5,19.0,80.7
SP-016-2025-11,SUP-016,2025-11,47,0.7298,0.11917,12.5,19.5,78.3
SP-016-2025-10,SUP-016,2025-10,57,0.6641,0.10846,31.5,5.6,74.4
SP-016-2025-09,SUP-016,2025-09,26,0.7581,0.11901,15.0,19.0,80.1
SP-016-2025-08,SUP-016,2025-08,27,0.7058,0.12,22.2,11.1,76.7
SP-016-2025-07,SUP-016,2025-07,25,0.6868,0.11619,14.7,10.1,75.6
SP-017-2026-06,SUP-017,2026-06,10,0.841,0.02889,19.8,10.8,88.7
SP-017-2026-05,SUP-017,2026-05,20,0.8873,0.03272,5.8,16.4,91.5
SP-017-2026-04,SUP-017,2026-04,42,0.8418,0.02262,8.9,23.0,88.9
SP-017-2026-03,SUP-017,2026-03,42,0.7892,0.01827,21.2,28.0,85.7
SP-017-2026-02,SUP-017,2026-02,9,0.8323,0.02143,19.4,18.9,88.4
SP-017-2026-01,SUP-017,2026-01,59,0.8542,0.02042,11.5,30.1,89.8
SP-017-2025-12,SUP-017,2025-12,29,0.8327,0.01821,13.6,16.8,88.5
SP-017-2025-11,SUP-017,2025-11,63,0.8416,0.02349,12.3,16.9,88.9
SP-017-2025-10,SUP-017,2025-10,57,0.858,0.03237,14.7,4.8,89.6
SP-017-2025-09,SUP-017,2025-09,8,0.8377,0.03956,17.0,18.6,88.1
SP-017-2025-08,SUP-017,2025-08,39,0.8463,0.03946,12.7,25.4,88.6
SP-017-2025-07,SUP-017,2025-07,40,0.8888,0.03592,0,15.2,91.5
SP-018-2026-06,SUP-018,2026-06,60,0.7173,0.02042,19.2,9.6,80.9
SP-018-2026-05,SUP-018,2026-05,35,0.7538,0.02247,23.8,33.6,83.2
SP-018-2026-04,SUP-018,2026-04,64,0.6741,0.01359,22.6,23.1,78.3
SP-018-2026-03,SUP-018,2026-03,64,0.6731,0.03322,30.1,13.8,77.6
SP-018-2026-02,SUP-018,2026-02,14,0.6856,0.02037,27.5,31.9,78.8
SP-018-2026-01,SUP-018,2026-01,51,0.7211,0.02389,19.5,17.6,81.0
SP-018-2025-12,SUP-018,2025-12,4,0.7309,0.02998,35.7,13.6,81.5
SP-018-2025-11,SUP-018,2025-11,14,0.7051,0.03498,27.2,11.3,79.6
SP-018-2025-10,SUP-018,2025-10,47,0.7171,0.03045,14.4,9.3,80.5
SP-018-2025-09,SUP-018,2025-09,64,0.6845,0.01653,40.2,33.6,78.9
SP-018-2025-08,SUP-018,2025-08,12,0.6726,0.0316,21.3,27.9,77.6
SP-018-2025-07,SUP-018,2025-07,18,0.6523,0.01153,28.1,26.9,77.0
SP-019-2026-06,SUP-019,2026-06,37,0.7418,0.10898,11.2,17.9,79.4
SP-019-2026-05,SUP-019,2026-05,41,0.7416,0.12,29.6,13.6,79.0
SP-019-2026-04,SUP-019,2026-04,34,0.7362,0.11437,11.5,16.1,78.8
SP-019-2026-03,SUP-019,2026-03,17,0.8253,0.12,30.4,1.2,84.4
SP-019-2026-02,SUP-019,2026-02,50,0.7337,0.10669,31.8,35.7,79.0
SP-019-2026-01,SUP-019,2026-01,13,0.768,0.1178,16.8,4.4,80.8
SP-019-2025-12,SUP-019,2025-12,19,0.8094,0.12,10.4,21.5,83.4
SP-019-2025-11,SUP-019,2025-11,60,0.751,0.11548,18.9,13.0,79.8
SP-019-2025-10,SUP-019,2025-10,23,0.7748,0.12,22.5,12.9,81.2
SP-019-2025-09,SUP-019,2025-09,6,0.7603,0.105,16.7,33.7,80.7
SP-019-2025-08,SUP-019,2025-08,36,0.7956,0.11696,13.2,11.6,82.6
SP-019-2025-07,SUP-019,2025-07,6,0.7545,0.11504,41.0,17.0,80.0
SP-020-2026-06,SUP-020,2026-06,37,0.7055,0.12,31.1,23.5,76.7
SP-020-2026-05,SUP-020,2026-05,60,0.8147,0.12,28.8,4.0,83.8
SP-020-2026-04,SUP-020,2026-04,48,0.7583,0.12,18.3,1.9,80.1
SP-020-2026-03,SUP-020,2026-03,64,0.7075,0.12,23.8,27.5,76.8
SP-020-2026-02,SUP-020,2026-02,25,0.8092,0.12,5.6,18.8,83.4
SP-020-2026-01,SUP-020,2026-01,42,0.7916,0.12,12.0,22.3,82.3
SP-020-2025-12,SUP-020,2025-12,44,0.7989,0.12,14.1,6.7,82.7
SP-020-2025-11,SUP-020,2025-11,36,0.7948,0.12,14.4,13.3,82.5
SP-020-2025-10,SUP-020,2025-10,49,0.7742,0.12,18.0,24.6,81.1
SP-020-2025-09,SUP-020,2025-09,9,0.792,0.12,23.2,10.0,82.3
SP-020-2025-08,SUP-020,2025-08,32,0.7266,0.12,19.8,31.2,78.0
SP-020-2025-07,SUP-020,2025-07,9,0.74,0.12,25.5,19.0,78.9
SP-021-2026-06,SUP-021,2026-06,27,0.9265,0.12,2.1,16.6,91.0
SP-021-2026-05,SUP-021,2026-05,14,0.8486,0.12,16.8,16.7,86.0
SP-021-2026-04,SUP-021,2026-04,43,0.88,0.12,7.6,23.4,88.0
SP-021-2026-03,SUP-021,2026-03,10,0.9034,0.12,10.7,4.7,89.5
SP-021-2026-02,SUP-021,2026-02,63,0.8706,0.12,9.8,5.3,87.4
SP-021-2026-01,SUP-021,2026-01,20,0.9287,0.12,11.2,6.5,91.2
SP-021-2025-12,SUP-021,2025-12,7,0.9296,0.12,0,4.8,91.2
SP-021-2025-11,SUP-021,2025-11,40,0.837,0.12,18.2,27.5,85.2
SP-021-2025-10,SUP-021,2025-10,45,0.9106,0.12,4.2,34.0,90.0
SP-021-2025-09,SUP-021,2025-09,61,0.9301,0.12,11.5,12.6,91.3
SP-021-2025-08,SUP-021,2025-08,60,0.9116,0.12,8.0,23.8,90.1
SP-021-2025-07,SUP-021,2025-07,10,0.8623,0.12,0,18.2,86.8
SP-022-2026-06,SUP-022,2026-06,57,0.8528,0.0897,6.5,3.8,87.3
SP-022-2026-05,SUP-022,2026-05,54,0.9029,0.08232,16.1,12.3,90.8
SP-022-2026-04,SUP-022,2026-04,16,0.8991,0.07297,6.1,28.8,90.9
SP-022-2026-03,SUP-022,2026-03,32,0.9356,0.07191,1.5,15.8,93.3
SP-022-2026-02,SUP-022,2026-02,45,0.8614,0.08606,11.7,2.1,88.0
SP-022-2026-01,SUP-022,2026-01,63,0.895,0.07104,11.7,34.9,90.7
SP-022-2025-12,SUP-022,2025-12,12,0.9012,0.08533,8.2,9.5,90.6
SP-022-2025-11,SUP-022,2025-11,63,0.8505,0.08055,9.6,15.6,87.5
SP-022-2025-10,SUP-022,2025-10,29,0.8828,0.0802,11.4,14.6,89.6
SP-022-2025-09,SUP-022,2025-09,38,0.9465,0.08242,0,8.6,93.6
SP-022-2025-08,SUP-022,2025-08,59,0.9426,0.08299,0.2,1.7,93.4
SP-022-2025-07,SUP-022,2025-07,26,0.8725,0.07161,24.0,27.9,89.2
SP-023-2026-06,SUP-023,2026-06,9,0.7766,0.07849,14.9,12.2,82.7
SP-023-2026-05,SUP-023,2026-05,30,0.7691,0.07609,18.0,27.4,82.3
SP-023-2026-04,SUP-023,2026-04,41,0.7752,0.0972,15.1,21.7,82.0
SP-023-2026-03,SUP-023,2026-03,34,0.7591,0.07943,13.4,4.2,81.6
SP-023-2026-02,SUP-023,2026-02,41,0.7866,0.09091,21.6,16.0,82.9
SP-023-2026-01,SUP-023,2026-01,37,0.6984,0.08677,25.2,28.1,77.4
SP-023-2025-12,SUP-023,2025-12,60,0.6777,0.07738,27.8,20.9,76.3
SP-023-2025-11,SUP-023,2025-11,45,0.769,0.08658,18.8,7.4,82.0
SP-023-2025-10,SUP-023,2025-10,11,0.7641,0.09509,19.5,2.0,81.3
SP-023-2025-09,SUP-023,2025-09,58,0.7756,0.0951,16.3,27.6,82.1
SP-023-2025-08,SUP-023,2025-08,48,0.7645,0.09421,25.5,5.8,81.4
SP-023-2025-07,SUP-023,2025-07,64,0.7065,0.09912,22.3,19.9,77.5
SP-024-2026-06,SUP-024,2026-06,4,0.8989,0.12,3.6,10.3,89.2
SP-024-2026-05,SUP-024,2026-05,22,0.9264,0.12,0,7.0,91.0
SP-024-2026-04,SUP-024,2026-04,60,0.8262,0.12,19.1,13.1,84.5
SP-024-2026-03,SUP-024,2026-03,65,0.9272,0.12,0,1.5,91.1
SP-024-2026-02,SUP-024,2026-02,8,0.8399,0.12,14.7,25.7,85.4
SP-024-2026-01,SUP-024,2026-01,50,0.8513,0.12,15.6,8.3,86.1
SP-024-2025-12,SUP-024,2025-12,61,0.9187,0.12,14.2,29.4,90.5
SP-024-2025-11,SUP-024,2025-11,38,0.9151,0.12,19.1,18.5,90.3
SP-024-2025-10,SUP-024,2025-10,5,0.9018,0.12,11.7,16.2,89.4
SP-024-2025-09,SUP-024,2025-09,59,0.899,0.12,3.9,12.9,89.2
SP-024-2025-08,SUP-024,2025-08,55,0.8883,0.12,0.9,29.9,88.5
SP-024-2025-07,SUP-024,2025-07,43,0.8834,0.12,5.0,25.5,88.2
SP-025-2026-06,SUP-025,2026-06,41,0.756,0.12,29.9,11.1,79.9
SP-025-2026-05,SUP-025,2026-05,10,0.7744,0.12,16.0,7.8,81.1
SP-025-2026-04,SUP-025,2026-04,49,0.7867,0.12,21.1,8.2,81.9
SP-025-2026-03,SUP-025,2026-03,56,0.802,0.12,13.7,9.6,82.9
SP-025-2026-02,SUP-025,2026-02,4,0.7623,0.12,35.9,7.2,80.4
SP-025-2026-01,SUP-025,2026-01,25,0.811,0.12,10.4,2.9,83.5
SP-025-2025-12,SUP-025,2025-12,9,0.8162,0.12,20.2,3.7,83.9
SP-025-2025-11,SUP-025,2025-11,19,0.7647,0.12,20.6,18.9,80.5
SP-025-2025-10,SUP-025,2025-10,24,0.7561,0.12,14.7,25.2,79.9
SP-025-2025-09,SUP-025,2025-09,33,0.7429,0.12,16.7,20.7,79.1
SP-025-2025-08,SUP-025,2025-08,61,0.853,0.12,17.1,24.0,86.2
SP-025-2025-07,SUP-025,2025-07,32,0.7498,0.12,30.8,13.1,79.5
SP-026-2026-06,SUP-026,2026-06,41,0.8363,0.12,12.4,23.6,85.2
SP-026-2026-05,SUP-026,2026-05,46,0.7671,0.12,23.6,21.3,80.7
SP-026-2026-04,SUP-026,2026-04,44,0.8606,0.12,28.1,34.5,86.7
SP-026-2026-03,SUP-026,2026-03,7,0.8378,0.12,5.1,2.3,85.3
SP-026-2026-02,SUP-026,2026-02,9,0.7783,0.12,8.1,23.3,81.4
SP-026-2026-01,SUP-026,2026-01,37,0.7777,0.12,13.0,5.4,81.4
SP-026-2025-12,SUP-026,2025-12,60,0.8255,0.12,10.2,8.1,84.5
SP-026-2025-11,SUP-026,2025-11,63,0.7857,0.12,15.8,5.3,81.9
SP-026-2025-10,SUP-026,2025-10,50,0.804,0.12,4.4,34.9,83.1
SP-026-2025-09,SUP-026,2025-09,34,0.7752,0.12,12.3,15.2,81.2
SP-026-2025-08,SUP-026,2025-08,8,0.8142,0.12,17.6,18.7,83.7
SP-026-2025-07,SUP-026,2025-07,51,0.7966,0.12,17.3,32.4,82.6
SP-027-2026-06,SUP-027,2026-06,17,0.7861,0.12,24.4,8.6,81.9
