movement_id,material_id,warehouse_id,movement_type,quantity,unit_cost,reference_type,reference_id,movement_at,operator
MOV-00000037,MAT-0220,WH-05,issue,-4596,263.26,purchase_order,REF-926803,2025-11-19T23:21:00+08:00,仓储用户38
MOV-00000038,MAT-0158,WH-02,receipt,331,36.67,purchase_order,REF-885294,2025-09-16T06:34:00+08:00,仓储用户02
MOV-00000039,MAT-0147,WH-01,transfer_out,-6805,515.21,purchase_order,REF-185967,2025-08-14T17:29:00+08:00,仓储用户08
MOV-00000040,MAT-0037,WH-04,receipt,1971,565.27,purchase_order,REF-885311,2026-01-09T19:11:00+08:00,仓储用户01
MOV-00000041,MAT-0036,WH-02,adjustment,7357,95.51,purchase_order,REF-176466,2026-05-07T20:22:00+08:00,仓储用户28
MOV-00000042,MAT-0042,WH-04,issue,-1131,447.13,purchase_order,REF-637679,2025-10-18T19:50:00+08:00,仓储用户44
MOV-00000043,MAT-0096,WH-01,issue,-4807,248.33,manual,REF-751953,2025-11-12T17:28:00+08:00,仓储用户42
MOV-00000044,MAT-0211,WH-05,issue,-4949,860.1,purchase_order,REF-508706,2025-11-26T20:40:00+08:00,仓储用户36
MOV-00000045,MAT-0068,WH-05,receipt,5110,110.19,production_order,REF-251359,2026-05-30T02:29:00+08:00,仓储用户21
MOV-00000046,MAT-0018,WH-01,issue,-6214,28.89,manual,REF-459261,2025-12-14T01:05:00+08:00,仓储用户20
MOV-00000047,MAT-0117,WH-05,transfer_in,7135,185.14,purchase_order,REF-215341,2025-12-13T01:14:00+08:00,仓储用户02
MOV-00000048,MAT-0058,WH-02,issue,-4680,485.32,production_order,REF-058210,2026-01-07T20:48:00+08:00,仓储用户02
MOV-00000049,MAT-0207,WH-03,issue,-5734,257.9,manual,REF-116416,2026-03-27T01:45:00+08:00,仓储用户05
MOV-00000050,MAT-0120,WH-05,issue,-3431,15.17,production_order,REF-334945,2025-08-22T00:32:00+08:00,仓储用户03
MOV-00000051,MAT-0155,WH-03,receipt,1708,101.07,production_order,REF-053722,2026-01-03T08:44:00+08:00,仓储用户12
MOV-00000052,MAT-0087,WH-06,receipt,4938,36.24,manual,REF-701078,2025-07-16T13:07:00+08:00,仓储用户08
MOV-00000053,MAT-0112,WH-03,quality_hold,-4754,16.8,manual,REF-599343,2025-12-09T05:06:00+08:00,仓储用户18
MOV-00000054,MAT-0224,WH-01,quality_hold,-3250,291.58,purchase_order,REF-239382,2025-10-26T01:06:00+08:00,仓储用户17
MOV-00000055,MAT-0077,WH-03,receipt,7135,5.43,manual,REF-137571,2026-02-18T15:18:00+08:00,仓储用户04
MOV-00000056,MAT-0186,WH-05,issue,-388,390.93,sales_order,REF-669677,2026-01-19T08:42:00+08:00,仓储用户16
MOV-00000057,MAT-0106,WH-01,issue,-7166,608.12,production_order,REF-390687,2026-06-11T07:45:00+08:00,仓储用户30
MOV-00000058,MAT-0074,WH-02,adjustment,4753,15.51,sales_order,REF-799501,2025-09-10T14:00:00+08:00,仓储用户22
MOV-00000059,MAT-0127,WH-02,transfer_out,-4239,903.9,sales_order,REF-606116,2025-12-14T10:48:00+08:00,仓储用户02
MOV-00000060,MAT-0142,WH-05,issue,-680,388.32,production_order,REF-344075,2026-05-18T13:05:00+08:00,仓储用户08
MOV-00000061,MAT-0218,WH-05,issue,-3793,154.04,purchase_order,REF-871612,2026-02-28T22:54:00+08:00,仓储用户36
MOV-00000062,MAT-0044,WH-06,receipt,636,14.35,purchase_order,REF-245458,2025-06-27T02:02:00+08:00,仓储用户37
MOV-00000063,MAT-0146,WH-05,issue,-7101,506.1,sales_order,REF-397621,2025-07-18T06:47:00+08:00,仓储用户26
MOV-00000064,MAT-0188,WH-03,issue,-7448,85.78,production_order,REF-670384,2025-07-08T06:15:00+08:00,仓储用户12
MOV-00000065,MAT-0043,WH-05,transfer_out,-5406,270.5,purchase_order,REF-187384,2025-09-29T03:14:00+08:00,仓储用户16
MOV-00000066,MAT-0216,WH-05,transfer_in,1438,120.11,purchase_order,REF-543533,2025-11-14T02:51:00+08:00,仓储用户20
MOV-00000067,MAT-0152,WH-04,issue,-3246,524.83,production_order,REF-215702,2025-09-09T00:21:00+08:00,仓储用户26
MOV-00000068,MAT-0086,WH-02,transfer_out,-4637,94.14,sales_order,REF-583532,2025-12-14T00:42:00+08:00,仓储用户24
MOV-00000069,MAT-0111,WH-06,receipt,1338,42.47,purchase_order,REF-340874,2025-09-26T23:51:00+08:00,仓储用户02
MOV-00000070,MAT-0168,WH-03,receipt,2712,490.26,sales_order,REF-898835,2026-04-16T09:09:00+08:00,仓储用户36
MOV-00000071,MAT-0046,WH-04,issue,-1389,1080.22,purchase_order,REF-871299,2026-01-20T23:07:00+08:00,仓储用户08
MOV-00000072,MAT-0147,WH-03,receipt,4656,515.21,purchase_order,REF-983197,2026-06-07T14:08:00+08:00,仓储用户11
MOV-00000073,MAT-0083,WH-04,issue,-1976,246.81,sales_order,REF-988240,2026-01-11T13:25:00+08:00,仓储用户42
MOV-00000074,MAT-0208,WH-02,receipt,3180,126.66,sales_order,REF-254143,2025-12-25T20:31:00+08:00,仓储用户32
MOV-00000075,MAT-0163,WH-01,adjustment,2842,462.4,sales_order,REF-630042,2025-08-05T21:01:00+08:00,仓储用户13
MOV-00000076,MAT-0032,WH-04,receipt,3956,354.07,sales_order,REF-382258,2026-02-05T13:32:00+08:00,仓储用户33
MOV-00000077,MAT-0174,WH-03,transfer_in,5551,4.39,manual,REF-540752,2026-05-23T05:57:00+08:00,仓储用户43
MOV-00000078,MAT-0231,WH-02,receipt,3255,293.15,sales_order,REF-773978,2025-12-14T18:31:00+08:00,仓储用户37
MOV-00000079,MAT-0165,WH-02,adjustment,1464,317.87,manual,REF-445048,2025-08-29T15:17:00+08:00,仓储用户08
MOV-00000080,MAT-0194,WH-02,issue,-58,13.96,sales_order,REF-010965,2026-01-17T02:43:00+08:00,仓储用户04
MOV-00000081,MAT-0083,WH-01,issue,-2730,246.81,purchase_order,REF-407687,2025-06-22T14:57:00+08:00,仓储用户32
MOV-00000082,MAT-0090,WH-01,transfer_in,7365,3.74,sales_order,REF-047375,2025-07-12T13:32:00+08:00,仓储用户42
MOV-00000083,MAT-0023,WH-05,receipt,8000,354.18,manual,REF-490964,2025-12-18T22:13:00+08:00,仓储用户16
MOV-00000084,MAT-0124,WH-03,issue,-380,449.98,purchase_order,REF-568634,2026-01-23T14:17:00+08:00,仓储用户42
MOV-00000085,MAT-0127,WH-03,quality_hold,-5343,903.9,purchase_order,REF-515849,2025-06-20T06:51:00+08:00,仓储用户34
MOV-00000086,MAT-0048,WH-04,receipt,6029,15.8,purchase_order,REF-152496,2026-06-10T15:07:00+08:00,仓储用户04
MOV-00000087,MAT-0174,WH-01,issue,-2198,4.39,sales_order,REF-264327,2026-03-22T20:36:00+08:00,仓储用户22
MOV-00000088,MAT-0195,WH-04,transfer_in,2962,1.37,production_order,REF-384248,2025-11-29T19:42:00+08:00,仓储用户13
MOV-00000089,MAT-0179,WH-05,transfer_in,6887,556.76,sales_order,REF-810955,2026-01-24T13:59:00+08:00,仓储用户09
MOV-00000090,MAT-0200,WH-05,transfer_out,-7935,400.35,purchase_order,REF-461312,2025-08-08T21:29:00+08:00,仓储用户09
MOV-00000091,MAT-0154,WH-01,issue,-4340,85.69,manual,REF-325342,2026-03-14T19:36:00+08:00,仓储用户06
MOV-00000092,MAT-0026,WH-02,issue,-3471,875.87,manual,REF-821159,2026-03-06T04:06:00+08:00,仓储用户40
MOV-00000093,MAT-0199,WH-04,receipt,6001,519.1,sales_order,REF-746932,2026-06-09T12:56:00+08:00,仓储用户24
MOV-00000094,MAT-0206,WH-03,receipt,3881,75.41,sales_order,REF-329276,2025-09-18T19:03:00+08:00,仓储用户21
MOV-00000095,MAT-0132,WH-02,receipt,7546,39.22,sales_order,REF-386937,2026-03-30T23:16:00+08:00,仓储用户07
MOV-00000096,MAT-0231,WH-03,issue,-4846,293.15,manual,REF-974863,2026-03-18T07:11:00+08:00,仓储用户01
MOV-00000097,MAT-0192,WH-06,issue,-1230,86.16,production_order,REF-946219,2025-11-10T12:42:00+08:00,仓储用户27
MOV-00000098,MAT-0127,WH-02,issue,-5807,903.9,production_order,REF-972148,2026-03-20T10:36:00+08:00,仓储用户07
MOV-00000099,MAT-0041,WH-02,transfer_in,7550,346.11,manual,REF-429937,2026-04-20T20:30:00+08:00,仓储用户13
MOV-00000100,MAT-0118,WH-02,issue,-4025,337.1,purchase_order,REF-818208,2025-09-28T21:44:00+08:00,仓储用户11
MOV-00000101,MAT-0011,WH-04,issue,-5488,7.25,purchase_order,REF-314415,2025-08-18T02:18:00+08:00,仓储用户27
MOV-00000102,MAT-0107,WH-03,issue,-4837,341.98,sales_order,REF-698438,2026-04-15T08:22:00+08:00,仓储用户36
MOV-00000103,MAT-0081,WH-01,transfer_out,-7834,523.81,purchase_order,REF-834786,2026-03-10T02:42:00+08:00,仓储用户42
MOV-00000104,MAT-0144,WH-04,transfer_out,-329,11.29,production_order,REF-579874,2026-03-03T07:24:00+08:00,仓储用户28
MOV-00000105,MAT-0103,WH-06,receipt,5465,621.11,purchase_order,REF-135276,2026-06-03T05:21:00+08:00,仓储用户20
MOV-00000106,MAT-0108,WH-01,issue,-4479,248.6,sales_order,REF-348325,2025-09-09T12:42:00+08:00,仓储用户44
MOV-00000107,MAT-0036,WH-01,issue,-4393,95.51,manual,REF-465734,2025-09-10T13:57:00+08:00,仓储用户23
MOV-00000108,MAT-0128,WH-05,issue,-5681,42.7,production_order,REF-719149,2025-07-11T19:58:00+08:00,仓储用户31
MOV-00000109,MAT-0144,WH-05,transfer_out,-5798,11.29,purchase_order,REF-899394,2026-05-06T14:36:00+08:00,仓储用户44
MOV-00000110,MAT-0207,WH-06,issue,-5313,257.9,purchase_order,REF-765870,2026-02-04T10:33:00+08:00,仓储用户35
MOV-00000111,MAT-0125,WH-01,receipt,1203,797.63,purchase_order,REF-606902,2026-04-25T13:14:00+08:00,仓储用户30
MOV-00000112,MAT-0111,WH-01,issue,-505,42.47,production_order,REF-937526,2026-05-23T00:18:00+08:00,仓储用户04
MOV-00000113,MAT-0078,WH-05,receipt,7868,213.52,production_order,REF-548128,2026-05-29T17:21:00+08:00,仓储用户12
MOV-00000114,MAT-0218,WH-03,quality_hold,-2321,154.04,sales_order,REF-617826,2026-04-03T10:12:00+08:00,仓储用户38
MOV-00000115,MAT-0085,WH-06,receipt,4005,455.67,sales_order,REF-132116,2026-02-07T05:11:00+08:00,仓储用户09
MOV-00000116,MAT-0225,WH-01,transfer_in,5885,664.28,purchase_order,REF-273120,2026-03-15T19:23:00+08:00,仓储用户06
MOV-00000117,MAT-0225,WH-06,issue,-2190,664.28,sales_order,REF-243717,2025-08-31T00:30:00+08:00,仓储用户05
MOV-00000118,MAT-0019,WH-02,receipt,7175,29.07,production_order,REF-456965,2025-11-04T08:56:00+08:00,仓储用户43
MOV-00000119,MAT-0145,WH-04,issue,-7847,89.41,manual,REF-056379,2026-02-02T10:07:00+08:00,仓储用户21
MOV-00000120,MAT-0118,WH-01,transfer_in,3346,337.1,manual,REF-220427,2026-04-28T09:52:00+08:00,仓储用户22
MOV-00000121,MAT-0170,WH-02,issue,-6451,187.94,production_order,REF-489803,2025-08-27T12:12:00+08:00,仓储用户22
MOV-00000122,MAT-0214,WH-02,issue,-4260,152.9,manual,REF-083870,2026-06-04T03:33:00+08:00,仓储用户29
MOV-00000123,MAT-0014,WH-04,transfer_out,-7920,252.49,manual,REF-185775,2025-09-22T13:07:00+08:00,仓储用户16
MOV-00000124,MAT-0207,WH-01,quality_hold,-3568,257.9,purchase_order,REF-958341,2026-02-16T08:13:00+08:00,仓储用户05
MOV-00000125,MAT-0028,WH-06,issue,-3665,1031.79,purchase_order,REF-100070,2025-11-09T15:32:00+08:00,仓储用户29
MOV-00000126,MAT-0206,WH-02,receipt,1947,75.41,purchase_order,REF-991432,2026-04-16T01:33:00+08:00,仓储用户38
MOV-00000127,MAT-0189,WH-05,adjustment,5549,844.68,purchase_order,REF-588376,2026-04-24T15:48:00+08:00,仓储用户09
MOV-00000128,MAT-0005,WH-02,transfer_in,5787,358.96,production_order,REF-063026,2026-02-24T20:39:00+08:00,仓储用户35
MOV-00000129,MAT-0135,WH-03,adjustment,6947,33.28,manual,REF-700257,2025-07-14T20:52:00+08:00,仓储用户30
MOV-00000130,MAT-0035,WH-03,transfer_in,3130,10.25,sales_order,REF-168080,2025-09-04T08:14:00+08:00,仓储用户42
MOV-00000131,MAT-0153,WH-05,issue,-1184,308.49,purchase_order,REF-231949,2026-05-22T15:24:00+08:00,仓储用户37
MOV-00000132,MAT-0118,WH-01,issue,-1081,337.1,purchase_order,REF-690759,2025-09-22T02:47:00+08:00,仓储用户36
MOV-00000133,MAT-0126,WH-03,receipt,2190,431.48,purchase_order,REF-523542,2025-11-25T15:49:00+08:00,仓储用户22
MOV-00000134,MAT-0173,WH-01,transfer_out,-2659,777.01,purchase_order,REF-626365,2026-04-13T02:26:00+08:00,仓储用户24
MOV-00000135,MAT-0130,WH-05,adjustment,7457,507.15,sales_order,REF-339161,2025-07-12T05:54:00+08:00,仓储用户13
MOV-00000136,MAT-0088,WH-05,receipt,5068,447.49,manual,REF-876458,2025-11-09T17:12:00+08:00,仓储用户31
MOV-00000137,MAT-0019,WH-04,issue,-4617,29.07,manual,REF-911074,2026-01-20T11:18:00+08:00,仓储用户36
MOV-00000138,MAT-0035,WH-05,issue,-6306,10.25,manual,REF-010531,2025-07-28T13:41:00+08:00,仓储用户14
MOV-00000139,MAT-0043,WH-03,quality_hold,-703,270.5,production_order,REF-235629,2025-08-09T09:24:00+08:00,仓储用户11
MOV-00000140,MAT-0058,WH-03,transfer_out,-1651,485.32,purchase_order,REF-520533,2026-06-10T22:03:00+08:00,仓储用户08
MOV-00000141,MAT-0166,WH-04,receipt,331,582.18,purchase_order,REF-998400,2026-03-07T08:51:00+08:00,仓储用户33
MOV-00000142,MAT-0121,WH-05,receipt,578,160.35,production_order,REF-838291,2025-09-21T13:55:00+08:00,仓储用户19
MOV-00000143,MAT-0006,WH-05,issue,-6956,344.89,manual,REF-501374,2026-02-20T21:25:00+08:00,仓储用户36
MOV-00000144,MAT-0100,WH-05,receipt,4946,282.58,sales_order,REF-980261,2025-09-03T22:21:00+08:00,仓储用户42
MOV-00000145,MAT-0179,WH-03,receipt,7176,556.76,sales_order,REF-979023,2026-03-12T05:56:00+08:00,仓储用户32
MOV-00000146,MAT-0035,WH-04,transfer_in,7054,10.25,production_order,REF-299891,2026-01-29T09:23:00+08:00,仓储用户17
MOV-00000147,MAT-0192,WH-01,receipt,7962,86.16,sales_order,REF-357386,2026-05-03T17:35:00+08:00,仓储用户45
MOV-00000148,MAT-0129,WH-01,receipt,2643,472.38,manual,REF-915554,2025-09-19T00:53:00+08:00,仓储用户33
MOV-00000149,MAT-0012,WH-03,receipt,5891,741.27,sales_order,REF-792305,2025-09-11T09:32:00+08:00,仓储用户41
MOV-00000150,MAT-0013,WH-06,adjustment,7909,945.16,manual,REF-346057,2025-12-19T14:48:00+08:00,仓储用户37
MOV-00000151,MAT-0162,WH-04,issue,-5276,41.94,sales_order,REF-233530,2026-02-05T17:54:00+08:00,仓储用户14
MOV-00000152,MAT-0142,WH-03,adjustment,7931,388.32,production_order,REF-996020,2025-06-18T10:45:00+08:00,仓储用户18
MOV-00000153,MAT-0059,WH-02,quality_hold,-3179,744.15,purchase_order,REF-213066,2025-12-20T15:13:00+08:00,仓储用户23
MOV-00000154,MAT-0226,WH-06,issue,-2895,280.22,production_order,REF-756208,2025-08-17T17:11:00+08:00,仓储用户20
MOV-00000155,MAT-0131,WH-03,transfer_in,1704,492.45,purchase_order,REF-693755,2025-08-21T15:41:00+08:00,仓储用户45
MOV-00000156,MAT-0012,WH-02,issue,-4988,741.27,manual,REF-656028,2025-07-27T08:20:00+08:00,仓储用户26
MOV-00000157,MAT-0159,WH-02,transfer_in,5547,14.62,manual,REF-896381,2025-12-26T12:11:00+08:00,仓储用户42
MOV-00000158,MAT-0239,WH-06,issue,-2581,436.54,manual,REF-477212,2026-01-13T17:13:00+08:00,仓储用户29
MOV-00000159,MAT-0067,WH-05,issue,-5283,57.07,manual,REF-543192,2025-09-28T13:58:00+08:00,仓储用户20
MOV-00000160,MAT-0174,WH-05,receipt,6235,4.39,purchase_order,REF-047669,2025-10-16T21:31:00+08:00,仓储用户35
MOV-00000161,MAT-0207,WH-02,issue,-7820,257.9,manual,REF-963562,2025-07-22T19:39:00+08:00,仓储用户12
MOV-00000162,MAT-0174,WH-03,receipt,6106,4.39,manual,REF-837467,2025-06-28T23:06:00+08:00,仓储用户13
MOV-00000163,MAT-0219,WH-06,quality_hold,-5510,24.74,manual,REF-605669,2025-08-28T14:30:00+08:00,仓储用户30
MOV-00000164,MAT-0214,WH-04,receipt,2454,152.9,manual,REF-949844,2025-10-27T15:53:00+08:00,仓储用户09
MOV-00000165,MAT-0235,WH-03,transfer_out,-3797,145.23,sales_order,REF-150407,2026-05-13T08:02:00+08:00,仓储用户38
MOV-00000166,MAT-0116,WH-02,quality_hold,-3727,99.89,sales_order,REF-208980,2025-12-04T08:52:00+08:00,仓储用户44
MOV-00000167,MAT-0075,WH-05,issue,-5648,202.89,purchase_order,REF-058304,2026-01-03T05:08:00+08:00,仓储用户11
MOV-00000168,MAT-0004,WH-05,receipt,5982,351.05,manual,REF-162457,2025-07-23T05:44:00+08:00,仓储用户16
MOV-00000169,MAT-0114,WH-04,receipt,2477,215.76,production_order,REF-820571,2025-07-01T10:57:00+08:00,仓储用户26
MOV-00000170,MAT-0084,WH-05,receipt,4415,365.75,purchase_order,REF-794677,2026-02-04T13:35:00+08:00,仓储用户14
MOV-00000171,MAT-0208,WH-02,receipt,6592,126.66,manual,REF-696563,2026-01-17T07:50:00+08:00,仓储用户10
MOV-00000172,MAT-0029,WH-01,issue,-7924,386.6,manual,REF-565333,2025-12-23T15:26:00+08:00,仓储用户15
MOV-00000173,MAT-0236,WH-06,quality_hold,-4680,515.16,manual,REF-311670,2026-05-05T19:14:00+08:00,仓储用户28
MOV-00000174,MAT-0234,WH-02,receipt,2639,145.19,manual,REF-720082,2025-11-17T12:26:00+08:00,仓储用户44
MOV-00000175,MAT-0232,WH-03,receipt,4535,840.75,sales_order,REF-771883,2026-03-26T17:43:00+08:00,仓储用户05
MOV-00000176,MAT-0155,WH-06,issue,-7442,101.07,production_order,REF-198545,2026-05-28T04:24:00+08:00,仓储用户30
MOV-00000177,MAT-0009,WH-04,receipt,2957,48.15,production_order,REF-448970,2026-01-12T13:42:00+08:00,仓储用户43
MOV-00000178,MAT-0222,WH-05,issue,-1001,491.59,sales_order,REF-951424,2025-09-27T19:35:00+08:00,仓储用户23
MOV-00000179,MAT-0110,WH-03,adjustment,6108,14.96,production_order,REF-979985,2026-02-09T13:58:00+08:00,仓储用户42
MOV-00000180,MAT-0168,WH-02,transfer_out,-3828,490.26,production_order,REF-547988,2025-06-19T00:46:00+08:00,仓储用户35
MOV-00000181,MAT-0092,WH-05,transfer_in,5925,152.17,sales_order,REF-553924,2025-12-29T00:18:00+08:00,仓储用户41
MOV-00000182,MAT-0137,WH-06,adjustment,2795,993.56,sales_order,REF-034963,2025-08-30T02:34:00+08:00,仓储用户29
MOV-00000183,MAT-0146,WH-01,transfer_out,-7342,506.1,production_order,REF-482948,2026-03-02T22:00:00+08:00,仓储用户41
MOV-00000184,MAT-0146,WH-03,issue,-2929,506.1,production_order,REF-009513,2025-11-27T21:26:00+08:00,仓储用户01
MOV-00000185,MAT-0114,WH-02,issue,-1573,215.76,purchase_order,REF-075039,2025-08-31T07:51:00+08:00,仓储用户44
MOV-00000186,MAT-0162,WH-04,transfer_out,-6104,41.94,purchase_order,REF-649784,2025-12-09T01:44:00+08:00,仓储用户30
MOV-00000187,MAT-0052,WH-03,issue,-2695,80.81,manual,REF-181912,2025-11-29T15:47:00+08:00,仓储用户02
MOV-00000188,MAT-0014,WH-01,issue,-7311,252.49,purchase_order,REF-255374,2026-04-07T23:58:00+08:00,仓储用户03
MOV-00000189,MAT-0189,WH-01,issue,-7274,844.68,production_order,REF-906132,2026-05-26T20:51:00+08:00,仓储用户28
MOV-00000190,MAT-0006,WH-02,issue,-2783,344.89,production_order,REF-815045,2025-07-12T16:55:00+08:00,仓储用户41
MOV-00000191,MAT-0096,WH-01,issue,-6512,248.33,sales_order,REF-787264,2025-10-09T11:27:00+08:00,仓储用户16
MOV-00000192,MAT-0202,WH-06,transfer_in,3565,427.84,manual,REF-293606,2026-04-19T06:22:00+08:00,仓储用户29
MOV-00000193,MAT-0090,WH-04,issue,-3917,3.74,sales_order,REF-611600,2025-10-04T03:33:00+08:00,仓储用户07
MOV-00000194,MAT-0175,WH-05,issue,-6576,464.71,sales_order,REF-753817,2025-12-27T16:52:00+08:00,仓储用户32
MOV-00000195,MAT-0029,WH-04,issue,-5955,386.6,production_order,REF-268690,2025-09-20T01:50:00+08:00,仓储用户39
MOV-00000196,MAT-0196,WH-06,adjustment,2018,71.07,sales_order,REF-187665,2026-02-02T03:44:00+08:00,仓储用户07
MOV-00000197,MAT-0135,WH-02,transfer_out,-1358,33.28,production_order,REF-165302,2026-03-05T19:59:00+08:00,仓储用户17
MOV-00000198,MAT-0229,WH-01,issue,-2368,335.06,sales_order,REF-985708,2025-10-30T05:35:00+08:00,仓储用户34
MOV-00000199,MAT-0226,WH-06,receipt,1549,280.22,manual,REF-085518,2025-09-03T13:05:00+08:00,仓储用户23
MOV-00000200,MAT-0206,WH-06,transfer_in,3717,75.41,production_order,REF-313292,2025-06-25T07:56:00+08:00,仓储用户20
MOV-00000201,MAT-0170,WH-02,receipt,4985,187.94,sales_order,REF-223207,2026-04-10T00:20:00+08:00,仓储用户04
MOV-00000202,MAT-0081,WH-04,issue,-4345,523.81,purchase_order,REF-134127,2026-01-22T17:56:00+08:00,仓储用户01
MOV-00000203,MAT-0165,WH-02,quality_hold,-6682,317.87,purchase_order,REF-090587,2026-06-05T23:03:00+08:00,仓储用户45
MOV-00000204,MAT-0132,WH-05,receipt,6020,39.22,production_order,REF-649436,2025-07-13T17:32:00+08:00,仓储用户14
MOV-00000205,MAT-0225,WH-06,issue,-6987,664.28,manual,REF-291834,2025-11-12T02:40:00+08:00,仓储用户04
MOV-00000206,MAT-0028,WH-01,transfer_in,7867,1031.79,purchase_order,REF-756409,2025-09-06T16:16:00+08:00,仓储用户28
MOV-00000207,MAT-0065,WH-01,issue,-3459,365.72,production_order,REF-176283,2025-12-17T08:34:00+08:00,仓储用户39
MOV-00000208,MAT-0014,WH-01,transfer_in,182,252.49,production_order,REF-801525,2025-08-26T20:07:00+08:00,仓储用户40
MOV-00000209,MAT-0032,WH-04,issue,-1324,354.07,production_order,REF-917523,2025-09-10T11:40:00+08:00,仓储用户16
