snapshot_id,snapshot_date,material_id,warehouse_id,on_hand_qty,available_qty,allocated_qty,in_transit_qty,safety_stock_qty,inventory_value
SNP-20260615-0016-03,2026-06-15,MAT-0016,WH-03,80,72,8,88,110,17205.6
SNP-20260615-0016-04,2026-06-15,MAT-0016,WH-04,88,88,0,118,110,18926.16
SNP-20260615-0016-05,2026-06-15,MAT-0016,WH-05,216,174,42,86,110,46455.12
SNP-20260615-0016-06,2026-06-15,MAT-0016,WH-06,260,240,20,120,110,55918.2
SNP-20260615-0017-01,2026-06-15,MAT-0017,WH-01,5985,5280,705,655,3476,440136.9
SNP-20260615-0017-02,2026-06-15,MAT-0017,WH-02,4107,3468,639,2468,3476,302028.78
SNP-20260615-0017-03,2026-06-15,MAT-0017,WH-03,3571,3157,414,4486,3476,262611.34
SNP-20260615-0017-04,2026-06-15,MAT-0017,WH-04,1742,1561,181,3024,3476,128106.68
SNP-20260615-0017-05,2026-06-15,MAT-0017,WH-05,6625,5407,1218,3332,3476,487202.5
SNP-20260615-0017-06,2026-06-15,MAT-0017,WH-06,5587,5521,66,875,3476,410867.98
SNP-20260615-0018-01,2026-06-15,MAT-0018,WH-01,3366,3309,57,1183,1941,97243.74
SNP-20260615-0018-02,2026-06-15,MAT-0018,WH-02,1521,1213,308,908,1941,43941.69
SNP-20260615-0018-03,2026-06-15,MAT-0018,WH-03,2894,1693,1201,2302,1941,83607.66
SNP-20260615-0018-04,2026-06-15,MAT-0018,WH-04,798,765,33,1659,1941,23054.22
SNP-20260615-0018-05,2026-06-15,MAT-0018,WH-05,3637,3348,289,1529,1941,105072.93
SNP-20260615-0018-06,2026-06-15,MAT-0018,WH-06,1369,1078,291,1288,1941,39550.41
SNP-20260615-0019-01,2026-06-15,MAT-0019,WH-01,199,166,33,7,238,5784.93
SNP-20260615-0019-02,2026-06-15,MAT-0019,WH-02,215,168,47,182,238,6250.05
SNP-20260615-0019-03,2026-06-15,MAT-0019,WH-03,165,163,2,59,238,4796.55
SNP-20260615-0019-04,2026-06-15,MAT-0019,WH-04,518,417,101,219,238,15058.26
SNP-20260615-0019-05,2026-06-15,MAT-0019,WH-05,161,108,53,20,238,4680.27
SNP-20260615-0019-06,2026-06-15,MAT-0019,WH-06,357,343,14,33,238,10377.99
SNP-20260615-0020-01,2026-06-15,MAT-0020,WH-01,367,286,81,177,325,73880.77
SNP-20260615-0020-02,2026-06-15,MAT-0020,WH-02,839,680,159,158,325,168899.09
SNP-20260615-0020-03,2026-06-15,MAT-0020,WH-03,387,359,28,201,325,77906.97
SNP-20260615-0020-04,2026-06-15,MAT-0020,WH-04,143,128,15,201,325,28787.33
SNP-20260615-0020-05,2026-06-15,MAT-0020,WH-05,544,525,19,53,325,109512.64
SNP-20260615-0020-06,2026-06-15,MAT-0020,WH-06,401,250,151,186,325,80725.31
SNP-20260615-0021-01,2026-06-15,MAT-0021,WH-01,308,280,28,125,116,3409.56
SNP-20260615-0021-02,2026-06-15,MAT-0021,WH-02,25,23,2,149,116,276.75
SNP-20260615-0021-03,2026-06-15,MAT-0021,WH-03,197,158,39,39,116,2180.79
SNP-20260615-0021-04,2026-06-15,MAT-0021,WH-04,267,233,34,134,116,2955.69
SNP-20260615-0021-05,2026-06-15,MAT-0021,WH-05,137,120,17,22,116,1516.59
SNP-20260615-0021-06,2026-06-15,MAT-0021,WH-06,206,169,37,6,116,2280.42
SNP-20260615-0022-01,2026-06-15,MAT-0022,WH-01,263,239,24,27,141,17242.28
SNP-20260615-0022-02,2026-06-15,MAT-0022,WH-02,79,63,16,87,141,5179.24
SNP-20260615-0022-03,2026-06-15,MAT-0022,WH-03,72,50,22,61,141,4720.32
SNP-20260615-0022-04,2026-06-15,MAT-0022,WH-04,70,50,20,97,141,4589.2
SNP-20260615-0022-05,2026-06-15,MAT-0022,WH-05,129,107,22,148,141,8457.24
SNP-20260615-0022-06,2026-06-15,MAT-0022,WH-06,178,158,20,22,141,11669.68
SNP-20260615-0023-01,2026-06-15,MAT-0023,WH-01,420,416,4,549,766,148755.6
SNP-20260615-0023-02,2026-06-15,MAT-0023,WH-02,421,266,155,130,766,149109.78
SNP-20260615-0023-03,2026-06-15,MAT-0023,WH-03,1070,1020,50,4,766,378972.6
SNP-20260615-0023-04,2026-06-15,MAT-0023,WH-04,202,132,70,71,766,71544.36
SNP-20260615-0023-05,2026-06-15,MAT-0023,WH-05,1997,1579,418,658,766,707297.46
SNP-20260615-0023-06,2026-06-15,MAT-0023,WH-06,426,368,58,523,766,150880.68
SNP-20260615-0024-01,2026-06-15,MAT-0024,WH-01,455,365,90,78,195,8008.0
SNP-20260615-0024-02,2026-06-15,MAT-0024,WH-02,430,344,86,223,195,7568.0
SNP-20260615-0024-03,2026-06-15,MAT-0024,WH-03,225,220,5,109,195,3960.0
SNP-20260615-0024-04,2026-06-15,MAT-0024,WH-04,106,87,19,24,195,1865.6
SNP-20260615-0024-05,2026-06-15,MAT-0024,WH-05,256,188,68,12,195,4505.6
SNP-20260615-0024-06,2026-06-15,MAT-0024,WH-06,203,163,40,43,195,3572.8
SNP-20260615-0025-01,2026-06-15,MAT-0025,WH-01,352,345,7,300,765,248944.96
SNP-20260615-0025-02,2026-06-15,MAT-0025,WH-02,685,671,14,291,765,484452.55
SNP-20260615-0025-03,2026-06-15,MAT-0025,WH-03,587,556,31,365,765,415144.01
SNP-20260615-0025-04,2026-06-15,MAT-0025,WH-04,1578,1535,43,715,765,1116008.94
SNP-20260615-0025-05,2026-06-15,MAT-0025,WH-05,1625,1405,220,737,765,1149248.75
SNP-20260615-0025-06,2026-06-15,MAT-0025,WH-06,139,104,35,560,765,98304.97
SNP-20260615-0026-01,2026-06-15,MAT-0026,WH-01,571,384,187,34,637,500121.77
SNP-20260615-0026-02,2026-06-15,MAT-0026,WH-02,563,555,8,28,637,493114.81
SNP-20260615-0026-03,2026-06-15,MAT-0026,WH-03,601,440,161,442,637,526397.87
SNP-20260615-0026-04,2026-06-15,MAT-0026,WH-04,624,580,44,149,637,546542.88
SNP-20260615-0026-05,2026-06-15,MAT-0026,WH-05,539,383,156,212,637,472093.93
SNP-20260615-0026-06,2026-06-15,MAT-0026,WH-06,291,196,95,518,637,254878.17
SNP-20260615-0027-01,2026-06-15,MAT-0027,WH-01,890,768,122,150,583,549868.7
SNP-20260615-0027-02,2026-06-15,MAT-0027,WH-02,1196,1094,102,291,583,738924.68
SNP-20260615-0027-03,2026-06-15,MAT-0027,WH-03,673,643,30,449,583,415799.59
SNP-20260615-0027-04,2026-06-15,MAT-0027,WH-04,976,865,111,664,583,603002.08
SNP-20260615-0027-05,2026-06-15,MAT-0027,WH-05,1422,1090,332,220,583,878554.26
SNP-20260615-0027-06,2026-06-15,MAT-0027,WH-06,889,543,346,209,583,549250.87
SNP-20260615-0028-01,2026-06-15,MAT-0028,WH-01,326,299,27,58,170,336363.54
SNP-20260615-0028-02,2026-06-15,MAT-0028,WH-02,267,202,65,129,170,275487.93
SNP-20260615-0028-03,2026-06-15,MAT-0028,WH-03,233,182,51,76,170,240407.07
SNP-20260615-0028-04,2026-06-15,MAT-0028,WH-04,143,126,17,85,170,147545.97
SNP-20260615-0028-05,2026-06-15,MAT-0028,WH-05,44,34,10,6,170,45398.76
SNP-20260615-0028-06,2026-06-15,MAT-0028,WH-06,360,286,74,140,170,371444.4
SNP-20260615-0029-01,2026-06-15,MAT-0029,WH-01,514,455,59,238,400,198712.4
SNP-20260615-0029-02,2026-06-15,MAT-0029,WH-02,774,759,15,76,400,299228.4
SNP-20260615-0029-03,2026-06-15,MAT-0029,WH-03,666,628,38,102,400,257475.6
SNP-20260615-0029-04,2026-06-15,MAT-0029,WH-04,702,592,110,271,400,271393.2
SNP-20260615-0029-05,2026-06-15,MAT-0029,WH-05,628,533,95,57,400,242784.8
SNP-20260615-0029-06,2026-06-15,MAT-0029,WH-06,532,422,110,168,400,205671.2
SNP-20260615-0030-01,2026-06-15,MAT-0030,WH-01,50,49,1,11,29,1085.0
SNP-20260615-0030-02,2026-06-15,MAT-0030,WH-02,49,35,14,20,29,1063.3
SNP-20260615-0030-03,2026-06-15,MAT-0030,WH-03,49,43,6,1,29,1063.3
SNP-20260615-0030-04,2026-06-15,MAT-0030,WH-04,71,52,19,19,29,1540.7
SNP-20260615-0030-05,2026-06-15,MAT-0030,WH-05,5,5,0,2,29,108.5
SNP-20260615-0030-06,2026-06-15,MAT-0030,WH-06,9,7,2,20,29,195.3
SNP-20260615-0031-01,2026-06-15,MAT-0031,WH-01,214,186,28,165,145,121740.32
SNP-20260615-0031-02,2026-06-15,MAT-0031,WH-02,125,100,25,99,145,71110.0
SNP-20260615-0031-03,2026-06-15,MAT-0031,WH-03,248,199,49,209,145,141082.24
SNP-20260615-0031-04,2026-06-15,MAT-0031,WH-04,261,237,24,116,145,148477.68
SNP-20260615-0031-05,2026-06-15,MAT-0031,WH-05,299,221,78,153,145,170095.12
SNP-20260615-0031-06,2026-06-15,MAT-0031,WH-06,338,330,8,42,145,192281.44
SNP-20260615-0032-01,2026-06-15,MAT-0032,WH-01,242,226,16,134,98,85684.94
SNP-20260615-0032-02,2026-06-15,MAT-0032,WH-02,226,198,28,98,98,80019.82
SNP-20260615-0032-03,2026-06-15,MAT-0032,WH-03,191,156,35,78,98,67627.37
SNP-20260615-0032-04,2026-06-15,MAT-0032,WH-04,209,201,8,92,98,74000.63
SNP-20260615-0032-05,2026-06-15,MAT-0032,WH-05,61,54,7,48,98,21598.27
SNP-20260615-0032-06,2026-06-15,MAT-0032,WH-06,172,146,26,67,98,60900.04
SNP-20260615-0033-01,2026-06-15,MAT-0033,WH-01,1594,1293,301,592,584,235258.46
SNP-20260615-0033-02,2026-06-15,MAT-0033,WH-02,202,187,15,834,584,29813.18
SNP-20260615-0033-03,2026-06-15,MAT-0033,WH-03,503,385,118,561,584,74237.77
SNP-20260615-0033-04,2026-06-15,MAT-0033,WH-04,506,503,3,814,584,74680.54
SNP-20260615-0033-05,2026-06-15,MAT-0033,WH-05,159,150,9,385,584,23466.81
SNP-20260615-0033-06,2026-06-15,MAT-0033,WH-06,1099,891,208,135,584,162201.41
SNP-20260615-0034-01,2026-06-15,MAT-0034,WH-01,700,619,81,276,575,27545.0
SNP-20260615-0034-02,2026-06-15,MAT-0034,WH-02,656,500,156,256,575,25813.6
SNP-20260615-0034-03,2026-06-15,MAT-0034,WH-03,607,413,194,125,575,23885.45
SNP-20260615-0034-04,2026-06-15,MAT-0034,WH-04,1030,889,141,66,575,40530.5
SNP-20260615-0034-05,2026-06-15,MAT-0034,WH-05,320,261,59,119,575,12592.0
SNP-20260615-0034-06,2026-06-15,MAT-0034,WH-06,1506,1496,10,41,575,59261.1
SNP-20260615-0035-01,2026-06-15,MAT-0035,WH-01,280,272,8,125,121,2870.0
SNP-20260615-0035-02,2026-06-15,MAT-0035,WH-02,93,69,24,45,121,953.25
SNP-20260615-0035-03,2026-06-15,MAT-0035,WH-03,151,114,37,5,121,1547.75
SNP-20260615-0035-04,2026-06-15,MAT-0035,WH-04,86,80,6,124,121,881.5
SNP-20260615-0035-05,2026-06-15,MAT-0035,WH-05,222,203,19,158,121,2275.5
SNP-20260615-0035-06,2026-06-15,MAT-0035,WH-06,150,124,26,112,121,1537.5
SNP-20260615-0036-01,2026-06-15,MAT-0036,WH-01,581,570,11,713,559,55491.31
SNP-20260615-0036-02,2026-06-15,MAT-0036,WH-02,1098,879,219,263,559,104869.98
SNP-20260615-0036-03,2026-06-15,MAT-0036,WH-03,872,760,112,170,559,83284.72
SNP-20260615-0036-04,2026-06-15,MAT-0036,WH-04,489,481,8,507,559,46704.39
SNP-20260615-0036-05,2026-06-15,MAT-0036,WH-05,962,663,299,21,559,91880.62
SNP-20260615-0036-06,2026-06-15,MAT-0036,WH-06,821,542,279,468,559,78413.71
SNP-20260615-0037-01,2026-06-15,MAT-0037,WH-01,1311,972,339,211,582,741068.97
SNP-20260615-0037-02,2026-06-15,MAT-0037,WH-02,415,315,100,548,582,234587.05
SNP-20260615-0037-03,2026-06-15,MAT-0037,WH-03,852,732,120,141,582,481610.04
SNP-20260615-0037-04,2026-06-15,MAT-0037,WH-04,718,594,124,166,582,405863.86
SNP-20260615-0037-05,2026-06-15,MAT-0037,WH-05,892,715,177,326,582,504220.84
SNP-20260615-0037-06,2026-06-15,MAT-0037,WH-06,1018,999,19,373,582,575444.86
SNP-20260615-0038-01,2026-06-15,MAT-0038,WH-01,2031,1855,176,839,1098,1017145.11
SNP-20260615-0038-02,2026-06-15,MAT-0038,WH-02,426,346,80,1194,1098,213345.06
SNP-20260615-0038-03,2026-06-15,MAT-0038,WH-03,1544,1449,95,1106,1098,773250.64
SNP-20260615-0038-04,2026-06-15,MAT-0038,WH-04,242,169,73,40,1098,121196.02
SNP-20260615-0038-05,2026-06-15,MAT-0038,WH-05,1242,987,255,1621,1098,622006.02
SNP-20260615-0038-06,2026-06-15,MAT-0038,WH-06,2276,2219,57,407,1098,1139843.56
SNP-20260615-0039-01,2026-06-15,MAT-0039,WH-01,872,783,89,111,382,797243.44
SNP-20260615-0039-02,2026-06-15,MAT-0039,WH-02,858,836,22,132,382,784443.66
SNP-20260615-0039-03,2026-06-15,MAT-0039,WH-03,567,453,114,310,382,518391.09
SNP-20260615-0039-04,2026-06-15,MAT-0039,WH-04,689,433,256,46,382,629932.03
SNP-20260615-0039-05,2026-06-15,MAT-0039,WH-05,600,479,121,159,382,548562.0
SNP-20260615-0039-06,2026-06-15,MAT-0039,WH-06,672,588,84,231,382,614389.44
SNP-20260615-0040-01,2026-06-15,MAT-0040,WH-01,255,233,22,129,340,5982.3
SNP-20260615-0040-02,2026-06-15,MAT-0040,WH-02,291,287,4,351,340,6826.86
SNP-20260615-0040-03,2026-06-15,MAT-0040,WH-03,652,541,111,309,340,15295.92
SNP-20260615-0040-04,2026-06-15,MAT-0040,WH-04,279,191,88,175,340,6545.34
SNP-20260615-0040-05,2026-06-15,MAT-0040,WH-05,723,589,134,257,340,16961.58
SNP-20260615-0040-06,2026-06-15,MAT-0040,WH-06,100,90,10,288,340,2346.0
SNP-20260615-0041-01,2026-06-15,MAT-0041,WH-01,389,301,88,173,397,134636.79
SNP-20260615-0041-02,2026-06-15,MAT-0041,WH-02,877,837,40,370,397,303538.47
SNP-20260615-0041-03,2026-06-15,MAT-0041,WH-03,666,473,193,129,397,230509.26
SNP-20260615-0041-04,2026-06-15,MAT-0041,WH-04,640,466,174,401,397,221510.4
SNP-20260615-0041-05,2026-06-15,MAT-0041,WH-05,618,458,160,592,397,213895.98
SNP-20260615-0041-06,2026-06-15,MAT-0041,WH-06,112,78,34,427,397,38764.32
SNP-20260615-0042-01,2026-06-15,MAT-0042,WH-01,9213,8143,1070,1044,4041,4119408.69
SNP-20260615-0042-02,2026-06-15,MAT-0042,WH-02,6172,5095,1077,1070,4041,2759686.36
SNP-20260615-0042-03,2026-06-15,MAT-0042,WH-03,2230,1790,440,2992,4041,997099.9
SNP-20260615-0042-04,2026-06-15,MAT-0042,WH-04,7543,6053,1490,795,4041,3372701.59
SNP-20260615-0042-05,2026-06-15,MAT-0042,WH-05,6147,5500,647,342,4041,2748508.11
SNP-20260615-0042-06,2026-06-15,MAT-0042,WH-06,7397,5321,2076,3665,4041,3307420.61
SNP-20260615-0043-01,2026-06-15,MAT-0043,WH-01,441,420,21,301,253,119290.5
SNP-20260615-0043-02,2026-06-15,MAT-0043,WH-02,316,293,23,310,253,85478.0
SNP-20260615-0043-03,2026-06-15,MAT-0043,WH-03,299,209,90,30,253,80879.5
SNP-20260615-0043-04,2026-06-15,MAT-0043,WH-04,275,233,42,236,253,74387.5
SNP-20260615-0043-05,2026-06-15,MAT-0043,WH-05,343,317,26,180,253,92781.5
SNP-20260615-0043-06,2026-06-15,MAT-0043,WH-06,351,344,7,12,253,94945.5
SNP-20260615-0044-01,2026-06-15,MAT-0044,WH-01,244,169,75,176,340,3501.4
SNP-20260615-0044-02,2026-06-15,MAT-0044,WH-02,282,246,36,266,340,4046.7
SNP-20260615-0044-03,2026-06-15,MAT-0044,WH-03,494,412,82,1,340,7088.9
SNP-20260615-0044-04,2026-06-15,MAT-0044,WH-04,403,279,124,197,340,5783.05
SNP-20260615-0044-05,2026-06-15,MAT-0044,WH-05,336,293,43,16,340,4821.6
SNP-20260615-0044-06,2026-06-15,MAT-0044,WH-06,786,758,28,182,340,11279.1
SNP-20260615-0045-01,2026-06-15,MAT-0045,WH-01,205,183,22,217,168,4510.0
SNP-20260615-0045-02,2026-06-15,MAT-0045,WH-02,101,92,9,136,168,2222.0
SNP-20260615-0045-03,2026-06-15,MAT-0045,WH-03,66,52,14,78,168,1452.0
SNP-20260615-0045-04,2026-06-15,MAT-0045,WH-04,59,41,18,169,168,1298.0
SNP-20260615-0045-05,2026-06-15,MAT-0045,WH-05,91,85,6,31,168,2002.0
SNP-20260615-0045-06,2026-06-15,MAT-0045,WH-06,296,291,5,213,168,6512.0
SNP-20260615-0046-01,2026-06-15,MAT-0046,WH-01,1844,1336,508,58,1381,1991925.68
SNP-20260615-0046-02,2026-06-15,MAT-0046,WH-02,3006,2708,298,115,1381,3247141.32
SNP-20260615-0046-03,2026-06-15,MAT-0046,WH-03,3601,2721,880,458,1381,3889872.22
SNP-20260615-0046-04,2026-06-15,MAT-0046,WH-04,1826,1411,415,1553,1381,1972481.72
SNP-20260615-0046-05,2026-06-15,MAT-0046,WH-05,1087,982,105,973,1381,1174199.14
SNP-20260615-0046-06,2026-06-15,MAT-0046,WH-06,1685,1245,440,426,1381,1820170.7
SNP-20260615-0047-01,2026-06-15,MAT-0047,WH-01,875,804,71,26,826,361760.0
SNP-20260615-0047-02,2026-06-15,MAT-0047,WH-02,1371,1136,235,551,826,566826.24
SNP-20260615-0047-03,2026-06-15,MAT-0047,WH-03,414,367,47,580,826,171164.16
SNP-20260615-0047-04,2026-06-15,MAT-0047,WH-04,556,534,22,112,826,229872.64
SNP-20260615-0047-05,2026-06-15,MAT-0047,WH-05,1983,1555,428,433,826,819851.52
SNP-20260615-0047-06,2026-06-15,MAT-0047,WH-06,1539,1222,317,503,826,636284.16
SNP-20260615-0048-01,2026-06-15,MAT-0048,WH-01,1241,933,308,127,545,19607.8
SNP-20260615-0048-02,2026-06-15,MAT-0048,WH-02,1195,989,206,447,545,18881.0
SNP-20260615-0048-03,2026-06-15,MAT-0048,WH-03,1346,1050,296,327,545,21266.8
SNP-20260615-0048-04,2026-06-15,MAT-0048,WH-04,1080,863,217,517,545,17064.0
SNP-20260615-0048-05,2026-06-15,MAT-0048,WH-05,1012,697,315,471,545,15989.6
SNP-20260615-0048-06,2026-06-15,MAT-0048,WH-06,724,594,130,418,545,11439.2
SNP-20260615-0049-01,2026-06-15,MAT-0049,WH-01,1286,1155,131,249,546,4861.08
