supplier_material_id,supplier_id,material_id,supplier_rank,lead_time_hours,minimum_order_qty,available_emergency_qty,unit_cost,emergency_cost_multiplier,qualified,updated_at
SM-0006-03,SUP-041,MAT-0006,3,168,1000,7138,392.6,1.44,0,2026-06-07T01:00:00+08:00
SM-0006-04,SUP-006,MAT-0006,4,96,500,12453,358.41,1.63,0,2026-06-05T12:00:00+08:00
SM-0006-05,SUP-005,MAT-0006,5,168,50,938,418.22,1.17,1,2026-06-05T13:00:00+08:00
SM-0007-01,SUP-031,MAT-0007,1,96,500,11100,1230.87,1.31,0,2026-06-13T16:00:00+08:00
SM-0007-02,SUP-020,MAT-0007,2,24,100,10127,1057.33,1.06,1,2026-06-14T18:00:00+08:00
SM-0007-03,SUP-052,MAT-0007,3,96,100,9254,1042.39,1.07,1,2026-06-11T09:00:00+08:00
SM-0008-01,SUP-059,MAT-0008,1,96,1000,952,450.64,1.46,1,2026-06-05T15:00:00+08:00
SM-0008-02,SUP-053,MAT-0008,2,168,50,3823,405.9,1.51,1,2026-06-09T15:00:00+08:00
SM-0008-03,SUP-056,MAT-0008,3,36,500,4634,353.95,1.59,1,2026-06-06T18:00:00+08:00
SM-0009-01,SUP-025,MAT-0009,1,120,100,10978,63.01,1.2,0,2026-06-14T04:00:00+08:00
SM-0009-02,SUP-011,MAT-0009,2,120,500,12369,57.75,1.55,1,2026-06-06T22:00:00+08:00
SM-0009-03,SUP-003,MAT-0009,3,48,200,1271,55.1,1.42,1,2026-06-08T08:00:00+08:00
SM-0010-01,SUP-042,MAT-0010,1,48,500,9954,774.77,1.22,1,2026-06-09T17:00:00+08:00
SM-0010-02,SUP-007,MAT-0010,2,48,200,4529,849.95,1.51,1,2026-06-10T19:00:00+08:00
SM-0010-03,SUP-045,MAT-0010,3,96,500,10431,835.52,1.34,1,2026-06-08T23:00:00+08:00
SM-0010-04,SUP-057,MAT-0010,4,120,1000,12034,708.47,1.17,1,2026-06-11T17:00:00+08:00
SM-0010-05,SUP-032,MAT-0010,5,120,200,12380,809.68,1.13,1,2026-06-14T03:00:00+08:00
SM-0010-06,SUP-058,MAT-0010,6,48,100,4000,738.02,1.34,1,2026-06-08T15:00:00+08:00
SM-0011-01,SUP-021,MAT-0011,1,36,1000,4326,9.17,1.61,1,2026-06-10T12:00:00+08:00
SM-0011-02,SUP-009,MAT-0011,2,36,50,6223,8.0,1.36,1,2026-06-07T06:00:00+08:00
SM-0011-03,SUP-017,MAT-0011,3,96,500,4366,7.5,1.61,1,2026-06-09T17:00:00+08:00
SM-0012-01,SUP-009,MAT-0012,1,48,500,10037,790.12,1.46,1,2026-06-06T15:00:00+08:00
SM-0012-02,SUP-012,MAT-0012,2,48,200,2178,773.82,1.06,1,2026-06-14T21:00:00+08:00
SM-0012-03,SUP-020,MAT-0012,3,24,200,5352,822.72,1.39,1,2026-06-07T03:00:00+08:00
SM-0012-04,SUP-016,MAT-0012,4,36,1000,8353,734.6,1.38,1,2026-06-12T09:00:00+08:00
SM-0012-05,SUP-014,MAT-0012,5,168,1000,10520,760.28,1.28,1,2026-06-06T04:00:00+08:00
SM-0013-01,SUP-004,MAT-0013,1,72,50,10721,1071.98,1.24,1,2026-06-14T13:00:00+08:00
SM-0013-02,SUP-055,MAT-0013,2,24,50,6747,1134.01,1.38,1,2026-06-11T11:00:00+08:00
SM-0013-03,SUP-048,MAT-0013,3,120,100,4644,957.12,1.28,1,2026-06-14T17:00:00+08:00
SM-0013-04,SUP-024,MAT-0013,4,36,50,4979,1132.96,1.05,0,2026-06-13T16:00:00+08:00
SM-0013-05,SUP-006,MAT-0013,5,24,50,12156,941.74,1.48,0,2026-06-07T21:00:00+08:00
SM-0013-06,SUP-037,MAT-0013,6,168,1000,2077,1057.66,1.61,0,2026-06-10T14:00:00+08:00
SM-0014-01,SUP-016,MAT-0014,1,72,1000,8559,235.12,1.45,1,2026-06-12T11:00:00+08:00
SM-0014-02,SUP-031,MAT-0014,2,96,200,4017,247.92,1.5,0,2026-06-12T05:00:00+08:00
SM-0014-03,SUP-029,MAT-0014,3,24,200,11392,272.17,1.06,1,2026-06-10T05:00:00+08:00
SM-0015-01,SUP-009,MAT-0015,1,168,1000,7703,363.3,1.55,1,2026-06-14T07:00:00+08:00
SM-0015-02,SUP-053,MAT-0015,2,96,50,783,294.84,1.23,1,2026-06-14T18:00:00+08:00
SM-0015-03,SUP-038,MAT-0015,3,168,200,3920,319.52,1.39,1,2026-06-08T08:00:00+08:00
SM-0016-01,SUP-046,MAT-0016,1,48,500,12474,254.0,1.58,1,2026-06-10T20:00:00+08:00
SM-0016-02,SUP-041,MAT-0016,2,48,50,13382,253.02,1.13,0,2026-06-07T12:00:00+08:00
SM-0016-03,SUP-060,MAT-0016,3,96,1000,431,242.89,1.11,1,2026-06-13T02:00:00+08:00
SM-0016-04,SUP-039,MAT-0016,4,24,1000,10124,206.71,1.62,1,2026-06-15T07:00:00+08:00
SM-0017-01,SUP-056,MAT-0017,1,96,500,13985,84.67,1.34,1,2026-06-13T22:00:00+08:00
SM-0017-02,SUP-042,MAT-0017,2,96,200,9879,85.83,1.64,1,2026-06-10T12:00:00+08:00
SM-0017-03,SUP-011,MAT-0017,3,36,50,6172,73.34,1.37,1,2026-06-12T03:00:00+08:00
SM-0018-01,SUP-035,MAT-0018,1,36,500,593,32.61,1.6,1,2026-06-14T16:00:00+08:00
SM-0018-02,SUP-010,MAT-0018,2,48,100,2864,27.37,1.33,1,2026-06-06T07:00:00+08:00
SM-0018-03,SUP-059,MAT-0018,3,36,500,12675,35.03,1.29,1,2026-06-12T17:00:00+08:00
SM-0018-04,SUP-001,MAT-0018,4,120,100,10512,29.87,1.18,1,2026-06-14T18:00:00+08:00
SM-0018-05,SUP-030,MAT-0018,5,96,50,8007,29.71,1.34,1,2026-06-05T17:00:00+08:00
SM-0018-06,SUP-003,MAT-0018,6,72,50,9932,28.33,1.62,1,2026-06-14T09:00:00+08:00
SM-0019-01,SUP-001,MAT-0019,1,120,100,13585,28.23,1.1,1,2026-06-10T21:00:00+08:00
SM-0019-02,SUP-015,MAT-0019,2,36,100,11212,29.12,1.17,1,2026-06-13T02:00:00+08:00
SM-0019-03,SUP-034,MAT-0019,3,168,200,12071,28.14,1.26,1,2026-06-10T15:00:00+08:00
SM-0019-04,SUP-057,MAT-0019,4,96,500,11548,27.06,1.32,1,2026-06-14T04:00:00+08:00
SM-0020-01,SUP-015,MAT-0020,1,96,500,1991,225.77,1.53,1,2026-06-13T23:00:00+08:00
SM-0020-02,SUP-024,MAT-0020,2,36,500,5983,207.12,1.57,0,2026-06-11T13:00:00+08:00
SM-0020-03,SUP-027,MAT-0020,3,72,50,9264,264.38,1.2,0,2026-06-05T10:00:00+08:00
SM-0020-04,SUP-056,MAT-0020,4,48,500,7774,235.01,1.37,1,2026-06-05T21:00:00+08:00
SM-0020-05,SUP-003,MAT-0020,5,168,200,427,246.47,1.53,1,2026-06-11T05:00:00+08:00
SM-0020-06,SUP-025,MAT-0020,6,24,500,11805,263.57,1.32,0,2026-06-06T20:00:00+08:00
SM-0021-01,SUP-059,MAT-0021,1,96,50,5317,13.52,1.47,1,2026-06-05T18:00:00+08:00
SM-0021-02,SUP-058,MAT-0021,2,120,1000,2783,10.96,1.4,1,2026-06-05T20:00:00+08:00
SM-0021-03,SUP-011,MAT-0021,3,120,500,14550,13.22,1.11,1,2026-06-13T09:00:00+08:00
SM-0021-04,SUP-005,MAT-0021,4,36,100,5685,12.2,1.25,1,2026-06-14T08:00:00+08:00
SM-0021-05,SUP-036,MAT-0021,5,120,50,8936,13.55,1.36,1,2026-06-12T16:00:00+08:00
SM-0021-06,SUP-052,MAT-0021,6,48,1000,7873,10.49,1.14,1,2026-06-07T03:00:00+08:00
SM-0022-01,SUP-011,MAT-0022,1,48,100,11481,85.39,1.6,1,2026-06-11T00:00:00+08:00
SM-0022-02,SUP-003,MAT-0022,2,24,500,6897,79.45,1.06,1,2026-06-06T00:00:00+08:00
SM-0022-03,SUP-039,MAT-0022,3,168,50,12463,79.38,1.32,1,2026-06-14T20:00:00+08:00
SM-0022-04,SUP-016,MAT-0022,4,120,100,10682,78.99,1.18,1,2026-06-06T18:00:00+08:00
SM-0022-05,SUP-009,MAT-0022,5,96,200,5640,80.4,1.52,1,2026-06-09T11:00:00+08:00
SM-0023-01,SUP-008,MAT-0023,1,72,200,11642,424.56,1.36,0,2026-06-08T08:00:00+08:00
SM-0023-02,SUP-027,MAT-0023,2,96,100,8493,403.69,1.53,0,2026-06-10T04:00:00+08:00
SM-0023-03,SUP-059,MAT-0023,3,96,1000,8308,378.59,1.12,1,2026-06-12T19:00:00+08:00
SM-0023-04,SUP-040,MAT-0023,4,72,500,3095,446.48,1.37,1,2026-06-06T03:00:00+08:00
SM-0024-01,SUP-022,MAT-0024,1,36,500,12686,18.94,1.55,1,2026-06-11T07:00:00+08:00
SM-0024-02,SUP-045,MAT-0024,2,120,1000,8468,18.15,1.6,1,2026-06-08T11:00:00+08:00
SM-0024-03,SUP-053,MAT-0024,3,48,200,14646,21.88,1.39,1,2026-06-08T01:00:00+08:00
SM-0024-04,SUP-028,MAT-0024,4,168,50,9850,18.34,1.3,1,2026-06-11T05:00:00+08:00
SM-0024-05,SUP-042,MAT-0024,5,48,1000,3691,16.94,1.52,1,2026-06-07T13:00:00+08:00
SM-0025-01,SUP-004,MAT-0025,1,36,50,12480,672.67,1.42,1,2026-06-13T10:00:00+08:00
SM-0025-02,SUP-046,MAT-0025,2,72,50,14531,755.57,1.38,1,2026-06-05T18:00:00+08:00
SM-0025-03,SUP-042,MAT-0025,3,36,500,9577,925.43,1.53,1,2026-06-11T05:00:00+08:00
SM-0025-04,SUP-009,MAT-0025,4,36,200,3023,824.32,1.56,1,2026-06-13T04:00:00+08:00
SM-0025-05,SUP-049,MAT-0025,5,72,1000,967,925.39,1.43,1,2026-06-07T11:00:00+08:00
SM-0026-01,SUP-048,MAT-0026,1,36,100,6748,1026.91,1.5,1,2026-06-11T15:00:00+08:00
SM-0026-02,SUP-009,MAT-0026,2,120,1000,1174,942.62,1.29,1,2026-06-06T03:00:00+08:00
SM-0026-03,SUP-020,MAT-0026,3,120,50,7669,1029.09,1.55,1,2026-06-14T06:00:00+08:00
SM-0026-04,SUP-010,MAT-0026,4,72,1000,14447,950.58,1.37,1,2026-06-09T11:00:00+08:00
SM-0026-05,SUP-039,MAT-0026,5,96,200,2038,895.79,1.2,1,2026-06-05T16:00:00+08:00
SM-0026-06,SUP-056,MAT-0026,6,24,1000,8848,975.77,1.56,1,2026-06-08T16:00:00+08:00
SM-0027-01,SUP-036,MAT-0027,1,24,100,4336,637.57,1.32,1,2026-06-09T10:00:00+08:00
SM-0027-02,SUP-054,MAT-0027,2,24,500,7515,748.75,1.38,1,2026-06-10T11:00:00+08:00
SM-0027-03,SUP-059,MAT-0027,3,168,100,5722,784.51,1.29,1,2026-06-14T11:00:00+08:00
SM-0027-04,SUP-010,MAT-0027,4,36,1000,411,578.77,1.23,1,2026-06-08T03:00:00+08:00
SM-0027-05,SUP-017,MAT-0027,5,24,100,4947,803.68,1.35,1,2026-06-06T07:00:00+08:00
SM-0027-06,SUP-051,MAT-0027,6,96,50,6385,636.04,1.12,0,2026-06-15T07:00:00+08:00
SM-0028-01,SUP-013,MAT-0028,1,168,200,12849,1346.74,1.58,1,2026-06-11T05:00:00+08:00
SM-0028-02,SUP-036,MAT-0028,2,24,1000,1548,1358.84,1.2,1,2026-06-10T05:00:00+08:00
SM-0028-03,SUP-042,MAT-0028,3,72,50,13998,1234.22,1.65,1,2026-06-14T00:00:00+08:00
SM-0028-04,SUP-038,MAT-0028,4,168,50,6554,1026.53,1.56,1,2026-06-09T03:00:00+08:00
SM-0029-01,SUP-020,MAT-0029,1,120,50,2612,355.74,1.45,1,2026-06-10T03:00:00+08:00
SM-0029-02,SUP-006,MAT-0029,2,120,50,12818,494.27,1.29,0,2026-06-09T17:00:00+08:00
SM-0029-03,SUP-043,MAT-0029,3,72,1000,723,435.69,1.63,1,2026-06-14T00:00:00+08:00
SM-0029-04,SUP-027,MAT-0029,4,24,500,14416,452.66,1.62,0,2026-06-13T13:00:00+08:00
SM-0029-05,SUP-012,MAT-0029,5,48,100,10826,405.71,1.3,1,2026-06-13T06:00:00+08:00
SM-0030-01,SUP-034,MAT-0030,1,48,50,11829,26.67,1.15,1,2026-06-08T15:00:00+08:00
SM-0030-02,SUP-004,MAT-0030,2,96,50,969,28.07,1.13,1,2026-06-13T03:00:00+08:00
SM-0030-03,SUP-011,MAT-0030,3,168,1000,8257,20.57,1.54,1,2026-06-12T11:00:00+08:00
SM-0030-04,SUP-047,MAT-0030,4,168,1000,13297,26.03,1.47,1,2026-06-14T20:00:00+08:00
SM-0031-01,SUP-042,MAT-0031,1,120,200,9354,715.02,1.63,1,2026-06-06T11:00:00+08:00
SM-0031-02,SUP-044,MAT-0031,2,168,200,3441,712.35,1.13,1,2026-06-11T23:00:00+08:00
SM-0031-03,SUP-023,MAT-0031,3,72,500,302,719.01,1.35,1,2026-06-09T11:00:00+08:00
SM-0031-04,SUP-006,MAT-0031,4,72,50,11911,742.31,1.48,0,2026-06-09T04:00:00+08:00
SM-0032-01,SUP-013,MAT-0032,1,48,500,1013,412.73,1.2,1,2026-06-10T15:00:00+08:00
SM-0032-02,SUP-046,MAT-0032,2,72,50,14511,376.3,1.1,1,2026-06-13T14:00:00+08:00
SM-0032-03,SUP-043,MAT-0032,3,96,200,14059,465.69,1.13,1,2026-06-12T21:00:00+08:00
SM-0032-04,SUP-020,MAT-0032,4,72,50,11825,403.55,1.61,1,2026-06-07T12:00:00+08:00
SM-0032-05,SUP-035,MAT-0032,5,24,50,10234,391.41,1.37,1,2026-06-14T13:00:00+08:00
SM-0033-01,SUP-050,MAT-0033,1,24,200,7324,176.51,1.3,0,2026-06-11T04:00:00+08:00
SM-0033-02,SUP-019,MAT-0033,2,72,500,5746,163.07,1.44,1,2026-06-12T06:00:00+08:00
SM-0033-03,SUP-060,MAT-0033,3,168,1000,12389,148.95,1.12,1,2026-06-10T10:00:00+08:00
SM-0033-04,SUP-024,MAT-0033,4,168,50,11878,138.76,1.58,0,2026-06-10T17:00:00+08:00
SM-0033-05,SUP-001,MAT-0033,5,96,100,3028,182.0,1.59,1,2026-06-15T07:00:00+08:00
SM-0034-01,SUP-001,MAT-0034,1,120,50,7197,49.36,1.27,1,2026-06-07T18:00:00+08:00
SM-0034-02,SUP-004,MAT-0034,2,168,200,10574,42.93,1.29,1,2026-06-07T22:00:00+08:00
SM-0034-03,SUP-027,MAT-0034,3,96,200,1599,38.25,1.28,0,2026-06-06T15:00:00+08:00
SM-0034-04,SUP-005,MAT-0034,4,120,1000,695,43.33,1.08,1,2026-06-10T20:00:00+08:00
SM-0034-05,SUP-023,MAT-0034,5,48,100,12695,43.13,1.13,1,2026-06-11T04:00:00+08:00
SM-0035-01,SUP-010,MAT-0035,1,72,1000,2723,10.3,1.1,1,2026-06-08T17:00:00+08:00
SM-0035-02,SUP-033,MAT-0035,2,24,1000,478,13.3,1.58,1,2026-06-09T17:00:00+08:00
SM-0035-03,SUP-050,MAT-0035,3,120,100,5588,9.68,1.48,0,2026-06-07T19:00:00+08:00
SM-0036-01,SUP-051,MAT-0036,1,72,200,5500,124.34,1.37,0,2026-06-14T09:00:00+08:00
SM-0036-02,SUP-026,MAT-0036,2,168,50,3589,115.22,1.61,1,2026-06-11T08:00:00+08:00
SM-0036-03,SUP-036,MAT-0036,3,72,1000,3665,122.35,1.06,1,2026-06-06T20:00:00+08:00
SM-0037-01,SUP-057,MAT-0037,1,48,100,11081,674.33,1.37,1,2026-06-10T02:00:00+08:00
SM-0037-02,SUP-028,MAT-0037,2,72,50,2736,626.74,1.57,1,2026-06-09T22:00:00+08:00
SM-0037-03,SUP-046,MAT-0037,3,168,200,1434,628.07,1.14,1,2026-06-08T01:00:00+08:00
SM-0037-04,SUP-053,MAT-0037,4,120,1000,12261,624.89,1.43,1,2026-06-10T12:00:00+08:00
SM-0037-05,SUP-059,MAT-0037,5,168,100,2647,702.31,1.45,1,2026-06-08T00:00:00+08:00
SM-0038-01,SUP-044,MAT-0038,1,168,1000,9398,640.66,1.62,1,2026-06-07T07:00:00+08:00
SM-0038-02,SUP-016,MAT-0038,2,72,200,4890,572.25,1.23,1,2026-06-12T10:00:00+08:00
SM-0038-03,SUP-033,MAT-0038,3,24,50,1821,575.89,1.21,1,2026-06-14T21:00:00+08:00
SM-0039-01,SUP-042,MAT-0039,1,36,200,5266,1009.44,1.27,1,2026-06-06T14:00:00+08:00
SM-0039-02,SUP-049,MAT-0039,2,120,50,12963,1013.91,1.42,1,2026-06-08T10:00:00+08:00
SM-0039-03,SUP-001,MAT-0039,3,120,50,12836,1047.13,1.3,1,2026-06-15T01:00:00+08:00
SM-0039-04,SUP-018,MAT-0039,4,96,100,12395,878.22,1.18,1,2026-06-11T00:00:00+08:00
SM-0040-01,SUP-060,MAT-0040,1,48,200,10680,30.11,1.62,1,2026-06-06T15:00:00+08:00
SM-0040-02,SUP-026,MAT-0040,2,168,500,1727,22.3,1.27,1,2026-06-08T12:00:00+08:00
SM-0040-03,SUP-018,MAT-0040,3,24,500,14511,26.93,1.61,1,2026-06-10T13:00:00+08:00
SM-0040-04,SUP-036,MAT-0040,4,72,500,14443,24.31,1.17,1,2026-06-07T20:00:00+08:00
SM-0041-01,SUP-038,MAT-0041,1,168,1000,4347,451.95,1.08,1,2026-06-07T02:00:00+08:00
SM-0041-02,SUP-011,MAT-0041,2,48,200,842,394.89,1.43,1,2026-06-15T02:00:00+08:00
SM-0041-03,SUP-015,MAT-0041,3,24,200,11294,326.31,1.29,1,2026-06-08T10:00:00+08:00
SM-0041-04,SUP-016,MAT-0041,4,120,100,9681,386.87,1.2,1,2026-06-05T08:00:00+08:00
SM-0042-01,SUP-047,MAT-0042,1,72,100,9288,484.06,1.26,1,2026-06-08T06:00:00+08:00
SM-0042-02,SUP-045,MAT-0042,2,120,1000,12218,426.07,1.54,1,2026-06-07T07:00:00+08:00
SM-0042-03,SUP-022,MAT-0042,3,48,50,1062,426.76,1.31,1,2026-06-07T13:00:00+08:00
SM-0042-04,SUP-012,MAT-0042,4,168,100,10899,466.76,1.56,1,2026-06-05T18:00:00+08:00
SM-0042-05,SUP-029,MAT-0042,5,48,100,2469,439.98,1.43,1,2026-06-13T14:00:00+08:00
SM-0043-01,SUP-026,MAT-0043,1,72,500,2705,261.0,1.58,1,2026-06-07T17:00:00+08:00
SM-0043-02,SUP-016,MAT-0043,2,168,1000,13148,327.63,1.31,1,2026-06-12T14:00:00+08:00
SM-0043-03,SUP-028,MAT-0043,3,96,1000,2233,280.5,1.22,1,2026-06-07T03:00:00+08:00
SM-0043-04,SUP-044,MAT-0043,4,24,1000,13363,297.64,1.62,1,2026-06-06T23:00:00+08:00
SM-0043-05,SUP-045,MAT-0043,5,36,500,10816,291.92,1.4,1,2026-06-07T14:00:00+08:00
SM-0043-06,SUP-020,MAT-0043,6,96,1000,12376,263.03,1.13,1,2026-06-09T06:00:00+08:00
SM-0044-01,SUP-059,MAT-0044,1,36,500,2308,13.35,1.61,1,2026-06-13T15:00:00+08:00
SM-0044-02,SUP-056,MAT-0044,2,168,200,8645,16.16,1.51,1,2026-06-05T19:00:00+08:00
SM-0044-03,SUP-008,MAT-0044,3,120,500,2336,16.38,1.33,0,2026-06-09T22:00:00+08:00
SM-0044-04,SUP-011,MAT-0044,4,96,500,9867,18.39,1.38,1,2026-06-05T09:00:00+08:00
SM-0044-05,SUP-025,MAT-0044,5,72,50,9421,17.51,1.18,0,2026-06-08T00:00:00+08:00
SM-0044-06,SUP-029,MAT-0044,6,120,1000,8683,13.42,1.49,1,2026-06-08T04:00:00+08:00
SM-0045-01,SUP-011,MAT-0045,1,36,50,14724,23.08,1.65,1,2026-06-06T19:00:00+08:00
SM-0045-02,SUP-032,MAT-0045,2,72,200,4106,24.75,1.57,1,2026-06-10T22:00:00+08:00
SM-0045-03,SUP-054,MAT-0045,3,120,200,11364,23.88,1.34,1,2026-06-05T17:00:00+08:00
SM-0046-01,SUP-040,MAT-0046,1,72,500,6344,1191.9,1.61,1,2026-06-12T20:00:00+08:00
SM-0046-02,SUP-057,MAT-0046,2,120,100,6050,1377.4,1.43,1,2026-06-14T23:00:00+08:00
SM-0046-03,SUP-017,MAT-0046,3,72,100,1611,1309.31,1.37,1,2026-06-15T06:00:00+08:00
SM-0046-04,SUP-038,MAT-0046,4,24,500,6169,1313.51,1.4,1,2026-06-15T03:00:00+08:00
SM-0046-05,SUP-020,MAT-0046,5,24,500,13112,1390.58,1.38,1,2026-06-12T21:00:00+08:00
SM-0046-06,SUP-058,MAT-0046,6,36,100,7444,1416.2,1.05,1,2026-06-13T17:00:00+08:00
SM-0047-01,SUP-024,MAT-0047,1,24,50,13961,414.79,1.24,0,2026-06-12T15:00:00+08:00
SM-0047-02,SUP-056,MAT-0047,2,24,1000,7861,435.09,1.48,1,2026-06-11T02:00:00+08:00
SM-0047-03,SUP-006,MAT-0047,3,48,1000,7793,436.55,1.13,0,2026-06-05T19:00:00+08:00
SM-0047-04,SUP-016,MAT-0047,4,120,1000,1780,505.83,1.05,1,2026-06-06T22:00:00+08:00
SM-0048-01,SUP-018,MAT-0048,1,120,500,7979,19.87,1.4,1,2026-06-11T16:00:00+08:00
SM-0048-02,SUP-055,MAT-0048,2,120,100,3452,18.02,1.26,1,2026-06-06T05:00:00+08:00
SM-0048-03,SUP-002,MAT-0048,3,168,100,7910,15.58,1.06,1,2026-06-15T07:00:00+08:00
SM-0048-04,SUP-054,MAT-0048,4,36,500,6066,18.8,1.61,1,2026-06-11T11:00:00+08:00
SM-0048-05,SUP-017,MAT-0048,5,72,100,8727,15.71,1.09,1,2026-06-12T14:00:00+08:00
SM-0048-06,SUP-003,MAT-0048,6,36,500,1234,19.35,1.62,1,2026-06-09T12:00:00+08:00
SM-0049-01,SUP-059,MAT-0049,1,96,500,3728,4.01,1.32,1,2026-06-10T18:00:00+08:00
SM-0049-02,SUP-027,MAT-0049,2,48,100,12770,4.88,1.08,0,2026-06-07T12:00:00+08:00
SM-0049-03,SUP-010,MAT-0049,3,48,50,7929,4.56,1.18,1,2026-06-06T14:00:00+08:00
SM-0049-04,SUP-019,MAT-0049,4,120,1000,2865,4.44,1.4,1,2026-06-07T02:00:00+08:00
SM-0050-01,SUP-010,MAT-0050,1,96,1000,13012,784.43,1.17,1,2026-06-09T19:00:00+08:00
SM-0050-02,SUP-001,MAT-0050,2,168,100,11324,700.71,1.62,1,2026-06-13T07:00:00+08:00
SM-0050-03,SUP-036,MAT-0050,3,48,500,3354,712.16,1.54,1,2026-06-05T21:00:00+08:00
SM-0050-04,SUP-049,MAT-0050,4,168,500,5159,590.85,1.26,1,2026-06-06T01:00:00+08:00
SM-0050-05,SUP-046,MAT-0050,5,96,500,1951,643.24,1.34,1,2026-06-14T08:00:00+08:00
SM-0050-06,SUP-022,MAT-0050,6,72,200,6998,788.34,1.21,1,2026-06-09T00:00:00+08:00
SM-0051-01,SUP-057,MAT-0051,1,24,100,12563,47.48,1.52,1,2026-06-15T04:00:00+08:00
SM-0051-02,SUP-020,MAT-0051,2,24,50,7980,42.71,1.1,1,2026-06-07T08:00:00+08:00
SM-0051-03,SUP-044,MAT-0051,3,36,500,1297,53.58,1.42,1,2026-06-07T01:00:00+08:00
SM-0051-04,SUP-059,MAT-0051,4,168,200,8196,45.39,1.27,1,2026-06-07T09:00:00+08:00
SM-0051-05,SUP-035,MAT-0051,5,48,1000,1562,45.37,1.58,1,2026-06-09T19:00:00+08:00
SM-0051-06,SUP-041,MAT-0051,6,96,50,14033,45.75,1.22,0,2026-06-10T08:00:00+08:00
SM-0052-01,SUP-039,MAT-0052,1,72,100,7835,88.2,1.55,1,2026-06-11T04:00:00+08:00
SM-0052-02,SUP-060,MAT-0052,2,24,200,13047,89.16,1.18,1,2026-06-05T13:00:00+08:00
SM-0052-03,SUP-022,MAT-0052,3,72,500,8611,106.63,1.21,1,2026-06-11T01:00:00+08:00
SM-0052-04,SUP-042,MAT-0052,4,96,50,10929,82.43,1.31,1,2026-06-12T00:00:00+08:00
SM-0052-05,SUP-038,MAT-0052,5,36,500,9392,95.32,1.58,1,2026-06-09T23:00:00+08:00
SM-0053-01,SUP-040,MAT-0053,1,120,100,9885,36.19,1.36,1,2026-06-07T04:00:00+08:00
SM-0053-02,SUP-015,MAT-0053,2,120,500,14687,32.34,1.44,1,2026-06-07T18:00:00+08:00
SM-0053-03,SUP-025,MAT-0053,3,168,1000,11256,34.85,1.6,0,2026-06-12T05:00:00+08:00
SM-0054-01,SUP-058,MAT-0054,1,24,100,6701,659.88,1.38,1,2026-06-14T10:00:00+08:00
SM-0054-02,SUP-015,MAT-0054,2,168,500,4458,739.98,1.35,1,2026-06-07T02:00:00+08:00
