production_plan_id,plant_warehouse_id,finished_material_id,planned_qty,planned_start_at,planned_end_at,plan_status,priority,material_readiness_rate,updated_at
PP-0000018,WH-04,MAT-0213,13229,2026-04-10T06:00:00+08:00,2026-04-14T03:00:00+08:00,completed,normal,0.9569,2026-04-10T15:00:00+08:00
PP-0000019,WH-04,MAT-0155,8291,2026-06-30T05:00:00+08:00,2026-07-01T05:00:00+08:00,planned,normal,0.7758,2026-06-15T08:00:00+08:00
PP-0000020,WH-02,MAT-0084,10526,2026-03-23T22:00:00+08:00,2026-03-25T14:00:00+08:00,paused,high,0.6926,2026-03-24T09:00:00+08:00
PP-0000021,WH-04,MAT-0114,16249,2025-10-28T23:00:00+08:00,2025-10-31T19:00:00+08:00,completed,high,0.6475,2025-10-29T10:00:00+08:00
PP-0000022,WH-04,MAT-0032,8353,2026-06-13T20:00:00+08:00,2026-06-17T16:00:00+08:00,released,normal,0.9812,2026-06-14T17:00:00+08:00
PP-0000023,WH-04,MAT-0211,11201,2026-05-25T12:00:00+08:00,2026-05-29T16:00:00+08:00,released,high,0.9717,2026-05-26T14:00:00+08:00
PP-0000024,WH-02,MAT-0173,4284,2025-06-28T14:00:00+08:00,2025-07-01T01:00:00+08:00,completed,normal,0.835,2025-06-30T04:00:00+08:00
PP-0000025,WH-02,MAT-0179,12132,2026-01-04T11:00:00+08:00,2026-01-09T02:00:00+08:00,completed,normal,0.9541,2026-01-06T03:00:00+08:00
PP-0000026,WH-04,MAT-0211,13797,2025-08-05T08:00:00+08:00,2025-08-07T23:00:00+08:00,completed,normal,0.9224,2025-08-07T06:00:00+08:00
PP-0000027,WH-02,MAT-0131,4136,2026-04-23T17:00:00+08:00,2026-04-27T03:00:00+08:00,released,normal,0.9761,2026-04-24T00:00:00+08:00
PP-0000028,WH-02,MAT-0186,15301,2026-06-07T23:00:00+08:00,2026-06-11T11:00:00+08:00,completed,high,0.7644,2026-06-09T00:00:00+08:00
PP-0000029,WH-04,MAT-0128,14312,2026-03-07T00:00:00+08:00,2026-03-11T07:00:00+08:00,at_risk,high,0.7504,2026-03-07T02:00:00+08:00
PP-0000030,WH-02,MAT-0021,110,2025-08-05T13:00:00+08:00,2025-08-07T05:00:00+08:00,completed,normal,0.8055,2025-08-06T14:00:00+08:00
PP-0000031,WH-02,MAT-0133,5962,2026-04-22T15:00:00+08:00,2026-04-26T11:00:00+08:00,completed,normal,0.684,2026-04-22T15:00:00+08:00
PP-0000032,WH-04,MAT-0152,7509,2025-10-14T15:00:00+08:00,2025-10-16T03:00:00+08:00,planned,normal,0.8906,2025-10-16T09:00:00+08:00
PP-0000033,WH-04,MAT-0158,17705,2026-03-26T17:00:00+08:00,2026-03-29T18:00:00+08:00,completed,normal,0.5961,2026-03-27T20:00:00+08:00
PP-0000034,WH-04,MAT-0125,7570,2026-06-01T01:00:00+08:00,2026-06-03T12:00:00+08:00,completed,normal,0.8939,2026-06-01T04:00:00+08:00
PP-0000035,WH-02,MAT-0087,19957,2026-02-16T07:00:00+08:00,2026-02-20T10:00:00+08:00,released,normal,0.6804,2026-02-17T16:00:00+08:00
PP-0000036,WH-02,MAT-0056,6328,2026-07-05T17:00:00+08:00,2026-07-06T21:00:00+08:00,planned,normal,0.9046,2026-06-15T08:00:00+08:00
PP-0000037,WH-04,MAT-0055,3294,2025-06-17T03:00:00+08:00,2025-06-20T13:00:00+08:00,completed,high,0.7729,2025-06-18T12:00:00+08:00
PP-0000038,WH-04,MAT-0026,3136,2026-07-01T15:00:00+08:00,2026-07-06T11:00:00+08:00,paused,normal,0.6243,2026-06-15T08:00:00+08:00
PP-0000039,WH-04,MAT-0173,1360,2026-04-23T07:00:00+08:00,2026-04-24T06:00:00+08:00,completed,urgent,0.9637,2026-04-23T20:00:00+08:00
PP-0000040,WH-04,MAT-0100,11798,2025-09-10T15:00:00+08:00,2025-09-14T13:00:00+08:00,completed,normal,0.7103,2025-09-11T01:00:00+08:00
PP-0000041,WH-04,MAT-0203,11869,2025-06-24T00:00:00+08:00,2025-06-24T08:00:00+08:00,planned,normal,0.9442,2025-06-25T10:00:00+08:00
PP-0000042,WH-02,MAT-0117,11501,2026-03-31T15:00:00+08:00,2026-04-02T07:00:00+08:00,paused,normal,0.7498,2026-04-01T12:00:00+08:00
PP-0000043,WH-02,MAT-0071,16077,2025-10-02T03:00:00+08:00,2025-10-02T23:00:00+08:00,planned,high,0.7,2025-10-03T12:00:00+08:00
PP-0000044,WH-02,MAT-0043,19433,2026-03-03T22:00:00+08:00,2026-03-08T00:00:00+08:00,completed,normal,0.8367,2026-03-05T06:00:00+08:00
PP-0000045,WH-04,MAT-0056,17856,2026-03-01T17:00:00+08:00,2026-03-03T19:00:00+08:00,completed,urgent,0.781,2026-03-02T23:00:00+08:00
PP-0000046,WH-04,MAT-0236,17184,2026-03-03T12:00:00+08:00,2026-03-06T20:00:00+08:00,completed,urgent,0.7185,2026-03-04T16:00:00+08:00
PP-0000047,WH-02,MAT-0111,19684,2026-05-18T19:00:00+08:00,2026-05-23T16:00:00+08:00,completed,normal,0.9947,2026-05-19T10:00:00+08:00
PP-0000048,WH-02,MAT-0144,4808,2025-07-28T22:00:00+08:00,2025-08-01T21:00:00+08:00,completed,high,0.8205,2025-07-30T06:00:00+08:00
PP-0000049,WH-02,MAT-0077,12471,2025-09-27T00:00:00+08:00,2025-09-27T19:00:00+08:00,completed,normal,0.755,2025-09-27T01:00:00+08:00
PP-0000050,WH-04,MAT-0151,19943,2026-04-14T02:00:00+08:00,2026-04-14T23:00:00+08:00,completed,normal,0.6159,2026-04-15T03:00:00+08:00
PP-0000051,WH-02,MAT-0022,8166,2026-03-01T13:00:00+08:00,2026-03-02T02:00:00+08:00,completed,normal,0.8955,2026-03-03T11:00:00+08:00
PP-0000052,WH-04,MAT-0192,12062,2026-01-16T17:00:00+08:00,2026-01-20T11:00:00+08:00,completed,high,0.9401,2026-01-18T02:00:00+08:00
PP-0000053,WH-04,MAT-0069,8764,2025-11-27T20:00:00+08:00,2025-11-29T08:00:00+08:00,completed,high,0.561,2025-11-28T17:00:00+08:00
PP-0000054,WH-04,MAT-0089,9216,2026-05-20T10:00:00+08:00,2026-05-20T19:00:00+08:00,planned,high,0.9408,2026-05-21T19:00:00+08:00
PP-0000055,WH-04,MAT-0183,4229,2025-09-11T23:00:00+08:00,2025-09-15T21:00:00+08:00,paused,high,0.727,2025-09-12T21:00:00+08:00
PP-0000056,WH-02,MAT-0239,5667,2025-10-31T11:00:00+08:00,2025-11-02T21:00:00+08:00,released,high,0.5555,2025-11-01T22:00:00+08:00
PP-0000057,WH-02,MAT-0189,7467,2025-11-29T05:00:00+08:00,2025-12-02T02:00:00+08:00,completed,high,0.7581,2025-11-29T05:00:00+08:00
PP-0000058,WH-02,MAT-0234,11194,2025-09-20T06:00:00+08:00,2025-09-24T22:00:00+08:00,completed,normal,0.9098,2025-09-20T14:00:00+08:00
PP-0000059,WH-04,MAT-0143,17769,2026-01-08T19:00:00+08:00,2026-01-11T17:00:00+08:00,released,normal,0.6711,2026-01-10T09:00:00+08:00
PP-0000060,WH-04,MAT-0116,19647,2025-10-27T12:00:00+08:00,2025-10-31T22:00:00+08:00,released,normal,0.9706,2025-10-27T22:00:00+08:00
PP-0000061,WH-04,MAT-0043,167,2025-12-24T02:00:00+08:00,2025-12-25T02:00:00+08:00,released,high,0.6377,2025-12-24T16:00:00+08:00
PP-0000062,WH-02,MAT-0214,16770,2026-04-11T00:00:00+08:00,2026-04-13T08:00:00+08:00,completed,normal,0.9866,2026-04-12T15:00:00+08:00
PP-0000063,WH-04,MAT-0004,1532,2026-06-20T10:00:00+08:00,2026-06-21T08:00:00+08:00,completed,normal,0.8186,2026-06-15T08:00:00+08:00
PP-0000064,WH-02,MAT-0026,6372,2025-10-14T03:00:00+08:00,2025-10-15T13:00:00+08:00,completed,urgent,0.8045,2025-10-15T02:00:00+08:00
PP-0000065,WH-04,MAT-0140,5028,2026-05-02T19:00:00+08:00,2026-05-04T01:00:00+08:00,completed,normal,0.6798,2026-05-03T09:00:00+08:00
PP-0000066,WH-02,MAT-0227,5421,2025-08-15T04:00:00+08:00,2025-08-15T22:00:00+08:00,completed,normal,0.8598,2025-08-16T02:00:00+08:00
PP-0000067,WH-04,MAT-0138,2173,2026-01-12T06:00:00+08:00,2026-01-16T12:00:00+08:00,completed,normal,0.9967,2026-01-12T19:00:00+08:00
PP-0000068,WH-04,MAT-0111,9179,2026-04-03T00:00:00+08:00,2026-04-07T01:00:00+08:00,completed,urgent,0.9089,2026-04-03T22:00:00+08:00
PP-0000069,WH-02,MAT-0081,14338,2026-04-22T11:00:00+08:00,2026-04-25T10:00:00+08:00,completed,normal,0.9609,2026-04-22T14:00:00+08:00
PP-0000070,WH-04,MAT-0121,11017,2026-03-07T05:00:00+08:00,2026-03-10T17:00:00+08:00,completed,normal,0.6414,2026-03-07T17:00:00+08:00
PP-0000071,WH-02,MAT-0060,18551,2026-04-05T01:00:00+08:00,2026-04-07T22:00:00+08:00,completed,urgent,0.916,2026-04-05T08:00:00+08:00
PP-0000072,WH-02,MAT-0121,16210,2025-09-30T13:00:00+08:00,2025-10-02T00:00:00+08:00,at_risk,normal,0.7791,2025-10-01T21:00:00+08:00
PP-0000073,WH-02,MAT-0234,3554,2025-08-04T19:00:00+08:00,2025-08-07T22:00:00+08:00,planned,normal,0.7173,2025-08-05T07:00:00+08:00
PP-0000074,WH-04,MAT-0214,10954,2025-08-13T02:00:00+08:00,2025-08-16T22:00:00+08:00,completed,normal,0.6744,2025-08-14T22:00:00+08:00
PP-0000075,WH-04,MAT-0193,19799,2025-06-17T14:00:00+08:00,2025-06-21T03:00:00+08:00,completed,normal,0.7313,2025-06-18T23:00:00+08:00
PP-0000076,WH-04,MAT-0055,4917,2025-09-20T02:00:00+08:00,2025-09-23T06:00:00+08:00,completed,normal,0.5956,2025-09-21T05:00:00+08:00
PP-0000077,WH-04,MAT-0169,744,2026-03-22T00:00:00+08:00,2026-03-25T10:00:00+08:00,released,normal,0.9758,2026-03-23T13:00:00+08:00
PP-0000078,WH-02,MAT-0014,13114,2026-06-14T15:00:00+08:00,2026-06-17T11:00:00+08:00,released,normal,0.5864,2026-06-14T19:00:00+08:00
PP-0000079,WH-04,MAT-0171,12551,2025-12-10T02:00:00+08:00,2025-12-11T03:00:00+08:00,planned,normal,0.8962,2025-12-11T16:00:00+08:00
PP-0000080,WH-02,MAT-0091,6171,2025-08-01T09:00:00+08:00,2025-08-02T06:00:00+08:00,completed,normal,0.9246,2025-08-03T03:00:00+08:00
PP-0000081,WH-04,MAT-0219,6559,2026-06-25T09:00:00+08:00,2026-06-28T15:00:00+08:00,completed,normal,0.6369,2026-06-15T08:00:00+08:00
PP-0000082,WH-04,MAT-0189,4843,2026-04-17T22:00:00+08:00,2026-04-20T18:00:00+08:00,at_risk,normal,0.8427,2026-04-19T06:00:00+08:00
PP-0000083,WH-02,MAT-0016,19881,2026-03-03T17:00:00+08:00,2026-03-04T11:00:00+08:00,completed,normal,0.9339,2026-03-05T05:00:00+08:00
PP-0000084,WH-04,MAT-0034,12640,2025-11-20T23:00:00+08:00,2025-11-24T19:00:00+08:00,released,urgent,0.6639,2025-11-21T13:00:00+08:00
PP-0000085,WH-04,MAT-0154,18482,2026-04-25T20:00:00+08:00,2026-04-26T06:00:00+08:00,completed,normal,0.613,2026-04-27T11:00:00+08:00
PP-0000086,WH-04,MAT-0099,10101,2025-09-05T19:00:00+08:00,2025-09-09T16:00:00+08:00,completed,normal,0.8415,2025-09-06T20:00:00+08:00
PP-0000087,WH-02,MAT-0203,5648,2026-02-20T21:00:00+08:00,2026-02-22T11:00:00+08:00,completed,normal,0.6422,2026-02-21T02:00:00+08:00
PP-0000088,WH-02,MAT-0082,8206,2025-11-07T04:00:00+08:00,2025-11-11T21:00:00+08:00,completed,normal,0.8334,2025-11-08T04:00:00+08:00
PP-0000089,WH-02,MAT-0096,7228,2026-07-10T12:00:00+08:00,2026-07-12T07:00:00+08:00,completed,urgent,0.7018,2026-06-15T08:00:00+08:00
PP-0000090,WH-02,MAT-0220,17936,2026-02-27T08:00:00+08:00,2026-03-03T00:00:00+08:00,planned,normal,0.5772,2026-03-01T04:00:00+08:00
PP-0000091,WH-04,MAT-0221,13498,2026-02-23T18:00:00+08:00,2026-02-28T14:00:00+08:00,completed,high,0.9124,2026-02-24T20:00:00+08:00
PP-0000092,WH-02,MAT-0181,17325,2025-10-19T19:00:00+08:00,2025-10-23T04:00:00+08:00,planned,high,0.8553,2025-10-20T23:00:00+08:00
PP-0000093,WH-04,MAT-0015,5128,2026-04-19T22:00:00+08:00,2026-04-20T13:00:00+08:00,released,normal,0.738,2026-04-20T12:00:00+08:00
PP-0000094,WH-02,MAT-0191,15643,2025-08-29T08:00:00+08:00,2025-08-30T08:00:00+08:00,planned,high,0.9363,2025-08-30T06:00:00+08:00
PP-0000095,WH-02,MAT-0028,5584,2026-07-06T11:00:00+08:00,2026-07-09T02:00:00+08:00,released,high,0.7737,2026-06-15T08:00:00+08:00
PP-0000096,WH-04,MAT-0038,14480,2025-09-25T07:00:00+08:00,2025-09-27T13:00:00+08:00,released,urgent,0.5992,2025-09-26T14:00:00+08:00
PP-0000097,WH-04,MAT-0081,16810,2025-09-14T15:00:00+08:00,2025-09-18T14:00:00+08:00,completed,normal,0.9608,2025-09-15T23:00:00+08:00
PP-0000098,WH-04,MAT-0191,11886,2026-02-12T23:00:00+08:00,2026-02-14T08:00:00+08:00,completed,normal,0.7486,2026-02-13T00:00:00+08:00
PP-0000099,WH-02,MAT-0024,11295,2025-12-01T09:00:00+08:00,2025-12-02T15:00:00+08:00,at_risk,normal,0.8841,2025-12-02T07:00:00+08:00
PP-0000100,WH-04,MAT-0022,18892,2026-06-08T20:00:00+08:00,2026-06-10T09:00:00+08:00,completed,normal,0.5633,2026-06-08T20:00:00+08:00
PP-0000101,WH-02,MAT-0156,4288,2026-07-11T12:00:00+08:00,2026-07-15T09:00:00+08:00,at_risk,urgent,0.9462,2026-06-15T08:00:00+08:00
PP-0000102,WH-02,MAT-0142,12263,2026-06-07T15:00:00+08:00,2026-06-10T00:00:00+08:00,planned,urgent,0.7919,2026-06-08T01:00:00+08:00
PP-0000103,WH-02,MAT-0056,11369,2025-12-11T02:00:00+08:00,2025-12-12T08:00:00+08:00,released,high,0.8445,2025-12-11T22:00:00+08:00
PP-0000104,WH-02,MAT-0129,6031,2026-06-03T15:00:00+08:00,2026-06-04T23:00:00+08:00,at_risk,normal,0.6592,2026-06-03T20:00:00+08:00
PP-0000105,WH-04,MAT-0067,17999,2026-01-23T14:00:00+08:00,2026-01-28T08:00:00+08:00,planned,normal,0.9173,2026-01-25T04:00:00+08:00
PP-0000106,WH-04,MAT-0129,17508,2026-03-08T17:00:00+08:00,2026-03-10T08:00:00+08:00,completed,normal,0.7827,2026-03-10T03:00:00+08:00
PP-0000107,WH-04,MAT-0049,12595,2025-12-28T21:00:00+08:00,2025-12-30T05:00:00+08:00,released,normal,0.9311,2025-12-30T16:00:00+08:00
PP-0000108,WH-02,MAT-0220,8474,2026-02-21T04:00:00+08:00,2026-02-24T04:00:00+08:00,planned,high,0.8086,2026-02-21T22:00:00+08:00
PP-0000109,WH-04,MAT-0179,11123,2025-06-20T08:00:00+08:00,2025-06-23T19:00:00+08:00,released,high,0.694,2025-06-20T09:00:00+08:00
PP-0000110,WH-02,MAT-0171,14164,2025-10-29T22:00:00+08:00,2025-10-31T11:00:00+08:00,planned,normal,0.655,2025-10-31T22:00:00+08:00
PP-0000111,WH-04,MAT-0222,13460,2025-11-07T14:00:00+08:00,2025-11-10T02:00:00+08:00,completed,urgent,0.6694,2025-11-07T18:00:00+08:00
PP-0000112,WH-04,MAT-0216,15188,2026-05-12T07:00:00+08:00,2026-05-14T16:00:00+08:00,planned,normal,0.6775,2026-05-13T21:00:00+08:00
PP-0000113,WH-04,MAT-0138,19857,2026-05-23T07:00:00+08:00,2026-05-26T14:00:00+08:00,completed,normal,0.8534,2026-05-23T19:00:00+08:00
PP-0000114,WH-04,MAT-0079,13975,2026-03-11T04:00:00+08:00,2026-03-15T18:00:00+08:00,at_risk,normal,0.8809,2026-03-13T00:00:00+08:00
PP-0000115,WH-04,MAT-0088,12856,2026-01-27T11:00:00+08:00,2026-01-31T12:00:00+08:00,released,high,0.9861,2026-01-28T01:00:00+08:00
PP-0000116,WH-04,MAT-0208,6504,2025-09-13T19:00:00+08:00,2025-09-17T14:00:00+08:00,planned,normal,0.6797,2025-09-15T04:00:00+08:00
PP-0000117,WH-04,MAT-0207,9708,2025-07-12T12:00:00+08:00,2025-07-14T21:00:00+08:00,planned,high,0.7642,2025-07-13T08:00:00+08:00
PP-0000118,WH-02,MAT-0145,2940,2025-09-30T14:00:00+08:00,2025-10-01T15:00:00+08:00,completed,normal,0.5954,2025-10-02T04:00:00+08:00
PP-0000119,WH-02,MAT-0099,17727,2025-09-16T19:00:00+08:00,2025-09-20T10:00:00+08:00,released,normal,0.9941,2025-09-16T19:00:00+08:00
PP-0000120,WH-02,MAT-0115,18939,2026-05-04T04:00:00+08:00,2026-05-08T03:00:00+08:00,completed,normal,0.773,2026-05-05T00:00:00+08:00
PP-0000121,WH-04,MAT-0072,18526,2025-12-13T03:00:00+08:00,2025-12-16T04:00:00+08:00,completed,normal,0.7354,2025-12-15T00:00:00+08:00
PP-0000122,WH-02,MAT-0174,11041,2025-07-30T04:00:00+08:00,2025-08-03T14:00:00+08:00,planned,normal,0.7163,2025-07-30T10:00:00+08:00
PP-0000123,WH-02,MAT-0176,860,2026-01-06T21:00:00+08:00,2026-01-10T10:00:00+08:00,released,high,0.837,2026-01-08T02:00:00+08:00
PP-0000124,WH-02,MAT-0002,6869,2026-05-30T21:00:00+08:00,2026-06-02T09:00:00+08:00,released,normal,0.5769,2026-05-31T07:00:00+08:00
PP-0000125,WH-04,MAT-0165,14844,2026-02-03T15:00:00+08:00,2026-02-08T03:00:00+08:00,released,high,0.8371,2026-02-05T06:00:00+08:00
PP-0000126,WH-02,MAT-0234,8244,2025-08-16T07:00:00+08:00,2025-08-17T23:00:00+08:00,at_risk,urgent,0.8064,2025-08-17T17:00:00+08:00
PP-0000127,WH-02,MAT-0160,10382,2026-04-05T23:00:00+08:00,2026-04-10T13:00:00+08:00,completed,normal,0.7775,2026-04-06T15:00:00+08:00
PP-0000128,WH-02,MAT-0112,1852,2025-07-18T00:00:00+08:00,2025-07-20T14:00:00+08:00,completed,normal,0.718,2025-07-18T15:00:00+08:00
PP-0000129,WH-02,MAT-0164,6383,2026-03-23T07:00:00+08:00,2026-03-25T09:00:00+08:00,planned,normal,0.898,2026-03-25T07:00:00+08:00
PP-0000130,WH-02,MAT-0075,10719,2026-04-30T20:00:00+08:00,2026-05-05T00:00:00+08:00,released,normal,0.6845,2026-05-01T18:00:00+08:00
PP-0000131,WH-02,MAT-0109,3805,2026-02-05T04:00:00+08:00,2026-02-08T06:00:00+08:00,completed,normal,0.6566,2026-02-06T08:00:00+08:00
PP-0000132,WH-02,MAT-0131,5037,2026-05-15T16:00:00+08:00,2026-05-19T10:00:00+08:00,released,high,0.7416,2026-05-15T19:00:00+08:00
PP-0000133,WH-04,MAT-0050,18636,2026-02-07T23:00:00+08:00,2026-02-12T12:00:00+08:00,completed,normal,0.8269,2026-02-08T07:00:00+08:00
PP-0000134,WH-02,MAT-0201,4717,2026-03-01T19:00:00+08:00,2026-03-03T13:00:00+08:00,completed,normal,0.6428,2026-03-03T18:00:00+08:00
PP-0000135,WH-04,MAT-0191,10263,2026-01-12T11:00:00+08:00,2026-01-17T10:00:00+08:00,released,normal,0.8325,2026-01-14T09:00:00+08:00
PP-0000136,WH-02,MAT-0108,17061,2026-01-10T17:00:00+08:00,2026-01-12T01:00:00+08:00,planned,normal,0.8417,2026-01-12T10:00:00+08:00
PP-0000137,WH-02,MAT-0054,5833,2026-04-28T20:00:00+08:00,2026-05-01T07:00:00+08:00,completed,urgent,0.9829,2026-04-30T06:00:00+08:00
PP-0000138,WH-04,MAT-0226,11642,2025-09-08T08:00:00+08:00,2025-09-11T23:00:00+08:00,planned,high,0.8626,2025-09-09T09:00:00+08:00
PP-0000139,WH-04,MAT-0225,10652,2025-12-25T23:00:00+08:00,2025-12-28T09:00:00+08:00,completed,normal,0.7632,2025-12-26T05:00:00+08:00
PP-0000140,WH-02,MAT-0220,4709,2025-07-20T23:00:00+08:00,2025-07-23T20:00:00+08:00,released,normal,0.9837,2025-07-22T09:00:00+08:00
PP-0000141,WH-04,MAT-0013,10597,2025-10-07T21:00:00+08:00,2025-10-12T20:00:00+08:00,planned,high,0.8066,2025-10-09T01:00:00+08:00
PP-0000142,WH-04,MAT-0038,16905,2025-06-23T13:00:00+08:00,2025-06-26T17:00:00+08:00,planned,normal,0.6082,2025-06-24T23:00:00+08:00
PP-0000143,WH-02,MAT-0138,1235,2025-06-27T18:00:00+08:00,2025-06-28T05:00:00+08:00,planned,urgent,0.9718,2025-06-28T11:00:00+08:00
PP-0000144,WH-02,MAT-0062,19649,2026-03-01T02:00:00+08:00,2026-03-03T09:00:00+08:00,completed,normal,0.7226,2026-03-01T05:00:00+08:00
PP-0000145,WH-04,MAT-0236,17406,2025-11-13T14:00:00+08:00,2025-11-16T17:00:00+08:00,completed,high,0.6141,2025-11-14T10:00:00+08:00
PP-0000146,WH-04,MAT-0210,2959,2026-04-14T04:00:00+08:00,2026-04-14T23:00:00+08:00,completed,high,0.7317,2026-04-14T04:00:00+08:00
PP-0000147,WH-02,MAT-0003,5318,2026-02-06T13:00:00+08:00,2026-02-07T23:00:00+08:00,completed,urgent,0.9858,2026-02-07T18:00:00+08:00
PP-0000148,WH-02,MAT-0142,4099,2026-06-17T08:00:00+08:00,2026-06-18T14:00:00+08:00,completed,normal,0.7653,2026-06-15T08:00:00+08:00
PP-0000149,WH-04,MAT-0231,19625,2025-12-20T21:00:00+08:00,2025-12-23T22:00:00+08:00,completed,urgent,0.7315,2025-12-21T06:00:00+08:00
PP-0000150,WH-02,MAT-0118,2974,2026-03-02T14:00:00+08:00,2026-03-03T04:00:00+08:00,completed,normal,0.6953,2026-03-03T05:00:00+08:00
PP-0000151,WH-02,MAT-0191,3657,2026-05-16T15:00:00+08:00,2026-05-20T09:00:00+08:00,completed,high,0.7406,2026-05-18T15:00:00+08:00
PP-0000152,WH-04,MAT-0134,11807,2025-09-25T22:00:00+08:00,2025-09-27T12:00:00+08:00,released,normal,0.5991,2025-09-26T12:00:00+08:00
PP-0000153,WH-04,MAT-0031,7050,2026-04-26T05:00:00+08:00,2026-04-27T06:00:00+08:00,completed,normal,0.7556,2026-04-27T01:00:00+08:00
PP-0000154,WH-04,MAT-0100,19450,2025-12-21T19:00:00+08:00,2025-12-26T12:00:00+08:00,completed,high,0.7194,2025-12-22T03:00:00+08:00
PP-0000155,WH-04,MAT-0080,19052,2025-06-16T21:00:00+08:00,2025-06-20T23:00:00+08:00,planned,high,0.708,2025-06-18T11:00:00+08:00
PP-0000156,WH-02,MAT-0167,14393,2025-11-03T01:00:00+08:00,2025-11-06T00:00:00+08:00,at_risk,normal,0.9035,2025-11-04T21:00:00+08:00
PP-0000157,WH-02,MAT-0036,4882,2025-09-01T07:00:00+08:00,2025-09-04T13:00:00+08:00,released,normal,0.9778,2025-09-02T20:00:00+08:00
PP-0000158,WH-04,MAT-0116,10248,2026-05-21T12:00:00+08:00,2026-05-25T04:00:00+08:00,released,high,0.7842,2026-05-22T19:00:00+08:00
PP-0000159,WH-04,MAT-0091,18495,2025-07-11T02:00:00+08:00,2025-07-13T13:00:00+08:00,at_risk,urgent,0.816,2025-07-12T04:00:00+08:00
PP-0000160,WH-02,MAT-0231,10283,2025-07-22T07:00:00+08:00,2025-07-23T04:00:00+08:00,planned,urgent,0.9085,2025-07-24T07:00:00+08:00
PP-0000161,WH-02,MAT-0091,14954,2026-05-29T21:00:00+08:00,2026-05-30T19:00:00+08:00,released,high,0.978,2026-05-31T00:00:00+08:00
PP-0000162,WH-04,MAT-0141,6962,2026-01-13T22:00:00+08:00,2026-01-16T11:00:00+08:00,released,normal,0.9061,2026-01-14T10:00:00+08:00
PP-0000163,WH-02,MAT-0204,15460,2025-07-11T17:00:00+08:00,2025-07-15T06:00:00+08:00,completed,normal,0.8842,2025-07-13T02:00:00+08:00
PP-0000164,WH-04,MAT-0062,1545,2026-06-14T04:00:00+08:00,2026-06-17T14:00:00+08:00,released,normal,0.5746,2026-06-15T08:00:00+08:00
PP-0000165,WH-04,MAT-0117,7281,2025-07-05T09:00:00+08:00,2025-07-06T04:00:00+08:00,planned,high,0.9309,2025-07-07T03:00:00+08:00
