purchase_order_id,supplier_id,order_created_at,expected_arrival_at,purchase_status,currency,order_amount,payment_terms_days,buyer,line_count,updated_at
PO-202605-000043,SUP-022,2026-05-22T06:50:00+08:00,2026-05-29T06:50:00+08:00,in_transit,CNY,2722063.61,60,采购二组,3,2026-05-23T06:50:00+08:00
PO-202602-000044,SUP-023,2026-02-03T20:06:00+08:00,2026-02-08T20:06:00+08:00,in_transit,CNY,1811682.74,90,战略采购组,2,2026-02-18T20:06:00+08:00
PO-202510-000045,SUP-036,2025-10-07T11:04:00+08:00,2025-10-12T11:04:00+08:00,received,CNY,1755283.4,15,战略采购组,3,2025-10-19T11:04:00+08:00
PO-202604-000046,SUP-060,2026-04-13T17:00:00+08:00,2026-04-20T17:00:00+08:00,received,CNY,3561643.09,45,采购一组,3,2026-05-18T17:00:00+08:00
PO-202511-000047,SUP-032,2025-11-15T15:05:00+08:00,2025-11-17T15:05:00+08:00,in_transit,CNY,2021661.18,45,战略采购组,1,2025-12-16T15:05:00+08:00
PO-202507-000048,SUP-045,2025-07-10T23:31:00+08:00,2025-07-17T23:31:00+08:00,received,CNY,4510817.79,15,战略采购组,4,2025-08-01T23:31:00+08:00
PO-202604-000049,SUP-048,2026-04-22T07:53:00+08:00,2026-04-29T07:53:00+08:00,draft,CNY,5163220.21,15,战略采购组,2,2026-05-05T07:53:00+08:00
PO-202604-000050,SUP-048,2026-04-07T08:12:00+08:00,2026-04-14T08:12:00+08:00,in_transit,CNY,1452334.38,15,采购一组,2,2026-05-04T08:12:00+08:00
PO-202509-000051,SUP-008,2025-09-24T18:00:00+08:00,2025-09-28T18:00:00+08:00,delayed,CNY,2562470.03,30,采购二组,2,2025-09-30T18:00:00+08:00
PO-202511-000052,SUP-007,2025-11-22T08:17:00+08:00,2025-11-29T08:17:00+08:00,confirmed,CNY,6729777.79,15,战略采购组,3,2025-12-28T08:17:00+08:00
PO-202509-000053,SUP-018,2025-09-24T21:24:00+08:00,2025-09-26T21:24:00+08:00,received,CNY,1096529.28,30,采购二组,2,2025-10-15T21:24:00+08:00
PO-202512-000054,SUP-045,2025-12-21T06:13:00+08:00,2025-12-26T06:13:00+08:00,received,CNY,2053657.4,45,采购一组,1,2026-01-15T06:13:00+08:00
PO-202605-000055,SUP-051,2026-05-03T07:12:00+08:00,2026-05-10T07:12:00+08:00,draft,CNY,12564446.42,60,战略采购组,4,2026-06-01T07:12:00+08:00
PO-202602-000056,SUP-025,2026-02-26T02:32:00+08:00,2026-03-05T02:32:00+08:00,confirmed,CNY,2000527.65,90,采购一组,3,2026-02-28T02:32:00+08:00
PO-202511-000057,SUP-047,2025-11-22T10:01:00+08:00,2025-11-29T10:01:00+08:00,received,CNY,5379494.46,60,采购一组,4,2025-11-22T10:01:00+08:00
PO-202509-000058,SUP-045,2025-09-21T04:17:00+08:00,2025-09-28T04:17:00+08:00,confirmed,CNY,9791808.34,30,采购二组,3,2025-10-22T04:17:00+08:00
PO-202601-000059,SUP-042,2026-01-26T18:16:00+08:00,2026-01-30T18:16:00+08:00,draft,CNY,2971912.34,60,战略采购组,2,2026-02-19T18:16:00+08:00
PO-202511-000060,SUP-035,2025-11-15T15:38:00+08:00,2025-11-20T15:38:00+08:00,received,CNY,8567512.11,90,战略采购组,2,2025-11-27T15:38:00+08:00
PO-202512-000061,SUP-004,2025-12-10T12:24:00+08:00,2025-12-17T12:24:00+08:00,draft,CNY,297419.04,45,采购二组,1,2025-12-14T12:24:00+08:00
PO-202604-000062,SUP-046,2026-04-17T10:59:00+08:00,2026-04-18T22:59:00+08:00,delayed,CNY,2940624.0,30,采购二组,2,2026-05-24T10:59:00+08:00
PO-202604-000063,SUP-042,2026-04-23T16:14:00+08:00,2026-04-24T16:14:00+08:00,in_transit,CNY,4325772.96,90,战略采购组,1,2026-05-29T16:14:00+08:00
PO-202507-000064,SUP-054,2025-07-09T06:32:00+08:00,2025-07-16T06:32:00+08:00,in_transit,CNY,2323424.36,30,采购二组,4,2025-07-17T06:32:00+08:00
PO-202509-000065,SUP-054,2025-09-20T03:06:00+08:00,2025-09-25T03:06:00+08:00,received,CNY,1781827.66,45,战略采购组,2,2025-10-04T03:06:00+08:00
PO-202507-000066,SUP-035,2025-07-04T19:50:00+08:00,2025-07-06T07:50:00+08:00,received,CNY,6545398.98,30,采购二组,2,2025-07-23T19:50:00+08:00
PO-202603-000067,SUP-008,2026-03-15T17:14:00+08:00,2026-03-22T17:14:00+08:00,delayed,CNY,1721989.8,45,采购一组,1,2026-03-15T17:14:00+08:00
PO-202511-000068,SUP-015,2025-11-20T16:48:00+08:00,2025-11-27T16:48:00+08:00,received,CNY,1632299.88,60,采购二组,1,2025-11-28T16:48:00+08:00
PO-202602-000069,SUP-013,2026-02-11T10:57:00+08:00,2026-02-14T10:57:00+08:00,delayed,CNY,10896893.25,60,采购二组,1,2026-03-10T10:57:00+08:00
PO-202506-000070,SUP-056,2025-06-22T01:46:00+08:00,2025-06-24T01:46:00+08:00,received,CNY,2327613.78,60,战略采购组,2,2025-07-11T01:46:00+08:00
PO-202603-000071,SUP-021,2026-03-29T00:20:00+08:00,2026-04-01T00:20:00+08:00,confirmed,CNY,1464049.8,60,战略采购组,2,2026-05-06T00:20:00+08:00
PO-202511-000072,SUP-058,2025-11-11T14:56:00+08:00,2025-11-16T14:56:00+08:00,received,CNY,4629194.96,15,战略采购组,2,2025-11-13T14:56:00+08:00
PO-202605-000073,SUP-010,2026-05-22T14:03:00+08:00,2026-05-26T14:03:00+08:00,in_transit,CNY,1460575.48,45,采购一组,1,2026-06-15T08:00:00+08:00
PO-202511-000074,SUP-004,2025-11-02T07:00:00+08:00,2025-11-06T07:00:00+08:00,received,CNY,4994563.49,60,采购一组,2,2025-12-08T07:00:00+08:00
PO-202506-000075,SUP-035,2025-06-25T07:15:00+08:00,2025-06-30T07:15:00+08:00,received,CNY,4172213.99,30,采购二组,3,2025-07-01T07:15:00+08:00
PO-202512-000076,SUP-026,2025-12-26T20:12:00+08:00,2026-01-02T20:12:00+08:00,received,CNY,8611273.92,60,采购二组,4,2026-01-14T20:12:00+08:00
PO-202511-000077,SUP-055,2025-11-28T11:14:00+08:00,2025-12-03T11:14:00+08:00,cancelled,CNY,3695452.8,90,采购二组,4,2025-12-10T11:14:00+08:00
PO-202604-000078,SUP-044,2026-04-03T03:51:00+08:00,2026-04-10T03:51:00+08:00,received,CNY,11549351.89,60,采购二组,2,2026-05-05T03:51:00+08:00
PO-202603-000079,SUP-034,2026-03-29T06:51:00+08:00,2026-04-02T06:51:00+08:00,received,CNY,5862143.0,60,采购二组,4,2026-05-03T06:51:00+08:00
PO-202604-000080,SUP-053,2026-04-27T03:47:00+08:00,2026-05-01T03:47:00+08:00,cancelled,CNY,2776594.51,60,采购一组,2,2026-05-24T03:47:00+08:00
PO-202603-000081,SUP-041,2026-03-03T02:48:00+08:00,2026-03-10T02:48:00+08:00,confirmed,CNY,6360387.77,60,采购二组,4,2026-04-17T02:48:00+08:00
PO-202511-000082,SUP-010,2025-11-27T00:42:00+08:00,2025-12-01T00:42:00+08:00,received,CNY,3438958.53,15,战略采购组,3,2025-12-30T00:42:00+08:00
PO-202604-000083,SUP-053,2026-04-30T21:40:00+08:00,2026-05-04T21:40:00+08:00,confirmed,CNY,1348333.58,15,战略采购组,1,2026-05-15T21:40:00+08:00
PO-202507-000084,SUP-042,2025-07-13T21:02:00+08:00,2025-07-17T21:02:00+08:00,in_transit,CNY,5847873.46,15,战略采购组,4,2025-08-17T21:02:00+08:00
PO-202603-000085,SUP-026,2026-03-05T07:18:00+08:00,2026-03-12T07:18:00+08:00,received,CNY,2981885.82,45,采购一组,2,2026-03-27T07:18:00+08:00
PO-202507-000086,SUP-012,2025-07-22T18:37:00+08:00,2025-07-24T06:37:00+08:00,in_transit,CNY,6521320.3,30,战略采购组,1,2025-08-30T18:37:00+08:00
PO-202606-000087,SUP-003,2026-06-01T15:24:00+08:00,2026-06-08T15:24:00+08:00,in_transit,CNY,15827750.84,15,战略采购组,2,2026-06-15T08:00:00+08:00
PO-202511-000088,SUP-033,2025-11-18T15:31:00+08:00,2025-11-20T15:31:00+08:00,in_transit,CNY,957750.4,45,战略采购组,2,2025-12-11T15:31:00+08:00
PO-202509-000089,SUP-005,2025-09-02T16:54:00+08:00,2025-09-04T16:54:00+08:00,confirmed,CNY,869817.09,90,采购二组,3,2025-09-13T16:54:00+08:00
PO-202605-000090,SUP-056,2026-05-21T16:18:00+08:00,2026-05-23T16:18:00+08:00,confirmed,CNY,7090515.48,30,战略采购组,4,2026-06-15T08:00:00+08:00
PO-202601-000091,SUP-010,2026-01-03T20:15:00+08:00,2026-01-08T20:15:00+08:00,confirmed,CNY,6373943.48,90,采购一组,3,2026-02-17T20:15:00+08:00
PO-202509-000092,SUP-043,2025-09-26T05:29:00+08:00,2025-10-01T05:29:00+08:00,confirmed,CNY,5002097.38,45,采购一组,2,2025-10-10T05:29:00+08:00
PO-202601-000093,SUP-031,2026-01-05T06:41:00+08:00,2026-01-12T06:41:00+08:00,confirmed,CNY,12708009.18,60,采购一组,4,2026-02-19T06:41:00+08:00
PO-202511-000094,SUP-060,2025-11-26T09:48:00+08:00,2025-12-03T09:48:00+08:00,received,CNY,131879.63,30,采购二组,3,2025-12-14T09:48:00+08:00
PO-202510-000095,SUP-056,2025-10-24T10:23:00+08:00,2025-10-31T10:23:00+08:00,received,CNY,5364751.73,15,采购一组,1,2025-12-04T10:23:00+08:00
PO-202508-000096,SUP-060,2025-08-10T08:55:00+08:00,2025-08-14T08:55:00+08:00,received,CNY,3245720.13,30,战略采购组,2,2025-09-24T08:55:00+08:00
PO-202509-000097,SUP-060,2025-09-02T22:25:00+08:00,2025-09-06T22:25:00+08:00,received,CNY,12347493.36,15,战略采购组,4,2025-10-07T22:25:00+08:00
PO-202603-000098,SUP-030,2026-03-19T05:03:00+08:00,2026-03-24T05:03:00+08:00,cancelled,CNY,6472762.99,60,采购二组,3,2026-04-10T05:03:00+08:00
PO-202601-000099,SUP-005,2026-01-24T16:18:00+08:00,2026-01-29T16:18:00+08:00,received,CNY,291604.65,90,采购一组,2,2026-02-19T16:18:00+08:00
PO-202603-000100,SUP-038,2026-03-31T15:52:00+08:00,2026-04-07T15:52:00+08:00,received,CNY,12186791.87,30,战略采购组,4,2026-04-08T15:52:00+08:00
PO-202509-000101,SUP-036,2025-09-09T06:54:00+08:00,2025-09-14T06:54:00+08:00,received,CNY,4900624.4,45,采购二组,1,2025-10-12T06:54:00+08:00
PO-202508-000102,SUP-032,2025-08-04T02:10:00+08:00,2025-08-09T02:10:00+08:00,draft,CNY,4349330.5,15,战略采购组,4,2025-09-08T02:10:00+08:00
PO-202603-000103,SUP-031,2026-03-20T11:13:00+08:00,2026-03-24T11:13:00+08:00,received,CNY,5002570.26,15,战略采购组,3,2026-04-15T11:13:00+08:00
PO-202510-000104,SUP-041,2025-10-30T22:56:00+08:00,2025-11-03T22:56:00+08:00,delayed,CNY,1305856.74,30,战略采购组,2,2025-10-31T22:56:00+08:00
PO-202511-000105,SUP-013,2025-11-30T18:00:00+08:00,2025-12-05T18:00:00+08:00,received,CNY,7417510.98,30,采购二组,4,2025-12-21T18:00:00+08:00
PO-202602-000106,SUP-015,2026-02-13T19:21:00+08:00,2026-02-17T19:21:00+08:00,confirmed,CNY,409284.27,45,采购二组,1,2026-02-25T19:21:00+08:00
PO-202507-000107,SUP-033,2025-07-08T17:22:00+08:00,2025-07-12T17:22:00+08:00,draft,CNY,9634156.08,45,战略采购组,3,2025-07-29T17:22:00+08:00
PO-202508-000108,SUP-059,2025-08-17T01:01:00+08:00,2025-08-19T01:01:00+08:00,draft,CNY,17697.68,30,采购一组,1,2025-08-28T01:01:00+08:00
PO-202601-000109,SUP-034,2026-01-10T08:18:00+08:00,2026-01-12T08:18:00+08:00,received,CNY,2293241.64,30,采购二组,2,2026-02-15T08:18:00+08:00
PO-202602-000110,SUP-016,2026-02-19T04:25:00+08:00,2026-02-26T04:25:00+08:00,delayed,CNY,2340627.42,45,采购一组,2,2026-03-23T04:25:00+08:00
PO-202605-000111,SUP-021,2026-05-13T09:48:00+08:00,2026-05-20T09:48:00+08:00,received,CNY,9944099.05,45,采购二组,4,2026-06-15T08:00:00+08:00
PO-202508-000112,SUP-047,2025-08-24T07:11:00+08:00,2025-08-29T07:11:00+08:00,in_transit,CNY,4662905.18,15,战略采购组,2,2025-09-02T07:11:00+08:00
PO-202507-000113,SUP-010,2025-07-30T02:08:00+08:00,2025-08-06T02:08:00+08:00,confirmed,CNY,1264605.1,15,采购二组,4,2025-09-09T02:08:00+08:00
PO-202509-000114,SUP-011,2025-09-15T03:54:00+08:00,2025-09-16T15:54:00+08:00,confirmed,CNY,5522573.39,45,采购一组,1,2025-10-04T03:54:00+08:00
PO-202512-000115,SUP-027,2025-12-21T16:53:00+08:00,2025-12-25T16:53:00+08:00,received,CNY,3006902.6,60,采购一组,3,2026-01-18T16:53:00+08:00
PO-202601-000116,SUP-038,2026-01-13T05:49:00+08:00,2026-01-14T17:49:00+08:00,cancelled,CNY,954439.16,60,采购二组,1,2026-01-20T05:49:00+08:00
PO-202509-000117,SUP-033,2025-09-19T11:05:00+08:00,2025-09-21T11:05:00+08:00,received,CNY,1761402.98,30,战略采购组,1,2025-10-05T11:05:00+08:00
PO-202602-000118,SUP-039,2026-02-23T20:44:00+08:00,2026-02-28T20:44:00+08:00,delayed,CNY,15368624.13,90,采购一组,4,2026-04-06T20:44:00+08:00
PO-202605-000119,SUP-014,2026-05-15T20:32:00+08:00,2026-05-20T20:32:00+08:00,received,CNY,6381915.96,90,采购二组,3,2026-06-13T20:32:00+08:00
PO-202512-000120,SUP-037,2025-12-22T01:01:00+08:00,2025-12-26T01:01:00+08:00,received,CNY,1446919.92,30,采购二组,4,2026-01-28T01:01:00+08:00
PO-202509-000121,SUP-032,2025-09-20T10:58:00+08:00,2025-09-23T10:58:00+08:00,received,CNY,7635394.33,60,采购二组,3,2025-10-08T10:58:00+08:00
PO-202601-000122,SUP-056,2026-01-03T10:06:00+08:00,2026-01-04T22:06:00+08:00,delayed,CNY,3087397.72,15,采购二组,1,2026-02-15T10:06:00+08:00
PO-202604-000123,SUP-028,2026-04-11T02:40:00+08:00,2026-04-15T02:40:00+08:00,in_transit,CNY,3854963.75,45,采购二组,4,2026-05-26T02:40:00+08:00
PO-202604-000124,SUP-035,2026-04-05T14:53:00+08:00,2026-04-10T14:53:00+08:00,received,CNY,9114724.72,30,采购一组,2,2026-04-05T14:53:00+08:00
PO-202511-000125,SUP-020,2025-11-09T06:32:00+08:00,2025-11-12T06:32:00+08:00,draft,CNY,17213565.52,30,战略采购组,3,2025-11-29T06:32:00+08:00
PO-202509-000126,SUP-022,2025-09-06T16:21:00+08:00,2025-09-11T16:21:00+08:00,received,CNY,4581198.74,90,采购一组,3,2025-10-11T16:21:00+08:00
PO-202508-000127,SUP-015,2025-08-16T06:09:00+08:00,2025-08-23T06:09:00+08:00,received,CNY,5909038.4,30,战略采购组,1,2025-09-01T06:09:00+08:00
PO-202508-000128,SUP-002,2025-08-17T06:31:00+08:00,2025-08-21T06:31:00+08:00,received,CNY,6676285.88,90,采购二组,3,2025-08-17T06:31:00+08:00
PO-202509-000129,SUP-011,2025-09-12T18:39:00+08:00,2025-09-19T18:39:00+08:00,delayed,CNY,2457107.59,30,采购一组,4,2025-10-13T18:39:00+08:00
PO-202606-000130,SUP-028,2026-06-14T16:41:00+08:00,2026-06-21T16:41:00+08:00,delayed,CNY,6592353.01,15,采购二组,4,2026-06-15T08:00:00+08:00
PO-202602-000131,SUP-038,2026-02-18T01:15:00+08:00,2026-02-19T13:15:00+08:00,in_transit,CNY,1698887.41,60,战略采购组,1,2026-03-12T01:15:00+08:00
PO-202605-000132,SUP-036,2026-05-09T19:12:00+08:00,2026-05-14T19:12:00+08:00,confirmed,CNY,12661791.28,15,战略采购组,2,2026-06-03T19:12:00+08:00
PO-202602-000133,SUP-003,2026-02-11T04:28:00+08:00,2026-02-12T16:28:00+08:00,confirmed,CNY,3113588.01,90,采购二组,1,2026-03-07T04:28:00+08:00
PO-202508-000134,SUP-033,2025-08-17T00:06:00+08:00,2025-08-21T00:06:00+08:00,in_transit,CNY,1411320.52,60,采购二组,2,2025-09-08T00:06:00+08:00
PO-202512-000135,SUP-052,2025-12-09T00:04:00+08:00,2025-12-16T00:04:00+08:00,delayed,CNY,512336.99,45,采购一组,2,2025-12-30T00:04:00+08:00
PO-202512-000136,SUP-042,2025-12-02T23:09:00+08:00,2025-12-09T23:09:00+08:00,received,CNY,7165631.61,45,采购一组,3,2025-12-30T23:09:00+08:00
PO-202507-000137,SUP-031,2025-07-23T13:12:00+08:00,2025-07-28T13:12:00+08:00,draft,CNY,5962515.24,60,采购一组,3,2025-09-03T13:12:00+08:00
PO-202604-000138,SUP-001,2026-04-12T20:35:00+08:00,2026-04-14T08:35:00+08:00,received,CNY,2159277.12,45,采购二组,1,2026-04-28T20:35:00+08:00
PO-202510-000139,SUP-030,2025-10-07T18:38:00+08:00,2025-10-12T18:38:00+08:00,confirmed,CNY,6656089.77,45,采购二组,4,2025-10-24T18:38:00+08:00
PO-202507-000140,SUP-044,2025-07-09T23:43:00+08:00,2025-07-11T23:43:00+08:00,confirmed,CNY,1592555.64,90,采购一组,1,2025-07-16T23:43:00+08:00
PO-202507-000141,SUP-023,2025-07-18T00:11:00+08:00,2025-07-23T00:11:00+08:00,in_transit,CNY,14227601.58,15,采购二组,4,2025-08-03T00:11:00+08:00
PO-202601-000142,SUP-055,2026-01-08T12:08:00+08:00,2026-01-09T12:08:00+08:00,received,CNY,4139136.5,15,采购二组,1,2026-02-13T12:08:00+08:00
PO-202512-000143,SUP-046,2025-12-07T21:52:00+08:00,2025-12-10T21:52:00+08:00,received,CNY,2092550.23,90,采购二组,2,2025-12-30T21:52:00+08:00
PO-202511-000144,SUP-018,2025-11-03T06:03:00+08:00,2025-11-08T06:03:00+08:00,delayed,CNY,5547761.17,90,采购二组,2,2025-11-20T06:03:00+08:00
PO-202510-000145,SUP-013,2025-10-01T16:07:00+08:00,2025-10-06T16:07:00+08:00,delayed,CNY,5936874.02,60,战略采购组,2,2025-10-15T16:07:00+08:00
PO-202604-000146,SUP-011,2026-04-09T15:09:00+08:00,2026-04-16T15:09:00+08:00,delayed,CNY,87545.92,30,采购一组,1,2026-05-16T15:09:00+08:00
PO-202512-000147,SUP-027,2025-12-04T20:27:00+08:00,2025-12-08T20:27:00+08:00,received,CNY,14951470.3,30,战略采购组,4,2025-12-25T20:27:00+08:00
PO-202605-000148,SUP-020,2026-05-12T05:03:00+08:00,2026-05-13T05:03:00+08:00,confirmed,CNY,12323181.15,45,采购一组,1,2026-06-15T08:00:00+08:00
PO-202511-000149,SUP-017,2025-11-21T05:44:00+08:00,2025-11-28T05:44:00+08:00,received,CNY,2875549.8,30,采购二组,2,2025-11-25T05:44:00+08:00
PO-202605-000150,SUP-043,2026-05-09T22:16:00+08:00,2026-05-14T22:16:00+08:00,confirmed,CNY,6321222.72,90,战略采购组,2,2026-06-05T22:16:00+08:00
PO-202507-000151,SUP-031,2025-07-06T06:56:00+08:00,2025-07-10T06:56:00+08:00,confirmed,CNY,942096.0,45,采购二组,1,2025-07-16T06:56:00+08:00
PO-202508-000152,SUP-053,2025-08-19T05:11:00+08:00,2025-08-26T05:11:00+08:00,received,CNY,11285047.77,60,采购二组,4,2025-09-08T05:11:00+08:00
PO-202507-000153,SUP-003,2025-07-27T16:18:00+08:00,2025-07-31T16:18:00+08:00,delayed,CNY,2228457.52,45,采购一组,1,2025-09-09T16:18:00+08:00
PO-202511-000154,SUP-034,2025-11-25T13:38:00+08:00,2025-11-30T13:38:00+08:00,received,CNY,6747604.77,60,战略采购组,4,2026-01-01T13:38:00+08:00
PO-202606-000155,SUP-035,2026-06-14T09:33:00+08:00,2026-06-16T09:33:00+08:00,confirmed,CNY,2772489.03,90,采购二组,3,2026-06-15T08:00:00+08:00
PO-202508-000156,SUP-035,2025-08-16T02:25:00+08:00,2025-08-17T14:25:00+08:00,delayed,CNY,8661925.44,30,战略采购组,2,2025-09-18T02:25:00+08:00
