inventory_id,material_id,warehouse_id,on_hand_qty,allocated_qty,available_qty,in_transit_qty,quality_hold_qty,safety_stock_qty,reorder_point_qty,average_unit_cost,last_counted_at,updated_at
INV-0007-01,MAT-0007,WH-01,3640,400,3240,145,59,2846,3843,1079.96,2026-06-06T08:00:00+08:00,2026-06-15T06:40:00+08:00
INV-0007-02,MAT-0007,WH-02,4072,45,4027,962,102,2846,3843,1079.96,2026-05-28T08:00:00+08:00,2026-06-15T06:47:00+08:00
INV-0007-03,MAT-0007,WH-03,2366,163,2203,1650,13,2846,3843,1079.96,2026-06-10T08:00:00+08:00,2026-06-15T05:20:00+08:00
INV-0007-04,MAT-0007,WH-04,5525,1793,3732,932,55,2846,3843,1079.96,2026-05-29T08:00:00+08:00,2026-06-15T06:18:00+08:00
INV-0007-05,MAT-0007,WH-05,1006,108,898,1873,26,2846,3843,1079.96,2026-06-03T08:00:00+08:00,2026-06-15T05:45:00+08:00
INV-0007-06,MAT-0007,WH-06,2036,98,1938,2223,2,2846,3843,1079.96,2026-05-19T08:00:00+08:00,2026-06-15T07:53:00+08:00
INV-0008-01,MAT-0008,WH-01,1537,517,1020,810,39,1347,1818,357.22,2026-05-18T08:00:00+08:00,2026-06-15T05:28:00+08:00
INV-0008-02,MAT-0008,WH-02,2773,128,2645,1178,30,1347,1818,357.22,2026-05-23T08:00:00+08:00,2026-06-15T05:24:00+08:00
INV-0008-03,MAT-0008,WH-03,1815,529,1286,826,42,1347,1818,357.22,2026-05-21T08:00:00+08:00,2026-06-15T05:08:00+08:00
INV-0008-04,MAT-0008,WH-04,1179,252,927,350,34,1347,1818,357.22,2026-06-01T08:00:00+08:00,2026-06-15T06:08:00+08:00
INV-0008-05,MAT-0008,WH-05,534,88,446,676,5,1347,1818,357.22,2026-06-12T08:00:00+08:00,2026-06-15T06:45:00+08:00
INV-0008-06,MAT-0008,WH-06,1754,23,1731,1585,20,1347,1818,357.22,2026-06-01T08:00:00+08:00,2026-06-15T05:54:00+08:00
INV-0009-01,MAT-0009,WH-01,1304,267,1037,207,6,597,806,48.15,2026-05-21T08:00:00+08:00,2026-06-15T06:02:00+08:00
INV-0009-02,MAT-0009,WH-02,531,133,398,360,0,597,806,48.15,2026-05-18T08:00:00+08:00,2026-06-15T06:35:00+08:00
INV-0009-03,MAT-0009,WH-03,1347,446,901,137,39,597,806,48.15,2026-06-05T08:00:00+08:00,2026-06-15T05:50:00+08:00
INV-0009-04,MAT-0009,WH-04,374,9,365,257,8,597,806,48.15,2026-06-11T08:00:00+08:00,2026-06-15T07:47:00+08:00
INV-0009-05,MAT-0009,WH-05,119,13,106,359,3,597,806,48.15,2026-06-05T08:00:00+08:00,2026-06-15T05:44:00+08:00
INV-0009-06,MAT-0009,WH-06,615,10,605,31,5,597,806,48.15,2026-05-24T08:00:00+08:00,2026-06-15T07:26:00+08:00
INV-0010-01,MAT-0010,WH-01,739,100,639,403,15,769,1038,701.77,2026-05-28T08:00:00+08:00,2026-06-15T07:19:00+08:00
INV-0010-02,MAT-0010,WH-02,369,63,306,52,12,769,1038,701.77,2026-05-19T08:00:00+08:00,2026-06-15T06:15:00+08:00
INV-0010-03,MAT-0010,WH-03,792,68,724,761,18,769,1038,701.77,2026-05-28T08:00:00+08:00,2026-06-15T07:28:00+08:00
INV-0010-04,MAT-0010,WH-04,1714,115,1599,297,23,769,1038,701.77,2026-05-29T08:00:00+08:00,2026-06-15T07:37:00+08:00
INV-0010-05,MAT-0010,WH-05,1511,160,1351,55,15,769,1038,701.77,2026-06-06T08:00:00+08:00,2026-06-15T07:47:00+08:00
INV-0010-06,MAT-0010,WH-06,555,134,421,393,1,769,1038,701.77,2026-06-02T08:00:00+08:00,2026-06-15T06:00:00+08:00
INV-0011-01,MAT-0011,WH-01,265,26,239,581,6,651,878,7.25,2026-05-31T08:00:00+08:00,2026-06-15T06:21:00+08:00
INV-0011-02,MAT-0011,WH-02,1082,267,815,767,19,651,878,7.25,2026-05-25T08:00:00+08:00,2026-06-15T07:29:00+08:00
INV-0011-03,MAT-0011,WH-03,1447,199,1248,43,27,651,878,7.25,2026-05-21T08:00:00+08:00,2026-06-15T05:03:00+08:00
INV-0011-04,MAT-0011,WH-04,296,85,211,199,6,651,878,7.25,2026-05-23T08:00:00+08:00,2026-06-15T06:14:00+08:00
INV-0011-05,MAT-0011,WH-05,347,86,261,724,0,651,878,7.25,2026-06-04T08:00:00+08:00,2026-06-15T05:58:00+08:00
INV-0011-06,MAT-0011,WH-06,763,20,743,282,4,651,878,7.25,2026-05-21T08:00:00+08:00,2026-06-15T05:22:00+08:00
INV-0012-01,MAT-0012,WH-01,576,77,499,159,21,1248,1684,741.27,2026-05-29T08:00:00+08:00,2026-06-15T07:10:00+08:00
INV-0012-02,MAT-0012,WH-02,1587,180,1407,1231,44,1248,1684,741.27,2026-05-31T08:00:00+08:00,2026-06-15T06:43:00+08:00
INV-0012-03,MAT-0012,WH-03,285,88,197,1464,9,1248,1684,741.27,2026-06-06T08:00:00+08:00,2026-06-15T07:09:00+08:00
INV-0012-04,MAT-0012,WH-04,2745,763,1982,609,37,1248,1684,741.27,2026-06-10T08:00:00+08:00,2026-06-15T06:30:00+08:00
INV-0012-05,MAT-0012,WH-05,597,193,404,1472,2,1248,1684,741.27,2026-05-29T08:00:00+08:00,2026-06-15T05:17:00+08:00
INV-0012-06,MAT-0012,WH-06,2948,181,2767,1003,6,1248,1684,741.27,2026-05-21T08:00:00+08:00,2026-06-15T05:56:00+08:00
INV-0013-01,MAT-0013,WH-01,65,0,65,74,1,298,402,945.16,2026-06-13T08:00:00+08:00,2026-06-15T05:46:00+08:00
INV-0013-02,MAT-0013,WH-02,414,134,280,256,11,298,402,945.16,2026-06-04T08:00:00+08:00,2026-06-15T05:38:00+08:00
INV-0013-03,MAT-0013,WH-03,492,133,359,278,4,298,402,945.16,2026-06-07T08:00:00+08:00,2026-06-15T05:00:00+08:00
INV-0013-04,MAT-0013,WH-04,648,73,575,17,0,298,402,945.16,2026-05-24T08:00:00+08:00,2026-06-15T07:46:00+08:00
INV-0013-05,MAT-0013,WH-05,558,190,368,170,0,298,402,945.16,2026-05-17T08:00:00+08:00,2026-06-15T07:07:00+08:00
INV-0013-06,MAT-0013,WH-06,611,199,412,31,19,298,402,945.16,2026-06-14T08:00:00+08:00,2026-06-15T05:14:00+08:00
INV-0014-01,MAT-0014,WH-01,24,3,21,8,0,19,25,252.49,2026-05-22T08:00:00+08:00,2026-06-15T07:01:00+08:00
INV-0014-02,MAT-0014,WH-02,37,6,31,0,0,19,25,252.49,2026-05-20T08:00:00+08:00,2026-06-15T06:42:00+08:00
INV-0014-03,MAT-0014,WH-03,37,6,31,22,0,19,25,252.49,2026-06-15T08:00:00+08:00,2026-06-15T07:43:00+08:00
INV-0014-04,MAT-0014,WH-04,29,1,28,5,0,19,25,252.49,2026-06-05T08:00:00+08:00,2026-06-15T07:41:00+08:00
INV-0014-05,MAT-0014,WH-05,10,0,10,17,0,19,25,252.49,2026-06-05T08:00:00+08:00,2026-06-15T06:56:00+08:00
INV-0014-06,MAT-0014,WH-06,40,9,31,5,0,19,25,252.49,2026-05-31T08:00:00+08:00,2026-06-15T07:59:00+08:00
INV-0015-01,MAT-0015,WH-01,4829,977,3852,2814,136,2706,3654,286.89,2026-06-04T08:00:00+08:00,2026-06-15T07:56:00+08:00
INV-0015-02,MAT-0015,WH-02,3297,282,3015,2272,10,2706,3654,286.89,2026-06-13T08:00:00+08:00,2026-06-15T07:40:00+08:00
INV-0015-03,MAT-0015,WH-03,1405,452,953,960,28,2706,3654,286.89,2026-06-14T08:00:00+08:00,2026-06-15T07:15:00+08:00
INV-0015-04,MAT-0015,WH-04,2045,70,1975,1053,4,2706,3654,286.89,2026-05-18T08:00:00+08:00,2026-06-15T07:08:00+08:00
INV-0015-05,MAT-0015,WH-05,2294,93,2201,1714,71,2706,3654,286.89,2026-06-11T08:00:00+08:00,2026-06-15T07:56:00+08:00
INV-0015-06,MAT-0015,WH-06,5438,1722,3716,445,207,2706,3654,286.89,2026-05-28T08:00:00+08:00,2026-06-15T07:40:00+08:00
INV-0016-01,MAT-0016,WH-01,79,4,75,67,2,110,148,215.07,2026-05-16T08:00:00+08:00,2026-06-15T06:40:00+08:00
INV-0016-02,MAT-0016,WH-02,91,31,60,93,1,110,148,215.07,2026-06-12T08:00:00+08:00,2026-06-15T06:37:00+08:00
INV-0016-03,MAT-0016,WH-03,90,8,82,79,3,110,148,215.07,2026-05-29T08:00:00+08:00,2026-06-15T05:36:00+08:00
INV-0016-04,MAT-0016,WH-04,93,0,93,100,3,110,148,215.07,2026-05-25T08:00:00+08:00,2026-06-15T06:53:00+08:00
INV-0016-05,MAT-0016,WH-05,206,49,157,109,1,110,148,215.07,2026-06-03T08:00:00+08:00,2026-06-15T07:10:00+08:00
INV-0016-06,MAT-0016,WH-06,241,18,223,115,9,110,148,215.07,2026-06-08T08:00:00+08:00,2026-06-15T05:59:00+08:00
INV-0017-01,MAT-0017,WH-01,5818,710,5108,754,65,3476,4693,73.54,2026-05-16T08:00:00+08:00,2026-06-15T07:53:00+08:00
INV-0017-02,MAT-0017,WH-02,3462,739,2723,2248,18,3476,4693,73.54,2026-05-26T08:00:00+08:00,2026-06-15T05:42:00+08:00
INV-0017-03,MAT-0017,WH-03,3625,515,3110,4022,140,3476,4693,73.54,2026-05-25T08:00:00+08:00,2026-06-15T07:30:00+08:00
INV-0017-04,MAT-0017,WH-04,1761,169,1592,3610,18,3476,4693,73.54,2026-06-03T08:00:00+08:00,2026-06-15T07:13:00+08:00
INV-0017-05,MAT-0017,WH-05,5705,1358,4347,2969,46,3476,4693,73.54,2026-06-07T08:00:00+08:00,2026-06-15T05:41:00+08:00
INV-0017-06,MAT-0017,WH-06,5407,62,5345,901,175,3476,4693,73.54,2026-05-30T08:00:00+08:00,2026-06-15T08:00:00+08:00
INV-0018-01,MAT-0018,WH-01,2860,66,2794,1154,78,1941,2620,28.89,2026-05-28T08:00:00+08:00,2026-06-15T05:58:00+08:00
INV-0018-02,MAT-0018,WH-02,1659,337,1322,1258,10,1941,2620,28.89,2026-05-18T08:00:00+08:00,2026-06-15T07:29:00+08:00
INV-0018-03,MAT-0018,WH-03,3331,1146,2185,1999,26,1941,2620,28.89,2026-05-24T08:00:00+08:00,2026-06-15T05:55:00+08:00
INV-0018-04,MAT-0018,WH-04,657,29,628,1760,23,1941,2620,28.89,2026-06-01T08:00:00+08:00,2026-06-15T06:07:00+08:00
INV-0018-05,MAT-0018,WH-05,3075,283,2792,1474,20,1941,2620,28.89,2026-06-07T08:00:00+08:00,2026-06-15T07:04:00+08:00
INV-0018-06,MAT-0018,WH-06,1258,323,935,1424,27,1941,2620,28.89,2026-05-24T08:00:00+08:00,2026-06-15T05:52:00+08:00
INV-0019-01,MAT-0019,WH-01,179,39,140,6,4,238,321,29.07,2026-05-27T08:00:00+08:00,2026-06-15T07:37:00+08:00
INV-0019-02,MAT-0019,WH-02,212,41,171,237,4,238,321,29.07,2026-06-08T08:00:00+08:00,2026-06-15T07:09:00+08:00
INV-0019-03,MAT-0019,WH-03,148,3,145,83,4,238,321,29.07,2026-06-09T08:00:00+08:00,2026-06-15T05:13:00+08:00
INV-0019-04,MAT-0019,WH-04,498,94,404,267,13,238,321,29.07,2026-06-14T08:00:00+08:00,2026-06-15T05:28:00+08:00
INV-0019-05,MAT-0019,WH-05,169,58,111,24,2,238,321,29.07,2026-06-12T08:00:00+08:00,2026-06-15T05:45:00+08:00
INV-0019-06,MAT-0019,WH-06,342,14,328,27,6,238,321,29.07,2026-05-20T08:00:00+08:00,2026-06-15T06:24:00+08:00
INV-0020-01,MAT-0020,WH-01,388,86,302,193,0,325,438,201.31,2026-06-07T08:00:00+08:00,2026-06-15T07:17:00+08:00
INV-0020-02,MAT-0020,WH-02,743,182,561,136,17,325,438,201.31,2026-05-30T08:00:00+08:00,2026-06-15T06:30:00+08:00
INV-0020-03,MAT-0020,WH-03,453,30,423,179,10,325,438,201.31,2026-05-31T08:00:00+08:00,2026-06-15T06:42:00+08:00
INV-0020-04,MAT-0020,WH-04,154,16,138,207,2,325,438,201.31,2026-05-16T08:00:00+08:00,2026-06-15T07:28:00+08:00
INV-0020-05,MAT-0020,WH-05,454,20,434,70,11,325,438,201.31,2026-06-13T08:00:00+08:00,2026-06-15T06:05:00+08:00
INV-0020-06,MAT-0020,WH-06,483,154,329,191,15,325,438,201.31,2026-05-26T08:00:00+08:00,2026-06-15T06:32:00+08:00
INV-0021-01,MAT-0021,WH-01,259,35,224,102,5,116,157,11.07,2026-05-21T08:00:00+08:00,2026-06-15T06:59:00+08:00
INV-0021-02,MAT-0021,WH-02,24,3,21,119,0,116,157,11.07,2026-06-14T08:00:00+08:00,2026-06-15T05:14:00+08:00
INV-0021-03,MAT-0021,WH-03,223,51,172,52,3,116,157,11.07,2026-06-04T08:00:00+08:00,2026-06-15T05:18:00+08:00
INV-0021-04,MAT-0021,WH-04,260,37,223,131,8,116,157,11.07,2026-06-14T08:00:00+08:00,2026-06-15T07:42:00+08:00
INV-0021-05,MAT-0021,WH-05,115,23,92,29,0,116,157,11.07,2026-06-12T08:00:00+08:00,2026-06-15T07:08:00+08:00
INV-0021-06,MAT-0021,WH-06,194,41,153,6,1,116,157,11.07,2026-05-23T08:00:00+08:00,2026-06-15T06:40:00+08:00
INV-0022-01,MAT-0022,WH-01,295,21,274,35,5,141,190,65.56,2026-05-27T08:00:00+08:00,2026-06-15T07:55:00+08:00
INV-0022-02,MAT-0022,WH-02,67,18,49,117,0,141,190,65.56,2026-05-23T08:00:00+08:00,2026-06-15T05:17:00+08:00
INV-0022-03,MAT-0022,WH-03,67,20,47,67,2,141,190,65.56,2026-05-18T08:00:00+08:00,2026-06-15T07:02:00+08:00
INV-0022-04,MAT-0022,WH-04,88,23,65,98,2,141,190,65.56,2026-05-31T08:00:00+08:00,2026-06-15T05:38:00+08:00
INV-0022-05,MAT-0022,WH-05,143,28,115,138,5,141,190,65.56,2026-05-26T08:00:00+08:00,2026-06-15T07:31:00+08:00
INV-0022-06,MAT-0022,WH-06,147,26,121,24,3,141,190,65.56,2026-05-31T08:00:00+08:00,2026-06-15T07:26:00+08:00
INV-0023-01,MAT-0023,WH-01,443,6,437,499,5,766,1034,354.18,2026-05-21T08:00:00+08:00,2026-06-15T06:06:00+08:00
INV-0023-02,MAT-0023,WH-02,414,132,282,139,2,766,1034,354.18,2026-06-09T08:00:00+08:00,2026-06-15T05:28:00+08:00
INV-0023-03,MAT-0023,WH-03,1300,50,1250,4,43,766,1034,354.18,2026-05-27T08:00:00+08:00,2026-06-15T07:53:00+08:00
INV-0023-04,MAT-0023,WH-04,221,63,158,101,3,766,1034,354.18,2026-06-10T08:00:00+08:00,2026-06-15T05:15:00+08:00
INV-0023-05,MAT-0023,WH-05,1674,495,1179,647,39,766,1034,354.18,2026-05-22T08:00:00+08:00,2026-06-15T06:12:00+08:00
INV-0023-06,MAT-0023,WH-06,440,52,388,582,8,766,1034,354.18,2026-06-06T08:00:00+08:00,2026-06-15T06:43:00+08:00
INV-0024-01,MAT-0024,WH-01,406,102,304,108,2,195,263,17.6,2026-06-05T08:00:00+08:00,2026-06-15T07:39:00+08:00
INV-0024-02,MAT-0024,WH-02,413,115,298,197,10,195,263,17.6,2026-05-22T08:00:00+08:00,2026-06-15T06:54:00+08:00
INV-0024-03,MAT-0024,WH-03,197,7,190,120,6,195,263,17.6,2026-06-13T08:00:00+08:00,2026-06-15T06:05:00+08:00
INV-0024-04,MAT-0024,WH-04,110,23,87,26,1,195,263,17.6,2026-06-15T08:00:00+08:00,2026-06-15T06:51:00+08:00
INV-0024-05,MAT-0024,WH-05,318,85,233,12,3,195,263,17.6,2026-05-29T08:00:00+08:00,2026-06-15T05:23:00+08:00
INV-0024-06,MAT-0024,WH-06,181,46,135,57,4,195,263,17.6,2026-05-16T08:00:00+08:00,2026-06-15T07:29:00+08:00
INV-0025-01,MAT-0025,WH-01,444,8,436,278,16,765,1033,707.23,2026-06-14T08:00:00+08:00,2026-06-15T06:51:00+08:00
INV-0025-02,MAT-0025,WH-02,581,15,566,289,9,765,1033,707.23,2026-05-16T08:00:00+08:00,2026-06-15T07:21:00+08:00
INV-0025-03,MAT-0025,WH-03,725,34,691,366,1,765,1033,707.23,2026-06-12T08:00:00+08:00,2026-06-15T06:07:00+08:00
INV-0025-04,MAT-0025,WH-04,1693,36,1657,733,16,765,1033,707.23,2026-06-08T08:00:00+08:00,2026-06-15T05:15:00+08:00
INV-0025-05,MAT-0025,WH-05,1563,203,1360,659,19,765,1033,707.23,2026-05-25T08:00:00+08:00,2026-06-15T06:28:00+08:00
INV-0025-06,MAT-0025,WH-06,159,41,118,482,3,765,1033,707.23,2026-06-09T08:00:00+08:00,2026-06-15T06:35:00+08:00
INV-0026-01,MAT-0026,WH-01,638,215,423,47,8,637,860,875.87,2026-06-09T08:00:00+08:00,2026-06-15T05:52:00+08:00
INV-0026-02,MAT-0026,WH-02,476,8,468,40,11,637,860,875.87,2026-05-27T08:00:00+08:00,2026-06-15T06:15:00+08:00
INV-0026-03,MAT-0026,WH-03,553,135,418,471,17,637,860,875.87,2026-06-15T08:00:00+08:00,2026-06-15T06:50:00+08:00
INV-0026-04,MAT-0026,WH-04,623,48,575,181,7,637,860,875.87,2026-06-06T08:00:00+08:00,2026-06-15T07:48:00+08:00
INV-0026-05,MAT-0026,WH-05,586,186,400,295,4,637,860,875.87,2026-05-19T08:00:00+08:00,2026-06-15T06:22:00+08:00
INV-0026-06,MAT-0026,WH-06,366,85,281,572,0,637,860,875.87,2026-06-12T08:00:00+08:00,2026-06-15T07:24:00+08:00
INV-0027-01,MAT-0027,WH-01,995,115,880,211,36,583,787,617.83,2026-06-15T08:00:00+08:00,2026-06-15T05:53:00+08:00
INV-0027-02,MAT-0027,WH-02,1303,126,1177,276,11,583,787,617.83,2026-06-14T08:00:00+08:00,2026-06-15T07:33:00+08:00
INV-0027-03,MAT-0027,WH-03,797,27,770,423,14,583,787,617.83,2026-06-06T08:00:00+08:00,2026-06-15T06:08:00+08:00
INV-0027-04,MAT-0027,WH-04,1132,96,1036,661,6,583,787,617.83,2026-05-28T08:00:00+08:00,2026-06-15T05:21:00+08:00
INV-0027-05,MAT-0027,WH-05,1268,360,908,255,30,583,787,617.83,2026-05-18T08:00:00+08:00,2026-06-15T05:57:00+08:00
INV-0027-06,MAT-0027,WH-06,1023,295,728,188,14,583,787,617.83,2026-06-02T08:00:00+08:00,2026-06-15T07:57:00+08:00
INV-0028-01,MAT-0028,WH-01,409,32,377,58,15,170,230,1031.79,2026-05-26T08:00:00+08:00,2026-06-15T06:07:00+08:00
INV-0028-02,MAT-0028,WH-02,235,67,168,175,7,170,230,1031.79,2026-05-20T08:00:00+08:00,2026-06-15T06:38:00+08:00
INV-0028-03,MAT-0028,WH-03,296,58,238,85,11,170,230,1031.79,2026-05-27T08:00:00+08:00,2026-06-15T05:30:00+08:00
INV-0028-04,MAT-0028,WH-04,169,15,154,76,6,170,230,1031.79,2026-06-04T08:00:00+08:00,2026-06-15T06:51:00+08:00
INV-0028-05,MAT-0028,WH-05,53,13,40,7,1,170,230,1031.79,2026-05-20T08:00:00+08:00,2026-06-15T07:08:00+08:00
INV-0028-06,MAT-0028,WH-06,303,83,220,194,11,170,230,1031.79,2026-05-19T08:00:00+08:00,2026-06-15T05:10:00+08:00
INV-0029-01,MAT-0029,WH-01,467,77,390,301,5,400,541,386.6,2026-05-30T08:00:00+08:00,2026-06-15T07:31:00+08:00
INV-0029-02,MAT-0029,WH-02,672,13,659,93,26,400,541,386.6,2026-06-09T08:00:00+08:00,2026-06-15T06:50:00+08:00
INV-0029-03,MAT-0029,WH-03,631,49,582,134,14,400,541,386.6,2026-06-10T08:00:00+08:00,2026-06-15T07:16:00+08:00
INV-0029-04,MAT-0029,WH-04,779,117,662,224,10,400,541,386.6,2026-05-17T08:00:00+08:00,2026-06-15T07:12:00+08:00
INV-0029-05,MAT-0029,WH-05,615,96,519,77,3,400,541,386.6,2026-06-09T08:00:00+08:00,2026-06-15T05:39:00+08:00
INV-0029-06,MAT-0029,WH-06,508,130,378,224,7,400,541,386.6,2026-06-11T08:00:00+08:00,2026-06-15T06:41:00+08:00
INV-0030-01,MAT-0030,WH-01,49,1,48,13,0,29,39,21.7,2026-05-31T08:00:00+08:00,2026-06-15T06:51:00+08:00
INV-0030-02,MAT-0030,WH-02,53,12,41,25,0,29,39,21.7,2026-05-30T08:00:00+08:00,2026-06-15T06:12:00+08:00
INV-0030-03,MAT-0030,WH-03,60,6,54,2,2,29,39,21.7,2026-06-13T08:00:00+08:00,2026-06-15T06:32:00+08:00
INV-0030-04,MAT-0030,WH-04,60,20,40,16,0,29,39,21.7,2026-05-21T08:00:00+08:00,2026-06-15T06:00:00+08:00
INV-0030-05,MAT-0030,WH-05,5,0,5,4,0,29,39,21.7,2026-05-16T08:00:00+08:00,2026-06-15T06:11:00+08:00
INV-0030-06,MAT-0030,WH-06,10,3,7,16,0,29,39,21.7,2026-06-03T08:00:00+08:00,2026-06-15T06:10:00+08:00
INV-0031-01,MAT-0031,WH-01,273,32,241,169,2,145,196,568.88,2026-06-06T08:00:00+08:00,2026-06-15T06:07:00+08:00
INV-0031-02,MAT-0031,WH-02,115,24,91,84,4,145,196,568.88,2026-06-10T08:00:00+08:00,2026-06-15T07:05:00+08:00
INV-0031-03,MAT-0031,WH-03,246,49,197,171,7,145,196,568.88,2026-05-26T08:00:00+08:00,2026-06-15T06:17:00+08:00
INV-0031-04,MAT-0031,WH-04,317,30,287,132,2,145,196,568.88,2026-05-20T08:00:00+08:00,2026-06-15T07:40:00+08:00
INV-0031-05,MAT-0031,WH-05,342,76,266,118,7,145,196,568.88,2026-06-04T08:00:00+08:00,2026-06-15T06:15:00+08:00
INV-0031-06,MAT-0031,WH-06,335,7,328,35,12,145,196,568.88,2026-06-04T08:00:00+08:00,2026-06-15T07:14:00+08:00
INV-0032-01,MAT-0032,WH-01,227,20,207,109,8,98,132,354.07,2026-06-03T08:00:00+08:00,2026-06-15T05:51:00+08:00
INV-0032-02,MAT-0032,WH-02,186,35,151,112,2,98,132,354.07,2026-05-21T08:00:00+08:00,2026-06-15T05:07:00+08:00
