shipment_id,purchase_order_id,supplier_id,transport_mode,carrier,origin,destination_warehouse_id,planned_arrival_at,estimated_arrival_at,delay_hours,shipment_status,tracking_number,freight_cost,updated_at
SHP-0000019,PO-202512-000247,SUP-017,sea,承运商02,上海,WH-03,2025-12-29T06:07:00+08:00,2025-12-30T06:07:00+08:00,24,delayed,CG000000000019,49306.59,2026-06-15T04:24:00+08:00
SHP-0000020,PO-202606-001689,SUP-042,road,承运商12,东莞,WH-03,2026-06-15T15:24:00+08:00,2026-06-15T15:24:00+08:00,0,in_transit,CG000000000020,44178.81,2026-06-14T18:13:00+08:00
SHP-0000021,PO-202512-000505,SUP-056,rail,承运商12,东莞,WH-04,2026-01-06T09:45:00+08:00,2026-01-06T15:45:00+08:00,6,delivered,CG000000000021,41480.31,2026-06-15T06:20:00+08:00
SHP-0000022,PO-202512-001482,SUP-053,sea,承运商24,武汉,WH-04,2025-12-18T00:27:00+08:00,2025-12-20T00:27:00+08:00,48,delivered,CG000000000022,34771.41,2026-06-14T15:37:00+08:00
SHP-0000023,PO-202510-001563,SUP-057,road,承运商10,东莞,WH-03,2025-10-28T15:38:00+08:00,2025-10-28T15:38:00+08:00,0,delivered,CG000000000023,62542.25,2026-06-14T21:10:00+08:00
SHP-0000024,PO-202605-001303,SUP-054,road,承运商03,苏州,WH-01,2026-05-31T03:30:00+08:00,2026-05-31T03:30:00+08:00,0,delivered,CG000000000024,47326.09,2026-06-14T14:18:00+08:00
SHP-0000025,PO-202605-000778,SUP-019,air,承运商18,宁波,WH-02,2026-05-19T04:08:00+08:00,2026-05-19T04:08:00+08:00,0,delivered,CG000000000025,17405.79,2026-06-14T17:51:00+08:00
SHP-0000026,PO-202509-000326,SUP-035,rail,承运商06,合肥,WH-06,2025-10-02T03:21:00+08:00,2025-10-02T15:21:00+08:00,12,delivered,CG000000000026,65719.35,2026-06-14T14:44:00+08:00
SHP-0000027,PO-202509-001350,SUP-058,sea,承运商04,青岛,WH-02,2025-09-07T03:39:00+08:00,2025-09-07T03:39:00+08:00,0,in_transit,CG000000000027,29566.97,2026-06-14T13:56:00+08:00
SHP-0000028,PO-202604-000046,SUP-060,sea,承运商21,武汉,WH-01,2026-04-20T17:00:00+08:00,2026-04-21T17:00:00+08:00,24,customs_hold,CG000000000028,25310.6,2026-06-15T01:16:00+08:00
SHP-0000029,PO-202606-000262,SUP-041,sea,承运商01,宁波,WH-01,2026-06-12T04:30:00+08:00,2026-06-12T04:30:00+08:00,0,in_transit,CG000000000029,30277.98,2026-06-15T00:19:00+08:00
SHP-0000030,PO-202509-000092,SUP-043,rail,承运商17,青岛,WH-03,2025-10-01T05:29:00+08:00,2025-10-01T11:29:00+08:00,6,delivered,CG000000000030,32610.71,2026-06-15T04:17:00+08:00
SHP-0000031,PO-202508-001371,SUP-046,road,承运商19,东莞,WH-05,2025-08-12T13:27:00+08:00,2025-08-12T19:27:00+08:00,6,delivered,CG000000000031,67634.94,2026-06-15T00:32:00+08:00
SHP-0000032,PO-202508-000667,SUP-060,sea,承运商17,成都,WH-04,2025-08-16T13:01:00+08:00,2025-08-16T19:01:00+08:00,6,delivered,CG000000000032,44397.93,2026-06-14T23:50:00+08:00
SHP-0000033,PO-202603-001489,SUP-048,road,承运商19,上海,WH-04,2026-03-24T00:45:00+08:00,2026-03-26T00:45:00+08:00,48,in_transit,CG000000000033,63440.24,2026-06-15T03:35:00+08:00
SHP-0000034,PO-202510-001140,SUP-002,road,承运商06,青岛,WH-06,2025-10-08T19:36:00+08:00,2025-10-09T19:36:00+08:00,24,customs_hold,CG000000000034,25928.28,2026-06-15T06:48:00+08:00
SHP-0000035,PO-202510-001133,SUP-041,road,承运商01,苏州,WH-06,2025-11-04T20:04:00+08:00,2025-11-05T20:04:00+08:00,24,delivered,CG000000000035,13610.89,2026-06-15T03:35:00+08:00
SHP-0000036,PO-202602-000106,SUP-015,road,承运商03,东莞,WH-04,2026-02-17T19:21:00+08:00,2026-02-17T19:21:00+08:00,0,in_transit,CG000000000036,48823.48,2026-06-14T13:21:00+08:00
SHP-0000037,PO-202605-001332,SUP-056,sea,承运商17,青岛,WH-02,2026-05-09T22:23:00+08:00,2026-05-09T22:23:00+08:00,0,delayed,CG000000000037,1318.3,2026-06-14T18:09:00+08:00
SHP-0000038,PO-202605-001203,SUP-020,road,承运商10,成都,WH-05,2026-06-05T22:30:00+08:00,2026-06-05T22:30:00+08:00,0,blocked,CG000000000038,7894.82,2026-06-15T02:03:00+08:00
SHP-0000039,PO-202507-000084,SUP-042,sea,承运商21,成都,WH-01,2025-07-17T21:02:00+08:00,2025-07-17T21:02:00+08:00,0,in_transit,CG000000000039,8570.79,2026-06-14T13:50:00+08:00
SHP-0000040,PO-202507-000652,SUP-008,road,承运商01,青岛,WH-03,2025-07-05T11:42:00+08:00,2025-07-06T11:42:00+08:00,24,delivered,CG000000000040,65384.28,2026-06-15T00:59:00+08:00
SHP-0000041,PO-202605-000308,SUP-021,rail,承运商05,青岛,WH-01,2026-05-24T00:47:00+08:00,2026-05-24T00:47:00+08:00,0,delivered,CG000000000041,28928.23,2026-06-14T17:56:00+08:00
SHP-0000042,PO-202601-000281,SUP-042,air,承运商02,合肥,WH-03,2026-01-28T12:01:00+08:00,2026-01-30T12:01:00+08:00,48,in_transit,CG000000000042,71406.05,2026-06-15T04:54:00+08:00
SHP-0000043,PO-202603-000629,SUP-036,road,承运商12,杭州,WH-05,2026-03-27T17:02:00+08:00,2026-03-27T17:02:00+08:00,0,delayed,CG000000000043,67433.61,2026-06-14T12:16:00+08:00
SHP-0000044,PO-202506-001259,SUP-023,road,承运商12,合肥,WH-06,2025-06-24T12:13:00+08:00,2025-06-24T12:13:00+08:00,0,delivered,CG000000000044,49748.8,2026-06-14T15:38:00+08:00
SHP-0000045,PO-202511-000450,SUP-016,sea,承运商07,武汉,WH-03,2025-11-04T16:07:00+08:00,2025-11-05T16:07:00+08:00,24,delivered,CG000000000045,46282.77,2026-06-14T13:51:00+08:00
SHP-0000046,PO-202604-001776,SUP-005,rail,承运商17,苏州,WH-06,2026-04-23T11:42:00+08:00,2026-04-23T17:42:00+08:00,6,delivered,CG000000000046,14789.81,2026-06-14T15:46:00+08:00
SHP-0000047,PO-202510-000708,SUP-035,air,承运商14,上海,WH-04,2025-10-17T17:27:00+08:00,2025-10-17T17:27:00+08:00,0,delayed,CG000000000047,49174.12,2026-06-14T10:50:00+08:00
SHP-0000048,PO-202604-000062,SUP-046,rail,承运商16,天津,WH-02,2026-04-18T22:59:00+08:00,2026-04-18T22:59:00+08:00,0,delivered,CG000000000048,46660.61,2026-06-15T05:33:00+08:00
SHP-0000049,PO-202511-000585,SUP-004,road,承运商22,合肥,WH-06,2025-11-22T18:24:00+08:00,2025-11-22T18:24:00+08:00,0,in_transit,CG000000000049,6191.53,2026-06-14T17:19:00+08:00
SHP-0000050,PO-202605-000778,SUP-019,sea,承运商10,成都,WH-06,2026-05-19T04:08:00+08:00,2026-05-19T04:08:00+08:00,0,delivered,CG000000000050,63429.37,2026-06-14T11:17:00+08:00
SHP-0000051,PO-202508-000383,SUP-060,rail,承运商13,上海,WH-01,2025-08-09T13:06:00+08:00,2025-08-09T13:06:00+08:00,0,delivered,CG000000000051,41802.34,2026-06-14T16:11:00+08:00
SHP-0000052,PO-202603-000618,SUP-042,sea,承运商11,宁波,WH-01,2026-03-20T01:54:00+08:00,2026-03-20T13:54:00+08:00,12,in_transit,CG000000000052,32122.99,2026-06-14T23:26:00+08:00
SHP-0000053,PO-202508-000353,SUP-011,sea,承运商12,东莞,WH-05,2025-08-21T16:52:00+08:00,2025-08-21T22:52:00+08:00,6,in_transit,CG000000000053,17465.07,2026-06-15T00:42:00+08:00
SHP-0000054,PO-202604-001497,SUP-052,road,承运商15,青岛,WH-03,2026-04-23T04:36:00+08:00,2026-04-23T10:36:00+08:00,6,in_transit,CG000000000054,66817.56,2026-06-14T18:50:00+08:00
SHP-0000055,PO-202605-000778,SUP-019,road,承运商03,苏州,WH-06,2026-05-19T04:08:00+08:00,2026-05-19T10:08:00+08:00,6,delivered,CG000000000055,45801.15,2026-06-14T18:16:00+08:00
SHP-0000056,PO-202512-001706,SUP-030,road,承运商09,上海,WH-05,2025-12-09T00:52:00+08:00,2025-12-09T00:52:00+08:00,0,delayed,CG000000000056,2254.72,2026-06-14T15:34:00+08:00
SHP-0000057,PO-202604-000648,SUP-018,sea,承运商21,武汉,WH-04,2026-05-06T10:43:00+08:00,2026-05-06T16:43:00+08:00,6,in_transit,CG000000000057,16633.6,2026-06-15T07:31:00+08:00
SHP-0000058,PO-202601-000680,SUP-041,road,承运商16,成都,WH-01,2026-01-26T00:06:00+08:00,2026-01-26T00:06:00+08:00,0,delayed,CG000000000058,63678.49,2026-06-14T17:15:00+08:00
SHP-0000059,PO-202512-001007,SUP-042,road,承运商23,合肥,WH-02,2025-12-14T03:04:00+08:00,2025-12-15T03:04:00+08:00,24,in_transit,CG000000000059,1434.48,2026-06-14T15:58:00+08:00
SHP-0000060,PO-202511-001650,SUP-012,road,承运商01,天津,WH-06,2025-11-27T16:09:00+08:00,2025-11-27T16:09:00+08:00,0,delivered,CG000000000060,54416.88,2026-06-15T04:53:00+08:00
SHP-0000061,PO-202512-000756,SUP-024,rail,承运商15,青岛,WH-06,2025-12-09T06:44:00+08:00,2025-12-09T06:44:00+08:00,0,delivered,CG000000000061,20785.27,2026-06-15T04:19:00+08:00
SHP-0000062,PO-202603-000936,SUP-006,road,承运商06,合肥,WH-01,2026-03-15T03:42:00+08:00,2026-03-15T03:42:00+08:00,0,in_transit,CG000000000062,59917.9,2026-06-15T03:09:00+08:00
SHP-0000063,PO-202605-000742,SUP-004,road,承运商12,武汉,WH-06,2026-05-24T08:05:00+08:00,2026-05-24T08:05:00+08:00,0,customs_hold,CG000000000063,34050.64,2026-06-14T22:18:00+08:00
SHP-0000064,PO-202507-000354,SUP-054,sea,承运商01,苏州,WH-06,2025-07-07T03:53:00+08:00,2025-07-07T09:53:00+08:00,6,delivered,CG000000000064,21314.02,2026-06-15T06:45:00+08:00
SHP-0000065,PO-202603-000675,SUP-028,sea,承运商03,青岛,WH-05,2026-03-22T23:36:00+08:00,2026-03-22T23:36:00+08:00,0,delivered,CG000000000065,19633.34,2026-06-14T13:45:00+08:00
SHP-0000066,PO-202512-001187,SUP-028,road,承运商15,宁波,WH-02,2025-12-17T18:11:00+08:00,2025-12-17T18:11:00+08:00,0,in_transit,CG000000000066,66719.62,2026-06-15T07:36:00+08:00
SHP-0000067,PO-202602-000278,SUP-012,rail,承运商12,宁波,WH-06,2026-02-20T06:14:00+08:00,2026-02-20T18:14:00+08:00,12,delayed,CG000000000067,16143.41,2026-06-15T04:39:00+08:00
SHP-0000068,PO-202511-000511,SUP-056,rail,承运商22,东莞,WH-01,2025-11-19T07:19:00+08:00,2025-11-19T19:19:00+08:00,12,in_transit,CG000000000068,24742.45,2026-06-14T11:01:00+08:00
SHP-0000069,PO-202511-000358,SUP-059,air,承运商17,武汉,WH-01,2025-11-23T23:11:00+08:00,2025-11-23T23:11:00+08:00,0,blocked,CG000000000069,72003.95,2026-06-15T02:46:00+08:00
SHP-0000070,PO-202604-000409,SUP-015,road,承运商23,合肥,WH-03,2026-04-26T13:10:00+08:00,2026-04-27T13:10:00+08:00,24,delayed,CG000000000070,59403.97,2026-06-15T01:16:00+08:00
SHP-0000071,PO-202603-000518,SUP-047,sea,承运商03,东莞,WH-04,2026-03-16T03:06:00+08:00,2026-03-16T03:06:00+08:00,0,delivered,CG000000000071,31460.61,2026-06-15T03:53:00+08:00
SHP-0000072,PO-202602-001041,SUP-044,road,承运商16,成都,WH-05,2026-02-13T11:13:00+08:00,2026-02-13T11:13:00+08:00,0,delivered,CG000000000072,21018.96,2026-06-14T11:35:00+08:00
SHP-0000073,PO-202509-000393,SUP-059,road,承运商06,宁波,WH-03,2025-09-29T18:34:00+08:00,2025-09-29T18:34:00+08:00,0,in_transit,CG000000000073,54690.67,2026-06-14T18:00:00+08:00
SHP-0000074,PO-202601-001173,SUP-037,road,承运商22,合肥,WH-02,2026-01-20T16:13:00+08:00,2026-01-21T16:13:00+08:00,24,in_transit,CG000000000074,65480.0,2026-06-15T05:33:00+08:00
SHP-0000075,PO-202605-000992,SUP-056,rail,承运商19,东莞,WH-02,2026-05-21T12:09:00+08:00,2026-05-21T12:09:00+08:00,0,in_transit,CG000000000075,50480.9,2026-06-14T16:11:00+08:00
SHP-0000076,PO-202508-001359,SUP-036,air,承运商11,上海,WH-02,2025-08-18T22:13:00+08:00,2025-08-18T22:13:00+08:00,0,in_transit,CG000000000076,62104.82,2026-06-15T05:41:00+08:00
SHP-0000077,PO-202602-001265,SUP-002,road,承运商08,青岛,WH-02,2026-02-14T13:00:00+08:00,2026-02-14T13:00:00+08:00,0,delivered,CG000000000077,55060.66,2026-06-14T18:18:00+08:00
SHP-0000078,PO-202512-000136,SUP-042,road,承运商16,武汉,WH-05,2025-12-09T23:09:00+08:00,2025-12-10T05:09:00+08:00,6,delayed,CG000000000078,53718.36,2026-06-15T05:30:00+08:00
SHP-0000079,PO-202605-000969,SUP-058,air,承运商08,宁波,WH-01,2026-05-16T07:16:00+08:00,2026-05-17T07:16:00+08:00,24,in_transit,CG000000000079,20221.09,2026-06-14T21:49:00+08:00
SHP-0000080,PO-202510-001426,SUP-058,road,承运商04,上海,WH-04,2025-11-01T13:01:00+08:00,2025-11-02T13:01:00+08:00,24,delayed,CG000000000080,30778.6,2026-06-14T08:35:00+08:00
SHP-0000081,PO-202511-001242,SUP-053,rail,承运商10,天津,WH-05,2025-11-18T09:10:00+08:00,2025-11-18T21:10:00+08:00,12,delayed,CG000000000081,6233.6,2026-06-15T07:37:00+08:00
SHP-0000082,PO-202512-000270,SUP-008,air,承运商01,宁波,WH-03,2025-12-27T06:55:00+08:00,2025-12-27T06:55:00+08:00,0,delayed,CG000000000082,133660.62,2026-06-14T14:21:00+08:00
SHP-0000083,PO-202602-000420,SUP-010,rail,承运商19,成都,WH-01,2026-03-02T05:34:00+08:00,2026-03-02T05:34:00+08:00,0,in_transit,CG000000000083,13413.9,2026-06-15T04:21:00+08:00
SHP-0000084,PO-202606-001687,SUP-025,road,承运商24,合肥,WH-03,2026-06-14T14:40:00+08:00,2026-06-15T14:40:00+08:00,24,delayed,CG000000000084,39599.94,2026-06-15T03:02:00+08:00
SHP-0000085,PO-202508-000799,SUP-022,rail,承运商17,成都,WH-04,2025-08-26T10:40:00+08:00,2025-08-26T10:40:00+08:00,0,delayed,CG000000000085,1733.12,2026-06-14T20:20:00+08:00
SHP-0000086,PO-202508-000999,SUP-012,road,承运商09,天津,WH-01,2025-08-10T22:36:00+08:00,2025-08-10T22:36:00+08:00,0,delivered,CG000000000086,41911.8,2026-06-14T21:33:00+08:00
SHP-0000087,PO-202509-000634,SUP-014,road,承运商20,武汉,WH-05,2025-09-17T03:41:00+08:00,2025-09-17T03:41:00+08:00,0,in_transit,CG000000000087,5293.65,2026-06-14T08:33:00+08:00
SHP-0000088,PO-202604-001387,SUP-058,road,承运商11,合肥,WH-05,2026-05-05T10:05:00+08:00,2026-05-05T10:05:00+08:00,0,delayed,CG000000000088,37268.46,2026-06-14T09:14:00+08:00
SHP-0000089,PO-202507-000346,SUP-009,sea,承运商13,苏州,WH-02,2025-07-05T18:24:00+08:00,2025-07-07T18:24:00+08:00,48,in_transit,CG000000000089,64750.86,2026-06-14T17:07:00+08:00
SHP-0000090,PO-202604-000482,SUP-009,sea,承运商15,杭州,WH-03,2026-04-12T16:09:00+08:00,2026-04-12T16:09:00+08:00,0,in_transit,CG000000000090,1850.87,2026-06-14T21:18:00+08:00
SHP-0000091,PO-202605-001406,SUP-043,road,承运商15,武汉,WH-04,2026-05-10T18:23:00+08:00,2026-05-10T18:23:00+08:00,0,in_transit,CG000000000091,36293.71,2026-06-14T09:36:00+08:00
SHP-0000092,PO-202506-001606,SUP-052,rail,承运商11,上海,WH-05,2025-06-27T11:39:00+08:00,2025-06-27T11:39:00+08:00,0,delivered,CG000000000092,47847.76,2026-06-14T17:19:00+08:00
SHP-0000093,PO-202509-000532,SUP-057,road,承运商21,上海,WH-03,2025-09-12T10:16:00+08:00,2025-09-13T10:16:00+08:00,24,customs_hold,CG000000000093,9557.35,2026-06-14T16:08:00+08:00
SHP-0000094,PO-202511-000786,SUP-037,air,承运商22,成都,WH-04,2025-11-15T11:18:00+08:00,2025-11-15T11:18:00+08:00,0,delayed,CG000000000094,150883.82,2026-06-14T17:24:00+08:00
SHP-0000095,PO-202509-000854,SUP-042,sea,承运商02,天津,WH-01,2025-09-20T20:55:00+08:00,2025-09-20T20:55:00+08:00,0,delayed,CG000000000095,29981.85,2026-06-14T16:14:00+08:00
SHP-0000096,PO-202512-000673,SUP-060,air,承运商13,东莞,WH-04,2025-12-30T13:44:00+08:00,2025-12-30T19:44:00+08:00,6,delayed,CG000000000096,100462.34,2026-06-14T20:26:00+08:00
SHP-0000097,PO-202511-001064,SUP-011,sea,承运商07,合肥,WH-03,2025-12-01T21:32:00+08:00,2025-12-02T21:32:00+08:00,24,delayed,CG000000000097,29973.5,2026-06-14T11:42:00+08:00
SHP-0000098,PO-202508-001197,SUP-025,rail,承运商21,武汉,WH-02,2025-08-07T07:31:00+08:00,2025-08-07T07:31:00+08:00,0,delayed,CG000000000098,27309.64,2026-06-14T18:30:00+08:00
SHP-0000099,PO-202604-000319,SUP-058,rail,承运商03,苏州,WH-05,2026-04-26T03:45:00+08:00,2026-04-26T03:45:00+08:00,0,delayed,CG000000000099,63792.89,2026-06-14T13:09:00+08:00
SHP-0000100,PO-202511-000513,SUP-046,sea,承运商24,合肥,WH-01,2025-11-08T11:07:00+08:00,2025-11-08T17:07:00+08:00,6,in_transit,CG000000000100,40532.21,2026-06-14T08:09:00+08:00
SHP-0000101,PO-202602-001265,SUP-002,road,承运商13,东莞,WH-05,2026-02-14T13:00:00+08:00,2026-02-14T13:00:00+08:00,0,delivered,CG000000000101,26754.75,2026-06-14T15:45:00+08:00
SHP-0000102,PO-202511-000024,SUP-036,road,承运商09,上海,WH-01,2025-11-20T08:20:00+08:00,2025-11-20T14:20:00+08:00,6,delivered,CG000000000102,32413.07,2026-06-15T02:37:00+08:00
SHP-0000103,PO-202507-001779,SUP-017,road,承运商18,上海,WH-02,2025-08-03T20:11:00+08:00,2025-08-04T08:11:00+08:00,12,customs_hold,CG000000000103,55731.85,2026-06-14T10:11:00+08:00
SHP-0000104,PO-202604-001145,SUP-053,road,承运商15,上海,WH-03,2026-04-26T02:10:00+08:00,2026-04-26T02:10:00+08:00,0,delivered,CG000000000104,16880.12,2026-06-15T04:32:00+08:00
SHP-0000105,PO-202603-000980,SUP-017,air,承运商17,青岛,WH-03,2026-03-10T09:50:00+08:00,2026-03-10T09:50:00+08:00,0,delayed,CG000000000105,107349.0,2026-06-15T03:14:00+08:00
SHP-0000106,PO-202601-000887,SUP-039,road,承运商08,成都,WH-01,2026-01-14T15:16:00+08:00,2026-01-14T15:16:00+08:00,0,delivered,CG000000000106,57289.34,2026-06-14T20:15:00+08:00
SHP-0000107,PO-202511-000144,SUP-018,road,承运商02,成都,WH-05,2025-11-08T06:03:00+08:00,2025-11-08T18:03:00+08:00,12,delayed,CG000000000107,44782.85,2026-06-14T18:50:00+08:00
SHP-0000108,PO-202511-000196,SUP-048,sea,承运商24,青岛,WH-02,2025-11-14T20:11:00+08:00,2025-11-14T20:11:00+08:00,0,in_transit,CG000000000108,2363.58,2026-06-14T20:13:00+08:00
SHP-0000109,PO-202512-000845,SUP-009,sea,承运商06,杭州,WH-03,2025-12-09T11:36:00+08:00,2025-12-09T17:36:00+08:00,6,delayed,CG000000000109,54231.66,2026-06-14T17:57:00+08:00
SHP-0000110,PO-202508-001592,SUP-025,road,承运商09,合肥,WH-04,2025-08-14T04:33:00+08:00,2025-08-16T04:33:00+08:00,48,delivered,CG000000000110,22465.37,2026-06-14T19:04:00+08:00
SHP-0000111,PO-202510-000283,SUP-005,sea,承运商12,青岛,WH-04,2025-10-13T12:03:00+08:00,2025-10-13T12:03:00+08:00,0,in_transit,CG000000000111,25273.47,2026-06-14T13:15:00+08:00
SHP-0000112,PO-202512-001366,SUP-016,sea,承运商23,苏州,WH-05,2026-01-03T15:27:00+08:00,2026-01-03T15:27:00+08:00,0,delivered,CG000000000112,44262.42,2026-06-14T23:32:00+08:00
SHP-0000113,PO-202602-001445,SUP-046,rail,承运商23,武汉,WH-02,2026-03-05T17:15:00+08:00,2026-03-05T17:15:00+08:00,0,in_transit,CG000000000113,48485.05,2026-06-15T02:59:00+08:00
SHP-0000114,PO-202605-000965,SUP-036,road,承运商04,苏州,WH-01,2026-05-10T15:49:00+08:00,2026-05-12T15:49:00+08:00,48,in_transit,CG000000000114,16812.96,2026-06-15T05:39:00+08:00
SHP-0000115,PO-202511-000291,SUP-059,sea,承运商01,苏州,WH-03,2025-11-09T21:35:00+08:00,2025-11-09T21:35:00+08:00,0,in_transit,CG000000000115,10409.5,2026-06-14T13:02:00+08:00
SHP-0000116,PO-202509-001623,SUP-058,rail,承运商21,武汉,WH-03,2025-09-18T23:02:00+08:00,2025-09-18T23:02:00+08:00,0,delayed,CG000000000116,4049.66,2026-06-14T20:07:00+08:00
SHP-0000117,PO-202508-000245,SUP-027,air,承运商21,青岛,WH-06,2025-08-16T20:39:00+08:00,2025-08-17T20:39:00+08:00,24,in_transit,CG000000000117,136095.92,2026-06-14T17:12:00+08:00
SHP-0000118,PO-202510-000324,SUP-012,sea,承运商08,武汉,WH-01,2025-10-27T16:24:00+08:00,2025-10-27T16:24:00+08:00,0,delivered,CG000000000118,47073.78,2026-06-15T00:03:00+08:00
SHP-0000119,PO-202508-000509,SUP-035,sea,承运商17,天津,WH-02,2025-08-28T03:52:00+08:00,2025-08-30T03:52:00+08:00,48,customs_hold,CG000000000119,59215.49,2026-06-14T18:11:00+08:00
SHP-0000120,PO-202606-000130,SUP-028,rail,承运商17,天津,WH-06,2026-06-21T16:41:00+08:00,2026-06-22T04:41:00+08:00,12,delivered,CG000000000120,49209.01,2026-06-14T15:19:00+08:00
SHP-0000121,PO-202510-001420,SUP-004,road,承运商11,苏州,WH-04,2025-11-01T06:37:00+08:00,2025-11-01T06:37:00+08:00,0,delivered,CG000000000121,5352.74,2026-06-15T03:19:00+08:00
SHP-0000122,PO-202605-001011,SUP-017,road,承运商14,青岛,WH-03,2026-05-30T15:57:00+08:00,2026-06-02T15:57:00+08:00,72,in_transit,CG000000000122,49377.97,2026-06-14T12:52:00+08:00
SHP-0000123,PO-202509-000767,SUP-040,sea,承运商01,合肥,WH-05,2025-09-09T23:25:00+08:00,2025-09-11T23:25:00+08:00,48,delivered,CG000000000123,13948.37,2026-06-14T16:28:00+08:00
SHP-0000124,PO-202508-000891,SUP-045,air,承运商04,武汉,WH-06,2025-08-22T13:13:00+08:00,2025-08-23T01:13:00+08:00,12,delivered,CG000000000124,26405.63,2026-06-14T19:27:00+08:00
SHP-0000125,PO-202606-001798,SUP-057,sea,承运商14,武汉,WH-01,2026-06-17T18:54:00+08:00,2026-06-18T18:54:00+08:00,24,delivered,CG000000000125,34376.28,2026-06-15T06:41:00+08:00
SHP-0000126,PO-202511-000784,SUP-058,road,承运商06,苏州,WH-02,2025-11-28T00:15:00+08:00,2025-11-28T00:15:00+08:00,0,in_transit,CG000000000126,32395.69,2026-06-15T00:43:00+08:00
SHP-0000127,PO-202506-000220,SUP-005,road,承运商24,武汉,WH-06,2025-06-26T21:47:00+08:00,2025-06-26T21:47:00+08:00,0,delayed,CG000000000127,50420.11,2026-06-15T07:28:00+08:00
