supplier_id,supplier_name,region,supplier_tier,reliability_score,quality_score,financial_risk,contact_name,contact_phone,status,updated_at
SUP-019,青岛协同供应商019,青岛,preferred,79.5,88.9,medium,供应商联系人019,13800000019,active,2026-05-30T08:00:00+08:00
SUP-020,天津协同供应商020,天津,preferred,77.9,86.8,medium,供应商联系人020,13800000020,active,2026-06-05T08:00:00+08:00
SUP-021,上海协同供应商021,上海,preferred,91.6,84.5,low,供应商联系人021,13800000021,active,2026-05-20T08:00:00+08:00
SUP-022,苏州协同供应商022,苏州,preferred,92.2,92.2,medium,供应商联系人022,13800000022,active,2026-05-29T08:00:00+08:00
SUP-023,宁波协同供应商023,宁波,preferred,75.4,91.4,low,供应商联系人023,13800000023,watchlist,2026-05-27T08:00:00+08:00
SUP-024,杭州协同供应商024,杭州,strategic,90.5,79.8,medium,供应商联系人024,13800000024,active,2026-05-20T08:00:00+08:00
SUP-025,合肥协同供应商025,合肥,approved,81.6,79.9,low,供应商联系人025,13800000025,active,2026-06-08T08:00:00+08:00
SUP-026,武汉协同供应商026,武汉,preferred,82.5,82.2,low,供应商联系人026,13800000026,active,2026-05-23T08:00:00+08:00
SUP-027,东莞协同供应商027,东莞,preferred,83.7,76.4,low,供应商联系人027,13800000027,active,2026-06-03T08:00:00+08:00
SUP-028,成都协同供应商028,成都,strategic,94.6,86.5,low,供应商联系人028,13800000028,active,2026-06-07T08:00:00+08:00
SUP-029,青岛协同供应商029,青岛,approved,84.4,98.6,low,供应商联系人029,13800000029,active,2026-06-13T08:00:00+08:00
SUP-030,天津协同供应商030,天津,strategic,86.4,98.4,medium,供应商联系人030,13800000030,active,2026-05-26T08:00:00+08:00
SUP-031,上海协同供应商031,上海,approved,80.0,78.9,medium,供应商联系人031,13800000031,active,2026-06-02T08:00:00+08:00
SUP-032,苏州协同供应商032,苏州,strategic,88.3,83.1,medium,供应商联系人032,13800000032,active,2026-05-22T08:00:00+08:00
SUP-033,宁波协同供应商033,宁波,approved,92.9,93.8,low,供应商联系人033,13800000033,active,2026-05-27T08:00:00+08:00
SUP-034,杭州协同供应商034,杭州,approved,84.3,80.0,low,供应商联系人034,13800000034,active,2026-06-03T08:00:00+08:00
SUP-035,合肥协同供应商035,合肥,strategic,92.4,89.6,low,供应商联系人035,13800000035,active,2026-06-07T08:00:00+08:00
SUP-036,武汉协同供应商036,武汉,approved,75.0,85.0,low,供应商联系人036,13800000036,watchlist,2026-05-27T08:00:00+08:00
SUP-037,东莞协同供应商037,东莞,preferred,95.8,79.1,low,供应商联系人037,13800000037,active,2026-05-24T08:00:00+08:00
SUP-038,成都协同供应商038,成都,preferred,74.0,82.6,medium,供应商联系人038,13800000038,watchlist,2026-05-26T08:00:00+08:00
SUP-039,青岛协同供应商039,青岛,strategic,72.4,92.2,low,供应商联系人039,13800000039,watchlist,2026-05-29T08:00:00+08:00
SUP-040,天津协同供应商040,天津,preferred,91.0,90.2,low,供应商联系人040,13800000040,active,2026-05-21T08:00:00+08:00
SUP-041,上海协同供应商041,上海,approved,89.6,76.9,medium,供应商联系人041,13800000041,active,2026-06-09T08:00:00+08:00
SUP-042,苏州协同供应商042,苏州,preferred,76.2,95.8,low,供应商联系人042,13800000042,active,2026-05-20T08:00:00+08:00
SUP-043,宁波协同供应商043,宁波,strategic,75.2,83.3,low,供应商联系人043,13800000043,watchlist,2026-05-18T08:00:00+08:00
SUP-044,杭州协同供应商044,杭州,preferred,81.6,88.4,medium,供应商联系人044,13800000044,active,2026-06-05T08:00:00+08:00
SUP-045,合肥协同供应商045,合肥,preferred,87.0,82.4,medium,供应商联系人045,13800000045,active,2026-06-10T08:00:00+08:00
SUP-046,武汉协同供应商046,武汉,preferred,81.2,89.4,high,供应商联系人046,13800000046,active,2026-06-03T08:00:00+08:00
SUP-047,东莞协同供应商047,东莞,strategic,87.0,80.0,medium,供应商联系人047,13800000047,active,2026-06-13T08:00:00+08:00
SUP-048,成都协同供应商048,成都,approved,78.8,94.7,low,供应商联系人048,13800000048,active,2026-06-05T08:00:00+08:00
SUP-049,青岛协同供应商049,青岛,strategic,78.0,98.1,low,供应商联系人049,13800000049,active,2026-06-01T08:00:00+08:00
SUP-050,天津协同供应商050,天津,preferred,73.2,76.6,low,供应商联系人050,13800000050,watchlist,2026-06-07T08:00:00+08:00
SUP-051,上海协同供应商051,上海,strategic,76.4,77.3,medium,供应商联系人051,13800000051,active,2026-05-19T08:00:00+08:00
SUP-052,苏州协同供应商052,苏州,approved,85.0,95.3,high,供应商联系人052,13800000052,active,2026-06-14T08:00:00+08:00
SUP-053,宁波协同供应商053,宁波,strategic,83.2,86.0,low,供应商联系人053,13800000053,active,2026-06-05T08:00:00+08:00
SUP-054,杭州协同供应商054,杭州,approved,72.9,95.8,low,供应商联系人054,13800000054,watchlist,2026-06-05T08:00:00+08:00
SUP-055,合肥协同供应商055,合肥,preferred,90.6,94.4,medium,供应商联系人055,13800000055,active,2026-05-25T08:00:00+08:00
SUP-056,武汉协同供应商056,武汉,approved,89.3,92.1,low,供应商联系人056,13800000056,active,2026-06-03T08:00:00+08:00
SUP-057,东莞协同供应商057,东莞,preferred,79.6,90.9,low,供应商联系人057,13800000057,active,2026-06-12T08:00:00+08:00
SUP-058,成都协同供应商058,成都,approved,82.0,87.8,low,供应商联系人058,13800000058,active,2026-05-18T08:00:00+08:00
SUP-059,青岛协同供应商059,青岛,approved,74.3,95.7,low,供应商联系人059,13800000059,watchlist,2026-05-31T08:00:00+08:00
SUP-060,天津协同供应商060,天津,approved,74.6,95.6,low,供应商联系人060,13800000060,watchlist,2026-05-26T08:00:00+08:00
