purchase_order_line_id,purchase_order_id,line_no,material_id,ordered_qty,received_qty,unit_cost,line_amount,warehouse_id,updated_at
PO-202604-000050-02,PO-202604-000050,2,MAT-0140,8235,4805,135.22,1113536.7,WH-06,2026-05-15T08:12:00+08:00
PO-202509-000051-01,PO-202509-000051,1,MAT-0173,2592,708,878.58,2277279.36,WH-02,2025-11-01T18:00:00+08:00
PO-202509-000051-02,PO-202509-000051,2,MAT-0091,4141,2683,68.87,285190.67,WH-05,2025-10-16T18:00:00+08:00
PO-202511-000052-01,PO-202511-000052,1,MAT-0097,5327,3977,953.91,5081478.57,WH-06,2025-12-03T08:17:00+08:00
PO-202511-000052-02,PO-202511-000052,2,MAT-0076,2218,12,324.05,718742.9,WH-02,2025-12-28T08:17:00+08:00
PO-202511-000052-03,PO-202511-000052,3,MAT-0064,8668,6100,107.24,929556.32,WH-04,2025-12-30T08:17:00+08:00
PO-202509-000053-01,PO-202509-000053,1,MAT-0116,8499,8499,102.86,874207.14,WH-05,2025-10-06T21:24:00+08:00
PO-202509-000053-02,PO-202509-000053,2,MAT-0087,5727,5727,38.82,222322.14,WH-04,2025-10-02T21:24:00+08:00
PO-202512-000054-01,PO-202512-000054,1,MAT-0042,4820,4820,426.07,2053657.4,WH-02,2026-01-21T06:13:00+08:00
PO-202605-000055-01,PO-202605-000055,1,MAT-0027,7848,5217,636.04,4991641.92,WH-01,2026-06-07T07:12:00+08:00
PO-202605-000055-02,PO-202605-000055,2,MAT-0156,4499,2289,20.58,92589.42,WH-04,2026-06-12T07:12:00+08:00
PO-202605-000055-03,PO-202605-000055,3,MAT-0059,8470,4081,766.52,6492424.4,WH-02,2026-05-20T07:12:00+08:00
PO-202605-000055-04,PO-202605-000055,4,MAT-0081,1431,347,690.28,987790.68,WH-03,2026-06-04T07:12:00+08:00
PO-202602-000056-01,PO-202602-000056,1,MAT-0053,6449,1392,34.85,224747.65,WH-02,2026-03-22T02:32:00+08:00
PO-202602-000056-02,PO-202602-000056,2,MAT-0076,4988,1463,300.89,1500839.32,WH-04,2026-02-27T02:32:00+08:00
PO-202602-000056-03,PO-202602-000056,3,MAT-0102,5141,4053,53.48,274940.68,WH-01,2026-03-23T02:32:00+08:00
PO-202511-000057-01,PO-202511-000057,1,MAT-0113,2197,2197,106.49,233958.53,WH-01,2025-11-27T10:01:00+08:00
PO-202511-000057-02,PO-202511-000057,2,MAT-0030,8422,8422,26.03,219224.66,WH-05,2025-11-26T10:01:00+08:00
PO-202511-000057-03,PO-202511-000057,3,MAT-0138,11106,11106,190.55,2116248.3,WH-01,2025-12-09T10:01:00+08:00
PO-202511-000057-04,PO-202511-000057,4,MAT-0189,2761,2761,1017.77,2810062.97,WH-05,2025-11-29T10:01:00+08:00
PO-202509-000058-01,PO-202509-000058,1,MAT-0137,10244,7120,934.81,9576193.64,WH-05,2025-10-30T04:17:00+08:00
PO-202509-000058-02,PO-202509-000058,2,MAT-0077,9365,3761,6.82,63869.3,WH-04,2025-09-22T04:17:00+08:00
PO-202509-000058-03,PO-202509-000058,3,MAT-0150,11020,2413,13.77,151745.4,WH-03,2025-10-31T04:17:00+08:00
PO-202601-000059-01,PO-202601-000059,1,MAT-0160,9763,2744,288.59,2817504.17,WH-06,2026-02-17T18:16:00+08:00
PO-202601-000059-02,PO-202601-000059,2,MAT-0017,1799,1393,85.83,154408.17,WH-02,2026-02-02T18:16:00+08:00
PO-202511-000060-01,PO-202511-000060,1,MAT-0181,10971,10971,193.53,2123217.63,WH-03,2025-12-18T15:38:00+08:00
PO-202511-000060-02,PO-202511-000060,2,MAT-0130,9789,9789,658.32,6444294.48,WH-01,2025-11-22T15:38:00+08:00
PO-202512-000061-01,PO-202512-000061,1,MAT-0034,6928,524,42.93,297419.04,WH-01,2026-01-17T12:24:00+08:00
PO-202604-000062-01,PO-202604-000062,1,MAT-0098,5055,2822,84.3,426136.5,WH-01,2026-05-18T10:59:00+08:00
PO-202604-000062-02,PO-202604-000062,2,MAT-0061,6510,3159,386.25,2514487.5,WH-02,2026-04-29T10:59:00+08:00
PO-202604-000063-01,PO-202604-000063,1,MAT-0222,7806,1173,554.16,4325772.96,WH-06,2026-04-25T16:14:00+08:00
PO-202507-000064-01,PO-202507-000064,1,MAT-0071,10504,7575,26.69,280351.76,WH-06,2025-07-25T06:32:00+08:00
PO-202507-000064-02,PO-202507-000064,2,MAT-0162,606,386,42.66,25851.96,WH-06,2025-07-27T06:32:00+08:00
PO-202507-000064-03,PO-202507-000064,3,MAT-0057,8294,1492,129.71,1075814.74,WH-01,2025-07-16T06:32:00+08:00
PO-202507-000064-04,PO-202507-000064,4,MAT-0115,2833,477,332.3,941405.9,WH-05,2025-07-27T06:32:00+08:00
PO-202509-000065-01,PO-202509-000065,1,MAT-0219,11919,11919,30.7,365913.3,WH-01,2025-10-31T03:06:00+08:00
PO-202509-000065-02,PO-202509-000065,2,MAT-0057,10916,10916,129.71,1415914.36,WH-06,2025-10-09T03:06:00+08:00
PO-202507-000066-01,PO-202507-000066,1,MAT-0032,11224,11224,391.41,4393185.84,WH-03,2025-08-13T19:50:00+08:00
PO-202507-000066-02,PO-202507-000066,2,MAT-0213,7359,7359,292.46,2152213.14,WH-03,2025-07-31T19:50:00+08:00
PO-202603-000067-01,PO-202603-000067,1,MAT-0085,4005,985,429.96,1721989.8,WH-01,2026-03-19T17:14:00+08:00
PO-202511-000068-01,PO-202511-000068,1,MAT-0181,7324,7324,222.87,1632299.88,WH-03,2025-12-10T16:48:00+08:00
PO-202602-000069-01,PO-202602-000069,1,MAT-0227,11225,8427,970.77,10896893.25,WH-01,2026-03-07T10:57:00+08:00
PO-202506-000070-01,PO-202506-000070,1,MAT-0020,8266,8266,235.01,1942592.66,WH-02,2025-07-14T01:46:00+08:00
PO-202506-000070-02,PO-202506-000070,2,MAT-0205,979,979,393.28,385021.12,WH-01,2025-07-12T01:46:00+08:00
PO-202603-000071-01,PO-202603-000071,1,MAT-0190,8188,4354,148.59,1216654.92,WH-03,2026-03-29T00:20:00+08:00
PO-202603-000071-02,PO-202603-000071,2,MAT-0109,6324,4911,39.12,247394.88,WH-06,2026-04-04T00:20:00+08:00
PO-202511-000072-01,PO-202511-000072,1,MAT-0021,4231,4231,10.96,46371.76,WH-01,2025-12-21T14:56:00+08:00
PO-202511-000072-02,PO-202511-000072,2,MAT-0046,3236,3236,1416.2,4582823.2,WH-06,2025-12-13T14:56:00+08:00
PO-202605-000073-01,PO-202605-000073,1,MAT-0100,4172,573,350.09,1460575.48,WH-01,2026-06-15T08:00:00+08:00
PO-202511-000074-01,PO-202511-000074,1,MAT-0220,1525,1525,330.68,504287.0,WH-01,2025-12-14T07:00:00+08:00
PO-202511-000074-02,PO-202511-000074,2,MAT-0147,7413,7413,605.73,4490276.49,WH-05,2025-12-02T07:00:00+08:00
PO-202506-000075-01,PO-202506-000075,1,MAT-0123,1722,1722,135.01,232487.22,WH-05,2025-08-08T07:15:00+08:00
PO-202506-000075-02,PO-202506-000075,2,MAT-0032,8597,8597,391.41,3364951.77,WH-03,2025-06-26T07:15:00+08:00
PO-202506-000075-03,PO-202506-000075,3,MAT-0235,4150,4150,138.5,574775.0,WH-05,2025-07-17T07:15:00+08:00
PO-202512-000076-01,PO-202512-000076,1,MAT-0182,9894,9894,377.29,3732907.26,WH-04,2026-01-21T20:12:00+08:00
PO-202512-000076-02,PO-202512-000076,2,MAT-0206,6484,6484,81.22,526630.48,WH-03,2026-02-06T20:12:00+08:00
PO-202512-000076-03,PO-202512-000076,3,MAT-0036,7591,7591,115.22,874635.02,WH-04,2026-02-06T20:12:00+08:00
PO-202512-000076-04,PO-202512-000076,4,MAT-0093,3926,3926,885.66,3477101.16,WH-06,2026-02-04T20:12:00+08:00
PO-202511-000077-01,PO-202511-000077,1,MAT-0120,3753,749,15.07,56557.71,WH-02,2025-12-11T11:14:00+08:00
PO-202511-000077-02,PO-202511-000077,2,MAT-0190,9777,6195,180.94,1769050.38,WH-06,2025-12-29T11:14:00+08:00
PO-202511-000077-03,PO-202511-000077,3,MAT-0089,1314,838,205.64,270210.96,WH-04,2025-12-04T11:14:00+08:00
PO-202511-000077-04,PO-202511-000077,4,MAT-0068,11775,5273,135.85,1599633.75,WH-06,2026-01-11T11:14:00+08:00
PO-202604-000078-01,PO-202604-000078,1,MAT-0038,2129,2129,640.66,1363965.14,WH-03,2026-05-01T03:51:00+08:00
PO-202604-000078-02,PO-202604-000078,2,MAT-0232,11675,11675,872.41,10185386.75,WH-06,2026-04-10T03:51:00+08:00
PO-202603-000079-01,PO-202603-000079,1,MAT-0099,3572,3572,47.97,171348.84,WH-04,2026-04-04T06:51:00+08:00
PO-202603-000079-02,PO-202603-000079,2,MAT-0084,1008,1008,409.94,413219.52,WH-05,2026-04-20T06:51:00+08:00
PO-202603-000079-03,PO-202603-000079,3,MAT-0097,2426,2426,973.6,2361953.6,WH-05,2026-04-18T06:51:00+08:00
PO-202603-000079-04,PO-202603-000079,4,MAT-0197,8868,8868,328.78,2915621.04,WH-01,2026-04-25T06:51:00+08:00
PO-202604-000080-01,PO-202604-000080,1,MAT-0015,6896,4997,294.84,2033216.64,WH-06,2026-05-07T03:47:00+08:00
PO-202604-000080-02,PO-202604-000080,2,MAT-0154,7633,1738,97.39,743377.87,WH-02,2026-05-28T03:47:00+08:00
PO-202603-000081-01,PO-202603-000081,1,MAT-0104,3084,326,822.6,2536898.4,WH-04,2026-03-17T02:48:00+08:00
PO-202603-000081-02,PO-202603-000081,2,MAT-0215,10342,1227,70.16,725594.72,WH-02,2026-03-19T02:48:00+08:00
PO-202603-000081-03,PO-202603-000081,3,MAT-0051,1731,942,45.75,79193.25,WH-06,2026-04-15T02:48:00+08:00
PO-202603-000081-04,PO-202603-000081,4,MAT-0006,7689,3891,392.6,3018701.4,WH-05,2026-03-25T02:48:00+08:00
PO-202511-000082-01,PO-202511-000082,1,MAT-0145,1624,1624,88.43,143610.32,WH-06,2025-12-19T00:42:00+08:00
PO-202511-000082-02,PO-202511-000082,2,MAT-0018,10833,10833,27.37,296499.21,WH-04,2025-12-15T00:42:00+08:00
PO-202511-000082-03,PO-202511-000082,3,MAT-0163,6860,6860,437.15,2998849.0,WH-04,2025-12-14T00:42:00+08:00
PO-202604-000083-01,PO-202604-000083,1,MAT-0066,7678,2611,175.61,1348333.58,WH-05,2026-06-02T21:40:00+08:00
PO-202507-000084-01,PO-202507-000084,1,MAT-0024,11062,4910,16.94,187390.28,WH-03,2025-07-28T21:02:00+08:00
PO-202507-000084-02,PO-202507-000084,2,MAT-0017,1622,704,85.83,139216.26,WH-05,2025-07-21T21:02:00+08:00
PO-202507-000084-03,PO-202507-000084,3,MAT-0103,6708,4523,607.08,4072292.64,WH-04,2025-08-12T21:02:00+08:00
