inspection_id,supplier_id,material_id,purchase_order_id,inspected_qty,defect_qty,defect_rate,result,inspection_type,inspected_at,inspector
QI-0000075,SUP-060,MAT-0090,PO-202509-001350,3832,209,0.05454,fail,final,2025-07-22T11:00:00+08:00,质检员06
QI-0000076,SUP-055,MAT-0068,PO-202601-001501,4393,325,0.07398,fail,final,2025-09-23T05:00:00+08:00,质检员05
QI-0000077,SUP-001,MAT-0112,PO-202603-000441,4831,1031,0.21341,fail,process,2025-08-26T01:00:00+08:00,质检员03
QI-0000078,SUP-008,MAT-0023,PO-202507-001446,2217,482,0.21741,fail,final,2026-05-08T02:00:00+08:00,质检员16
QI-0000079,SUP-019,MAT-0078,PO-202604-000713,2453,245,0.09988,fail,final,2026-05-20T20:00:00+08:00,质检员06
QI-0000080,SUP-008,MAT-0205,PO-202510-000492,3676,728,0.19804,fail,process,2026-02-06T23:00:00+08:00,质检员13
QI-0000081,SUP-034,MAT-0030,PO-202603-001151,1302,239,0.18356,fail,final,2026-06-11T22:00:00+08:00,质检员10
QI-0000082,SUP-042,MAT-0169,PO-202601-001716,1903,98,0.0515,fail,process,2026-02-18T07:00:00+08:00,质检员09
QI-0000083,SUP-007,MAT-0102,PO-202509-001785,4143,449,0.10838,fail,process,2025-11-21T07:00:00+08:00,质检员12
QI-0000084,SUP-036,MAT-0235,PO-202511-001793,386,62,0.16062,fail,process,2026-03-16T11:00:00+08:00,质检员02
QI-0000085,SUP-021,MAT-0222,PO-202508-000403,4997,801,0.1603,fail,incoming,2025-07-25T20:00:00+08:00,质检员12
QI-0000086,SUP-056,MAT-0151,PO-202601-001529,2076,154,0.07418,fail,process,2026-05-29T15:00:00+08:00,质检员16
QI-0000087,SUP-059,MAT-0003,PO-202507-001800,1690,89,0.05266,fail,final,2026-02-28T02:00:00+08:00,质检员14
QI-0000088,SUP-021,MAT-0074,PO-202604-001224,1225,184,0.1502,fail,process,2026-04-20T18:00:00+08:00,质检员06
QI-0000089,SUP-001,MAT-0204,PO-202509-000166,378,73,0.19312,fail,process,2026-04-05T23:00:00+08:00,质检员04
QI-0000090,SUP-026,MAT-0115,PO-202605-001428,4335,789,0.18201,fail,process,2025-11-10T22:00:00+08:00,质检员13
QI-0000091,SUP-038,MAT-0190,PO-202509-000343,4494,987,0.21963,fail,process,2025-09-13T19:00:00+08:00,质检员08
QI-0000092,SUP-054,MAT-0219,PO-202512-000779,3981,178,0.04471,fail,process,2025-07-10T10:00:00+08:00,质检员18
QI-0000093,SUP-039,MAT-0081,PO-202601-001157,1366,82,0.06003,fail,incoming,2025-09-13T05:00:00+08:00,质检员19
QI-0000094,SUP-022,MAT-0052,PO-202601-001519,3213,222,0.06909,fail,incoming,2025-07-13T20:00:00+08:00,质检员06
QI-0000095,SUP-046,MAT-0061,PO-202603-001554,3048,316,0.10367,fail,incoming,2026-04-20T02:00:00+08:00,质检员18
QI-0000096,SUP-005,MAT-0130,PO-202512-001575,2984,446,0.14946,fail,final,2025-09-04T21:00:00+08:00,质检员14
QI-0000097,SUP-016,MAT-0233,PO-202511-000912,4594,468,0.10187,fail,incoming,2025-08-09T05:00:00+08:00,质检员04
QI-0000098,SUP-017,MAT-0226,PO-202508-001356,4076,177,0.04342,fail,final,2026-05-15T01:00:00+08:00,质检员04
QI-0000099,SUP-039,MAT-0231,PO-202604-001014,2598,230,0.08853,fail,process,2026-04-03T21:00:00+08:00,质检员11
QI-0000100,SUP-045,MAT-0103,PO-202509-001353,1287,241,0.18726,fail,incoming,2025-11-10T23:00:00+08:00,质检员11
QI-0000101,SUP-012,MAT-0137,PO-202604-000466,2871,408,0.14211,fail,incoming,2026-02-07T14:00:00+08:00,质检员04
QI-0000102,SUP-003,MAT-0022,PO-202511-000003,437,26,0.0595,fail,process,2026-02-27T05:00:00+08:00,质检员04
QI-0000103,SUP-004,MAT-0147,PO-202510-000145,762,67,0.08793,fail,final,2026-03-30T18:00:00+08:00,质检员18
QI-0000104,SUP-047,MAT-0083,PO-202601-001495,4848,931,0.19204,fail,final,2025-11-30T07:00:00+08:00,质检员16
QI-0000105,SUP-030,MAT-0138,PO-202508-001197,4902,127,0.02591,pass,final,2025-10-13T04:00:00+08:00,质检员09
QI-0000106,SUP-037,MAT-0234,PO-202510-000731,3698,692,0.18713,fail,incoming,2025-11-16T08:00:00+08:00,质检员11
QI-0000107,SUP-012,MAT-0057,PO-202507-001622,3977,500,0.12572,fail,final,2025-08-07T12:00:00+08:00,质检员06
QI-0000108,SUP-030,MAT-0140,PO-202512-001178,4112,116,0.02821,pass,process,2025-09-29T16:00:00+08:00,质检员01
QI-0000109,SUP-009,MAT-0152,PO-202508-000874,4860,455,0.09362,fail,process,2025-12-21T13:00:00+08:00,质检员17
QI-0000110,SUP-027,MAT-0020,PO-202606-000877,4159,951,0.22866,fail,process,2026-04-19T01:00:00+08:00,质检员15
QI-0000111,SUP-002,MAT-0238,PO-202510-001376,586,99,0.16894,fail,incoming,2026-03-03T20:00:00+08:00,质检员09
QI-0000112,SUP-028,MAT-0131,PO-202508-000411,3361,348,0.10354,fail,process,2026-05-15T20:00:00+08:00,质检员09
QI-0000113,SUP-028,MAT-0043,PO-202603-000085,4390,523,0.11913,fail,final,2025-12-22T12:00:00+08:00,质检员04
QI-0000114,SUP-005,MAT-0152,PO-202604-000802,3591,500,0.13924,fail,process,2026-05-14T23:00:00+08:00,质检员01
QI-0000115,SUP-021,MAT-0115,PO-202511-001242,4740,629,0.1327,fail,process,2025-08-05T23:00:00+08:00,质检员01
QI-0000116,SUP-005,MAT-0006,PO-202506-000704,2237,351,0.15691,fail,final,2025-08-29T10:00:00+08:00,质检员11
QI-0000117,SUP-031,MAT-0007,PO-202602-000737,4936,975,0.19753,fail,process,2025-07-28T02:00:00+08:00,质检员19
QI-0000118,SUP-054,MAT-0215,PO-202604-000466,3203,206,0.06431,fail,final,2025-08-02T01:00:00+08:00,质检员10
QI-0000119,SUP-003,MAT-0225,PO-202601-001657,4541,245,0.05395,fail,process,2025-07-06T20:00:00+08:00,质检员17
QI-0000120,SUP-047,MAT-0083,PO-202601-001034,2529,473,0.18703,fail,process,2026-01-21T16:00:00+08:00,质检员14
QI-0000121,SUP-053,MAT-0037,PO-202509-001410,249,33,0.13253,fail,final,2025-08-03T06:00:00+08:00,质检员01
QI-0000122,SUP-008,MAT-0233,PO-202509-000129,4017,905,0.22529,fail,incoming,2025-10-18T08:00:00+08:00,质检员02
QI-0000123,SUP-045,MAT-0210,PO-202510-001189,2703,541,0.20015,fail,process,2025-09-19T09:00:00+08:00,质检员15
QI-0000124,SUP-023,MAT-0113,PO-202605-001358,1582,152,0.09608,fail,incoming,2026-03-30T12:00:00+08:00,质检员04
QI-0000125,SUP-015,MAT-0020,PO-202601-001502,3552,623,0.17539,fail,incoming,2025-09-27T14:00:00+08:00,质检员11
QI-0000126,SUP-008,MAT-0233,PO-202511-001064,4929,999,0.20268,fail,process,2025-06-23T01:00:00+08:00,质检员07
QI-0000127,SUP-058,MAT-0021,PO-202604-000649,146,18,0.12329,fail,incoming,2026-05-26T03:00:00+08:00,质检员11
QI-0000128,SUP-022,MAT-0069,PO-202509-000009,2764,263,0.09515,fail,final,2025-10-19T20:00:00+08:00,质检员18
QI-0000129,SUP-012,MAT-0057,PO-202509-000326,80,12,0.15,fail,final,2026-06-07T15:00:00+08:00,质检员12
QI-0000130,SUP-029,MAT-0042,PO-202511-000894,3091,73,0.02362,pass,final,2026-02-19T20:00:00+08:00,质检员03
QI-0000131,SUP-013,MAT-0094,PO-202605-000309,942,149,0.15817,fail,process,2025-11-24T01:00:00+08:00,质检员01
QI-0000132,SUP-040,MAT-0053,PO-202509-000608,3363,365,0.10853,fail,incoming,2026-05-22T10:00:00+08:00,质检员13
QI-0000133,SUP-041,MAT-0051,PO-202506-001259,2658,605,0.22761,fail,process,2025-07-30T07:00:00+08:00,质检员12
QI-0000134,SUP-034,MAT-0117,PO-202511-001148,4993,918,0.18386,fail,process,2025-11-18T22:00:00+08:00,质检员19
QI-0000135,SUP-033,MAT-0165,PO-202508-001132,3191,100,0.03134,fail,process,2026-04-18T06:00:00+08:00,质检员17
QI-0000136,SUP-039,MAT-0016,PO-202602-000118,1415,135,0.09541,fail,process,2026-03-24T16:00:00+08:00,质检员17
QI-0000137,SUP-045,MAT-0058,PO-202603-001648,4794,965,0.20129,fail,process,2026-01-24T13:00:00+08:00,质检员02
QI-0000138,SUP-045,MAT-0203,PO-202604-001586,1189,215,0.18082,fail,incoming,2025-06-23T20:00:00+08:00,质检员15
QI-0000139,SUP-004,MAT-0220,PO-202604-000431,3082,291,0.09442,fail,process,2025-10-17T10:00:00+08:00,质检员14
QI-0000140,SUP-037,MAT-0234,PO-202509-001169,1936,383,0.19783,fail,final,2025-08-22T10:00:00+08:00,质检员15
QI-0000141,SUP-015,MAT-0020,PO-202602-000420,4185,854,0.20406,fail,final,2026-03-10T04:00:00+08:00,质检员11
QI-0000142,SUP-011,MAT-0108,PO-202604-000603,4789,264,0.05513,fail,process,2025-07-15T06:00:00+08:00,质检员20
QI-0000143,SUP-045,MAT-0103,PO-202511-000574,3347,547,0.16343,fail,process,2025-07-26T22:00:00+08:00,质检员17
QI-0000144,SUP-035,MAT-0103,PO-202507-000596,1353,123,0.09091,fail,process,2025-12-04T07:00:00+08:00,质检员06
QI-0000145,SUP-027,MAT-0049,PO-202605-000925,2372,609,0.25675,fail,process,2026-01-22T21:00:00+08:00,质检员04
QI-0000146,SUP-045,MAT-0043,PO-202601-000109,1147,206,0.1796,fail,incoming,2025-07-22T00:00:00+08:00,质检员04
QI-0000147,SUP-059,MAT-0084,PO-202602-000885,2635,119,0.04516,fail,final,2025-12-24T14:00:00+08:00,质检员06
QI-0000148,SUP-033,MAT-0061,PO-202508-001174,4383,234,0.05339,fail,incoming,2025-09-02T08:00:00+08:00,质检员05
QI-0000149,SUP-033,MAT-0224,PO-202601-001315,419,27,0.06444,fail,final,2025-12-03T05:00:00+08:00,质检员12
QI-0000150,SUP-059,MAT-0049,PO-202606-001523,424,22,0.05189,fail,process,2026-06-13T21:00:00+08:00,质检员03
QI-0000151,SUP-035,MAT-0117,PO-202606-000983,4997,526,0.10526,fail,incoming,2026-03-26T01:00:00+08:00,质检员02
QI-0000152,SUP-027,MAT-0023,PO-202509-001751,2483,590,0.23762,fail,final,2026-03-07T03:00:00+08:00,质检员18
QI-0000153,SUP-025,MAT-0183,PO-202606-000565,314,57,0.18153,fail,incoming,2026-04-10T17:00:00+08:00,质检员02
QI-0000154,SUP-025,MAT-0102,PO-202602-000188,272,53,0.19485,fail,process,2026-01-29T03:00:00+08:00,质检员20
QI-0000155,SUP-002,MAT-0083,PO-202601-000208,4914,806,0.16402,fail,incoming,2025-07-28T15:00:00+08:00,质检员16
QI-0000156,SUP-026,MAT-0163,PO-202506-000897,454,87,0.19163,fail,process,2025-08-26T23:00:00+08:00,质检员09
QI-0000157,SUP-039,MAT-0081,PO-202511-000437,4902,413,0.08425,fail,process,2025-11-26T06:00:00+08:00,质检员04
QI-0000158,SUP-024,MAT-0237,PO-202507-001570,540,116,0.21481,fail,final,2026-05-10T16:00:00+08:00,质检员13
QI-0000159,SUP-034,MAT-0073,PO-202510-000499,1693,296,0.17484,fail,process,2025-09-12T19:00:00+08:00,质检员10
QI-0000160,SUP-053,MAT-0092,PO-202511-000158,3916,569,0.1453,fail,incoming,2025-09-22T17:00:00+08:00,质检员06
QI-0000161,SUP-008,MAT-0173,PO-202601-001152,4763,979,0.20554,fail,incoming,2026-02-21T01:00:00+08:00,质检员19
QI-0000162,SUP-014,MAT-0211,PO-202508-001666,608,21,0.03454,fail,final,2026-04-11T17:00:00+08:00,质检员05
QI-0000163,SUP-039,MAT-0211,PO-202510-000492,243,17,0.06996,fail,incoming,2026-03-10T02:00:00+08:00,质检员01
QI-0000164,SUP-003,MAT-0225,PO-202512-001366,4274,187,0.04375,fail,process,2026-02-14T05:00:00+08:00,质检员13
QI-0000165,SUP-014,MAT-0106,PO-202602-000913,2431,118,0.04854,fail,final,2025-09-14T23:00:00+08:00,质检员06
QI-0000166,SUP-013,MAT-0071,PO-202604-000646,505,75,0.14851,fail,incoming,2025-10-28T06:00:00+08:00,质检员13
QI-0000167,SUP-025,MAT-0076,PO-202603-000812,4694,1042,0.22199,fail,final,2026-03-12T06:00:00+08:00,质检员10
QI-0000168,SUP-047,MAT-0151,PO-202511-000688,1236,255,0.20631,fail,incoming,2025-12-29T13:00:00+08:00,质检员05
QI-0000169,SUP-056,MAT-0107,PO-202603-000526,1308,113,0.08639,fail,final,2025-11-06T01:00:00+08:00,质检员05
QI-0000170,SUP-040,MAT-0056,PO-202602-000857,767,54,0.0704,fail,process,2026-05-11T12:00:00+08:00,质检员04
QI-0000171,SUP-038,MAT-0224,PO-202508-001340,2129,399,0.18741,fail,incoming,2025-09-13T10:00:00+08:00,质检员06
QI-0000172,SUP-003,MAT-0172,PO-202606-000540,3742,176,0.04703,fail,process,2025-08-14T13:00:00+08:00,质检员17
QI-0000173,SUP-039,MAT-0113,PO-202511-000915,4887,352,0.07203,fail,incoming,2025-12-06T12:00:00+08:00,质检员18
QI-0000174,SUP-033,MAT-0184,PO-202511-000004,2831,151,0.05334,fail,final,2025-12-29T07:00:00+08:00,质检员17
QI-0000175,SUP-039,MAT-0113,PO-202605-001408,535,39,0.0729,fail,incoming,2025-07-10T04:00:00+08:00,质检员03
QI-0000176,SUP-006,MAT-0096,PO-202512-000927,1924,394,0.20478,fail,incoming,2026-01-07T23:00:00+08:00,质检员19
QI-0000177,SUP-022,MAT-0106,PO-202508-001027,1253,101,0.08061,fail,final,2025-12-27T05:00:00+08:00,质检员06
QI-0000178,SUP-018,MAT-0116,PO-202507-000979,4824,81,0.01679,pass,final,2026-01-11T11:00:00+08:00,质检员17
QI-0000179,SUP-006,MAT-0124,PO-202511-000047,949,191,0.20126,fail,final,2026-03-22T03:00:00+08:00,质检员03
QI-0000180,SUP-001,MAT-0034,PO-202603-000469,4984,792,0.15891,fail,incoming,2026-01-15T07:00:00+08:00,质检员02
QI-0000181,SUP-012,MAT-0092,PO-202510-000474,2045,343,0.16773,fail,incoming,2025-10-29T01:00:00+08:00,质检员16
QI-0000182,SUP-051,MAT-0178,PO-202512-001262,2476,606,0.24475,fail,final,2025-11-26T06:00:00+08:00,质检员02
QI-0000183,SUP-030,MAT-0067,PO-202512-000833,82,2,0.02439,pass,final,2025-11-07T05:00:00+08:00,质检员15
QI-0000184,SUP-045,MAT-0075,PO-202509-000232,3566,587,0.16461,fail,final,2025-09-04T00:00:00+08:00,质检员17
QI-0000185,SUP-008,MAT-0205,PO-202510-001310,1130,282,0.24956,fail,final,2026-02-01T06:00:00+08:00,质检员20
QI-0000186,SUP-038,MAT-0136,PO-202605-000974,1551,269,0.17344,fail,process,2026-03-27T08:00:00+08:00,质检员11
QI-0000187,SUP-035,MAT-0147,PO-202605-000148,552,58,0.10507,fail,final,2025-11-04T23:00:00+08:00,质检员06
QI-0000188,SUP-043,MAT-0162,PO-202511-001472,947,143,0.151,fail,final,2025-08-06T06:00:00+08:00,质检员14
QI-0000189,SUP-036,MAT-0021,PO-202601-000551,1123,167,0.14871,fail,process,2025-12-31T10:00:00+08:00,质检员10
QI-0000190,SUP-027,MAT-0049,PO-202606-000745,899,210,0.23359,fail,process,2025-11-22T17:00:00+08:00,质检员11
QI-0000191,SUP-028,MAT-0024,PO-202507-000979,366,45,0.12295,fail,incoming,2025-09-15T19:00:00+08:00,质检员20
QI-0000192,SUP-037,MAT-0240,PO-202507-000332,4137,856,0.20691,fail,final,2025-07-07T08:00:00+08:00,质检员03
QI-0000193,SUP-036,MAT-0155,PO-202509-000065,3522,564,0.16014,fail,incoming,2026-01-22T12:00:00+08:00,质检员20
QI-0000194,SUP-042,MAT-0196,PO-202511-000821,4422,172,0.0389,fail,process,2025-09-19T02:00:00+08:00,质检员15
QI-0000195,SUP-051,MAT-0106,PO-202510-001016,1376,315,0.22892,fail,incoming,2026-04-19T16:00:00+08:00,质检员19
QI-0000196,SUP-037,MAT-0240,PO-202507-000606,3880,799,0.20593,fail,process,2025-10-20T22:00:00+08:00,质检员20
QI-0000197,SUP-040,MAT-0090,PO-202603-001760,2367,247,0.10435,fail,process,2026-01-27T02:00:00+08:00,质检员14
QI-0000198,SUP-009,MAT-0139,PO-202510-001532,2888,309,0.10699,fail,incoming,2026-05-18T18:00:00+08:00,质检员05
QI-0000199,SUP-042,MAT-0166,PO-202603-001717,2454,115,0.04686,fail,process,2026-06-03T00:00:00+08:00,质检员04
QI-0000200,SUP-030,MAT-0067,PO-202511-001242,2503,0,0.0,pass,incoming,2026-05-24T21:00:00+08:00,质检员09
QI-0000201,SUP-040,MAT-0161,PO-202512-000115,3050,313,0.10262,fail,final,2026-02-17T19:00:00+08:00,质检员06
QI-0000202,SUP-031,MAT-0066,PO-202508-001598,1366,298,0.21816,fail,final,2025-06-21T10:00:00+08:00,质检员09
QI-0000203,SUP-034,MAT-0183,PO-202510-001355,3755,755,0.20107,fail,process,2026-01-15T06:00:00+08:00,质检员04
QI-0000204,SUP-052,MAT-0102,PO-202604-001387,2407,71,0.0295,pass,process,2026-04-28T22:00:00+08:00,质检员20
QI-0000205,SUP-033,MAT-0150,PO-202605-000925,175,12,0.06857,fail,process,2025-09-21T03:00:00+08:00,质检员19
QI-0000206,SUP-031,MAT-0116,PO-202606-000686,261,53,0.20307,fail,incoming,2025-09-01T01:00:00+08:00,质检员14
QI-0000207,SUP-054,MAT-0057,PO-202601-000208,4955,78,0.01574,pass,final,2026-04-17T07:00:00+08:00,质检员13
QI-0000208,SUP-019,MAT-0119,PO-202509-001604,3536,384,0.1086,fail,final,2026-03-20T09:00:00+08:00,质检员12
