sales_order_line_id,sales_order_id,line_no,material_id,warehouse_id,ordered_qty,allocated_qty,shipped_qty,unit_price,line_amount,requested_delivery_at,updated_at
SO-202512-000022-04,SO-202512-000022,4,MAT-0213,WH-01,4286,4286,3218,626.73,2686185.55,2025-12-25T17:07:00+08:00,2026-01-15T17:07:00+08:00
SO-202602-000023-01,SO-202602-000023,1,MAT-0069,WH-03,4216,4216,4216,725.57,3058995.74,2026-02-13T06:52:00+08:00,2026-02-13T06:52:00+08:00
SO-202602-000023-02,SO-202602-000023,2,MAT-0078,WH-02,1715,1715,1715,314.53,539416.57,2026-02-13T06:52:00+08:00,2026-02-13T06:52:00+08:00
SO-202602-000023-03,SO-202602-000023,3,MAT-0067,WH-05,1311,1311,1311,109.1,143025.8,2026-02-13T06:52:00+08:00,2026-03-02T06:52:00+08:00
SO-202604-000024-01,SO-202604-000024,1,MAT-0223,WH-01,1909,683,1692,860.0,1641748.69,2026-04-09T05:35:00+08:00,2026-04-12T05:35:00+08:00
SO-202604-000024-02,SO-202604-000024,2,MAT-0207,WH-04,1630,442,876,379.05,617849.8,2026-04-09T05:35:00+08:00,2026-04-07T05:35:00+08:00
SO-202604-000024-03,SO-202604-000024,3,MAT-0054,WH-02,1373,305,829,1194.01,1639381.08,2026-04-09T05:35:00+08:00,2026-04-19T05:35:00+08:00
SO-202604-000024-04,SO-202604-000024,4,MAT-0030,WH-05,1083,850,693,30.18,32679.63,2026-04-09T05:35:00+08:00,2026-04-24T05:35:00+08:00
SO-202603-000025-01,SO-202603-000025,1,MAT-0125,WH-02,3434,1816,1355,1247.27,4283113.89,2026-03-09T02:47:00+08:00,2026-03-18T02:47:00+08:00
SO-202603-000025-02,SO-202603-000025,2,MAT-0028,WH-03,2814,1334,374,1996.98,5619507.72,2026-03-09T02:47:00+08:00,2026-03-10T02:47:00+08:00
SO-202603-000025-03,SO-202603-000025,3,MAT-0166,WH-02,1626,1325,266,912.82,1484248.47,2026-03-09T02:47:00+08:00,2026-04-02T02:47:00+08:00
SO-202603-000025-04,SO-202603-000025,4,MAT-0072,WH-01,2286,2278,598,1359.65,3108162.06,2026-03-09T02:47:00+08:00,2026-04-03T02:47:00+08:00
SO-202509-000026-01,SO-202509-000026,1,MAT-0176,WH-04,3910,2893,501,1544.11,6037454.27,2025-09-08T04:53:00+08:00,2025-09-22T04:53:00+08:00
SO-202509-000026-02,SO-202509-000026,2,MAT-0194,WH-04,4442,3696,237,19.83,88089.02,2025-09-08T04:53:00+08:00,2025-10-01T04:53:00+08:00
SO-202508-000027-01,SO-202508-000027,1,MAT-0006,WH-01,3513,3513,3513,600.34,2108993.6,2025-08-07T00:35:00+08:00,2025-08-07T00:35:00+08:00
SO-202508-000027-02,SO-202508-000027,2,MAT-0102,WH-02,10,10,10,82.53,825.29,2025-08-07T00:35:00+08:00,2025-08-16T00:35:00+08:00
SO-202508-000027-03,SO-202508-000027,3,MAT-0168,WH-01,1431,1431,1431,869.07,1243640.32,2025-08-07T00:35:00+08:00,2025-08-09T00:35:00+08:00
SO-202508-000027-04,SO-202508-000027,4,MAT-0199,WH-02,4194,4194,4194,635.8,2666564.99,2025-08-07T00:35:00+08:00,2025-08-25T00:35:00+08:00
SO-202606-000028-01,SO-202606-000028,1,MAT-0165,WH-03,1151,1151,1151,555.54,639422.52,2026-06-08T15:34:00+08:00,2026-06-15T08:00:00+08:00
SO-202606-000028-02,SO-202606-000028,2,MAT-0125,WH-02,2093,2093,2093,1250.84,2618015.18,2026-06-08T15:34:00+08:00,2026-06-15T08:00:00+08:00
SO-202606-000028-03,SO-202606-000028,3,MAT-0056,WH-01,2709,2709,2709,582.18,1577125.32,2026-06-08T15:34:00+08:00,2026-06-11T15:34:00+08:00
SO-202601-000029-01,SO-202601-000029,1,MAT-0010,WH-05,3840,3840,3840,1107.94,4254476.67,2026-02-03T18:00:00+08:00,2026-02-15T18:00:00+08:00
SO-202601-000029-02,SO-202601-000029,2,MAT-0193,WH-01,2445,2445,2445,271.75,664440.89,2026-02-03T18:00:00+08:00,2026-02-15T18:00:00+08:00
SO-202601-000029-03,SO-202601-000029,3,MAT-0004,WH-01,3270,3270,3270,493.19,1612724.64,2026-02-03T18:00:00+08:00,2026-03-02T18:00:00+08:00
SO-202601-000029-04,SO-202601-000029,4,MAT-0182,WH-01,3314,3314,3314,478.13,1584523.3,2026-02-03T18:00:00+08:00,2026-02-15T18:00:00+08:00
SO-202602-000030-01,SO-202602-000030,1,MAT-0092,WH-06,74,33,16,236.58,17506.56,2026-02-17T04:13:00+08:00,2026-03-09T04:13:00+08:00
SO-202602-000030-02,SO-202602-000030,2,MAT-0053,WH-02,2435,1128,142,49.61,120793.85,2026-02-17T04:13:00+08:00,2026-03-03T04:13:00+08:00
SO-202605-000031-01,SO-202605-000031,1,MAT-0209,WH-03,3162,2895,2267,1570.95,4967351.61,2026-05-06T04:37:00+08:00,2026-05-08T04:37:00+08:00
SO-202605-000031-02,SO-202605-000031,2,MAT-0070,WH-06,568,393,508,151.76,86201.92,2026-05-06T04:37:00+08:00,2026-05-05T04:37:00+08:00
SO-202605-000031-03,SO-202605-000031,3,MAT-0131,WH-02,1083,372,207,688.07,745182.14,2026-05-06T04:37:00+08:00,2026-05-27T04:37:00+08:00
SO-202605-000031-04,SO-202605-000031,4,MAT-0203,WH-05,2582,2135,16,874.27,2257369.89,2026-05-06T04:37:00+08:00,2026-05-21T04:37:00+08:00
SO-202605-000031-05,SO-202605-000031,5,MAT-0206,WH-02,412,359,61,136.21,56120.48,2026-05-06T04:37:00+08:00,2026-05-13T04:37:00+08:00
SO-202512-000032-01,SO-202512-000032,1,MAT-0223,WH-01,544,544,310,912.7,496508.45,2025-12-22T06:44:00+08:00,2026-01-08T06:44:00+08:00
SO-202512-000032-02,SO-202512-000032,2,MAT-0008,WH-03,1314,1314,941,698.36,917648.68,2025-12-22T06:44:00+08:00,2025-12-20T06:44:00+08:00
SO-202512-000032-03,SO-202512-000032,3,MAT-0112,WH-02,2876,2876,2159,28.77,82748.17,2025-12-22T06:44:00+08:00,2025-12-30T06:44:00+08:00
SO-202512-000032-04,SO-202512-000032,4,MAT-0224,WH-02,1228,1228,361,428.39,526061.32,2025-12-22T06:44:00+08:00,2026-01-17T06:44:00+08:00
SO-202510-000033-01,SO-202510-000033,1,MAT-0137,WH-02,4477,1984,2738,1662.82,7444437.7,2025-10-20T05:36:00+08:00,2025-10-17T05:36:00+08:00
SO-202511-000034-01,SO-202511-000034,1,MAT-0202,WH-03,1738,1484,1505,737.62,1281976.29,2025-11-29T16:37:00+08:00,2025-12-02T16:37:00+08:00
SO-202511-000034-02,SO-202511-000034,2,MAT-0106,WH-04,2370,546,85,1227.08,2908178.17,2025-11-29T16:37:00+08:00,2025-12-02T16:37:00+08:00
SO-202601-000035-01,SO-202601-000035,1,MAT-0063,WH-01,3500,3500,3500,134.32,470137.0,2026-01-05T10:25:00+08:00,2026-01-17T10:25:00+08:00
SO-202601-000035-02,SO-202601-000035,2,MAT-0182,WH-06,2103,2103,2103,442.46,930483.12,2026-01-05T10:25:00+08:00,2026-01-19T10:25:00+08:00
SO-202510-000036-01,SO-202510-000036,1,MAT-0048,WH-06,1995,1748,1577,21.3,42497.39,2025-10-30T13:37:00+08:00,2025-10-30T13:37:00+08:00
SO-202510-000036-02,SO-202510-000036,2,MAT-0127,WH-02,2974,2294,916,1319.6,3924494.74,2025-10-30T13:37:00+08:00,2025-11-13T13:37:00+08:00
SO-202510-000036-03,SO-202510-000036,3,MAT-0033,WH-01,1856,793,1188,227.17,421631.8,2025-10-30T13:37:00+08:00,2025-11-25T13:37:00+08:00
SO-202510-000036-04,SO-202510-000036,4,MAT-0072,WH-04,1429,473,484,1387.91,1983317.71,2025-10-30T13:37:00+08:00,2025-11-03T13:37:00+08:00
SO-202602-000037-01,SO-202602-000037,1,MAT-0129,WH-04,3600,3600,3600,563.01,2026839.53,2026-02-08T18:35:00+08:00,2026-02-17T18:35:00+08:00
SO-202602-000037-02,SO-202602-000037,2,MAT-0120,WH-02,467,467,467,18.94,8844.99,2026-02-08T18:35:00+08:00,2026-02-08T18:35:00+08:00
SO-202602-000037-03,SO-202602-000037,3,MAT-0087,WH-03,3498,3498,3498,67.62,236526.12,2026-02-08T18:35:00+08:00,2026-02-14T18:35:00+08:00
SO-202602-000037-04,SO-202602-000037,4,MAT-0015,WH-02,3191,3191,3191,426.94,1362380.93,2026-02-08T18:35:00+08:00,2026-03-02T18:35:00+08:00
SO-202602-000037-05,SO-202602-000037,5,MAT-0115,WH-05,1983,1983,1983,494.18,979950.04,2026-02-08T18:35:00+08:00,2026-02-28T18:35:00+08:00
SO-202605-000038-01,SO-202605-000038,1,MAT-0171,WH-01,4121,4121,4121,1813.07,7471675.34,2026-05-09T04:29:00+08:00,2026-05-12T04:29:00+08:00
SO-202605-000038-02,SO-202605-000038,2,MAT-0214,WH-06,4296,4296,4296,288.32,1238611.32,2026-05-09T04:29:00+08:00,2026-05-15T04:29:00+08:00
SO-202605-000038-03,SO-202605-000038,3,MAT-0073,WH-04,475,475,475,31.91,15156.06,2026-05-09T04:29:00+08:00,2026-06-04T04:29:00+08:00
SO-202605-000038-04,SO-202605-000038,4,MAT-0176,WH-05,2311,2311,2311,1718.42,3971262.27,2026-05-09T04:29:00+08:00,2026-05-07T04:29:00+08:00
SO-202605-000038-05,SO-202605-000038,5,MAT-0105,WH-02,685,685,685,810.57,555239.52,2026-05-09T04:29:00+08:00,2026-05-08T04:29:00+08:00
SO-202606-000039-01,SO-202606-000039,1,MAT-0099,WH-02,2998,2998,2998,67.09,201128.21,2026-06-15T15:20:00+08:00,2026-06-15T08:00:00+08:00
SO-202602-000040-01,SO-202602-000040,1,MAT-0145,WH-01,2856,2791,1750,132.43,378228.0,2026-02-14T16:47:00+08:00,2026-02-18T16:47:00+08:00
SO-202602-000040-02,SO-202602-000040,2,MAT-0130,WH-03,2634,1262,582,894.89,2357148.27,2026-02-14T16:47:00+08:00,2026-02-14T16:47:00+08:00
SO-202602-000040-03,SO-202602-000040,3,MAT-0147,WH-05,3896,1961,1387,919.5,3582356.88,2026-02-14T16:47:00+08:00,2026-02-20T16:47:00+08:00
SO-202602-000040-04,SO-202602-000040,4,MAT-0018,WH-06,314,311,13,41.02,12879.75,2026-02-14T16:47:00+08:00,2026-02-25T16:47:00+08:00
SO-202512-000041-01,SO-202512-000041,1,MAT-0078,WH-05,3112,1160,2101,331.98,1033125.13,2025-12-10T23:05:00+08:00,2025-12-12T23:05:00+08:00
SO-202512-000041-02,SO-202512-000041,2,MAT-0131,WH-05,1610,1214,1222,715.56,1152052.52,2025-12-10T23:05:00+08:00,2025-12-21T23:05:00+08:00
SO-202512-000041-03,SO-202512-000041,3,MAT-0170,WH-01,3540,3443,3083,298.21,1055655.15,2025-12-10T23:05:00+08:00,2025-12-11T23:05:00+08:00
SO-202512-000041-04,SO-202512-000041,4,MAT-0187,WH-01,615,325,378,53.06,32630.98,2025-12-10T23:05:00+08:00,2025-12-29T23:05:00+08:00
SO-202512-000041-05,SO-202512-000041,5,MAT-0218,WH-04,2455,1907,825,226.34,555663.43,2025-12-10T23:05:00+08:00,2025-12-19T23:05:00+08:00
SO-202606-000042-01,SO-202606-000042,1,MAT-0200,WH-04,3939,3456,2162,692.4,2727378.58,2026-06-10T04:46:00+08:00,2026-06-15T08:00:00+08:00
SO-202606-000042-02,SO-202606-000042,2,MAT-0089,WH-01,955,801,137,366.93,350415.43,2026-06-10T04:46:00+08:00,2026-06-12T04:46:00+08:00
SO-202606-000042-03,SO-202606-000042,3,MAT-0231,WH-04,3270,1949,1399,473.37,1547915.3,2026-06-10T04:46:00+08:00,2026-06-15T08:00:00+08:00
SO-202606-000042-04,SO-202606-000042,4,MAT-0140,WH-05,4087,1289,3424,246.53,1007583.44,2026-06-10T04:46:00+08:00,2026-06-10T04:46:00+08:00
SO-202602-000043-01,SO-202602-000043,1,MAT-0172,WH-05,2379,2379,2379,752.95,1791277.87,2026-02-14T09:10:00+08:00,2026-03-03T09:10:00+08:00
SO-202602-000043-02,SO-202602-000043,2,MAT-0129,WH-02,2633,2633,2633,571.58,1504976.78,2026-02-14T09:10:00+08:00,2026-03-12T09:10:00+08:00
SO-202511-000044-01,SO-202511-000044,1,MAT-0163,WH-03,608,186,96,867.35,527347.05,2025-11-17T17:57:00+08:00,2025-11-30T17:57:00+08:00
SO-202511-000044-02,SO-202511-000044,2,MAT-0043,WH-04,2142,914,1508,490.51,1050667.35,2025-11-17T17:57:00+08:00,2025-12-09T17:57:00+08:00
SO-202511-000044-03,SO-202511-000044,3,MAT-0180,WH-03,2475,1521,1826,227.52,563108.66,2025-11-17T17:57:00+08:00,2025-11-28T17:57:00+08:00
SO-202511-000044-04,SO-202511-000044,4,MAT-0160,WH-02,443,291,276,486.03,215310.27,2025-11-17T17:57:00+08:00,2025-11-22T17:57:00+08:00
SO-202511-000044-05,SO-202511-000044,5,MAT-0218,WH-02,4073,1573,2726,200.6,817037.27,2025-11-17T17:57:00+08:00,2025-11-27T17:57:00+08:00
SO-202512-000045-01,SO-202512-000045,1,MAT-0193,WH-06,3064,3064,2426,238.93,732067.08,2025-12-17T14:33:00+08:00,2025-12-19T14:33:00+08:00
SO-202512-000045-02,SO-202512-000045,2,MAT-0199,WH-03,1876,1876,788,705.45,1323424.5,2025-12-17T14:33:00+08:00,2025-12-15T14:33:00+08:00
SO-202512-000045-03,SO-202512-000045,3,MAT-0108,WH-02,2057,2057,98,471.75,970398.63,2025-12-17T14:33:00+08:00,2026-01-10T14:33:00+08:00
SO-202511-000046-01,SO-202511-000046,1,MAT-0192,WH-03,4209,2286,299,117.22,493386.96,2025-11-06T13:39:00+08:00,2025-11-14T13:39:00+08:00
SO-202601-000047-01,SO-202601-000047,1,MAT-0093,WH-03,4498,4498,4498,1668.26,7503853.17,2026-01-16T12:48:00+08:00,2026-02-03T12:48:00+08:00
SO-202601-000047-02,SO-202601-000047,2,MAT-0070,WH-01,1383,1383,1383,166.34,230052.25,2026-01-16T12:48:00+08:00,2026-02-03T12:48:00+08:00
SO-202601-000047-03,SO-202601-000047,3,MAT-0073,WH-05,111,111,111,31.71,3520.09,2026-01-16T12:48:00+08:00,2026-02-08T12:48:00+08:00
SO-202601-000047-04,SO-202601-000047,4,MAT-0208,WH-04,28,28,28,190.04,5321.03,2026-01-16T12:48:00+08:00,2026-01-25T12:48:00+08:00
SO-202601-000047-05,SO-202601-000047,5,MAT-0048,WH-03,223,223,223,20.7,4616.49,2026-01-16T12:48:00+08:00,2026-01-14T12:48:00+08:00
SO-202605-000048-01,SO-202605-000048,1,MAT-0182,WH-01,694,694,694,398.58,276616.27,2026-05-29T05:14:00+08:00,2026-06-15T08:00:00+08:00
SO-202605-000048-02,SO-202605-000048,2,MAT-0172,WH-03,1588,1588,1588,837.81,1330440.64,2026-05-29T05:14:00+08:00,2026-05-31T05:14:00+08:00
SO-202605-000048-03,SO-202605-000048,3,MAT-0154,WH-04,1290,1290,1290,115.2,148603.13,2026-05-29T05:14:00+08:00,2026-05-28T05:14:00+08:00
SO-202605-000048-04,SO-202605-000048,4,MAT-0237,WH-05,2232,2232,2232,74.86,167097.79,2026-05-29T05:14:00+08:00,2026-06-05T05:14:00+08:00
SO-202605-000048-05,SO-202605-000048,5,MAT-0201,WH-06,114,114,114,640.93,73065.54,2026-05-29T05:14:00+08:00,2026-06-04T05:14:00+08:00
SO-202511-000049-01,SO-202511-000049,1,MAT-0175,WH-06,2502,2502,974,778.32,1947353.98,2025-11-29T18:16:00+08:00,2025-12-07T18:16:00+08:00
SO-202511-000049-02,SO-202511-000049,2,MAT-0223,WH-01,3320,3320,2860,872.38,2896304.58,2025-11-29T18:16:00+08:00,2025-11-26T18:16:00+08:00
SO-202511-000049-03,SO-202511-000049,3,MAT-0059,WH-06,1655,1655,726,1339.77,2217318.47,2025-11-29T18:16:00+08:00,2025-11-28T18:16:00+08:00
SO-202511-000049-04,SO-202511-000049,4,MAT-0052,WH-03,1241,1241,377,134.87,167375.06,2025-11-29T18:16:00+08:00,2025-12-18T18:16:00+08:00
SO-202511-000049-05,SO-202511-000049,5,MAT-0177,WH-03,1532,1532,505,908.13,1391247.95,2025-11-29T18:16:00+08:00,2025-12-09T18:16:00+08:00
SO-202511-000050-01,SO-202511-000050,1,MAT-0046,WH-02,2056,2056,1063,1619.35,3329392.28,2025-11-24T13:01:00+08:00,2025-12-21T13:01:00+08:00
