snapshot_id,snapshot_date,material_id,warehouse_id,inventory_value,available_qty,safety_stock_qty,allocated_qty
CAL-SNP-023,2026-07-01,CAL-MAT-023,WH-CAL,3812.5,305.0,252.5,693.18
CAL-SNP-024,2026-07-01,CAL-MAT-024,WH-CAL,7625.0,610.0,405.0,628.87
CAL-SNP-025,2026-07-01,CAL-MAT-025,WH-CAL,4187.5,335.0,267.5,957.14
CAL-SNP-026,2026-07-01,CAL-MAT-026,WH-CAL,4375.0,350.0,275.0,921.05
CAL-SNP-027,2026-07-01,CAL-MAT-027,WH-CAL,4562.5,365.0,282.5,890.24
CAL-SNP-028,2026-07-01,CAL-MAT-028,WH-CAL,4750.0,380.0,290.0,863.64
CAL-SNP-029,2026-07-01,CAL-MAT-029,WH-CAL,8562.5,685.0,442.5,706.19
CAL-SNP-030,2026-07-01,CAL-MAT-030,WH-CAL,3250.0,260.0,230.0,742.86
CAL-SNP-031,2026-07-01,CAL-MAT-031,WH-CAL,3437.5,275.0,237.5,723.68
CAL-SNP-032,2026-07-01,CAL-MAT-032,WH-CAL,3625.0,290.0,245.0,707.32
CAL-SNP-033,2026-07-01,CAL-MAT-033,WH-CAL,3812.5,305.0,252.5,693.18
CAL-SNP-034,2026-07-01,CAL-MAT-034,WH-CAL,7625.0,610.0,405.0,628.87
CAL-SNP-035,2026-07-01,CAL-MAT-035,WH-CAL,4187.5,335.0,267.5,957.14
CAL-SNP-036,2026-07-01,CAL-MAT-036,WH-CAL,4375.0,350.0,275.0,921.05
CAL-SNP-037,2026-07-01,CAL-MAT-037,WH-CAL,4562.5,365.0,282.5,890.24
CAL-SNP-038,2026-07-01,CAL-MAT-038,WH-CAL,4750.0,380.0,290.0,863.64
CAL-SNP-039,2026-07-01,CAL-MAT-039,WH-CAL,8562.5,685.0,442.5,706.19
CAL-SNP-040,2026-07-01,CAL-MAT-040,WH-CAL,3250.0,260.0,230.0,742.86
CAL-SNP-041,2026-07-01,CAL-MAT-041,WH-CAL,3437.5,275.0,237.5,723.68
CAL-SNP-042,2026-07-01,CAL-MAT-042,WH-CAL,3625.0,290.0,245.0,707.32
CAL-SNP-043,2026-07-01,CAL-MAT-043,WH-CAL,3812.5,305.0,252.5,693.18
CAL-SNP-044,2026-07-01,CAL-MAT-044,WH-CAL,7625.0,610.0,405.0,628.87
CAL-SNP-045,2026-07-01,CAL-MAT-045,WH-CAL,4187.5,335.0,267.5,957.14
CAL-SNP-046,2026-07-01,CAL-MAT-046,WH-CAL,4375.0,350.0,275.0,921.05
CAL-SNP-047,2026-07-01,CAL-MAT-047,WH-CAL,4562.5,365.0,282.5,890.24
CAL-SNP-048,2026-07-01,CAL-MAT-048,WH-CAL,4750.0,380.0,290.0,863.64
CAL-SNP-049,2026-07-01,CAL-MAT-049,WH-CAL,8562.5,685.0,442.5,706.19
CAL-SNP-050,2026-07-01,CAL-MAT-050,WH-CAL,3250.0,260.0,230.0,742.86
CAL-SNP-051,2026-07-01,CAL-MAT-051,WH-CAL,3437.5,275.0,237.5,723.68
CAL-SNP-052,2026-07-01,CAL-MAT-052,WH-CAL,3625.0,290.0,245.0,707.32
CAL-SNP-053,2026-07-01,CAL-MAT-053,WH-CAL,3812.5,305.0,252.5,693.18
CAL-SNP-054,2026-07-01,CAL-MAT-054,WH-CAL,7625.0,610.0,405.0,628.87
CAL-SNP-055,2026-07-01,CAL-MAT-055,WH-CAL,4187.5,335.0,267.5,957.14
CAL-SNP-056,2026-07-01,CAL-MAT-056,WH-CAL,4375.0,350.0,275.0,921.05
CAL-SNP-057,2026-07-01,CAL-MAT-057,WH-CAL,4562.5,365.0,282.5,890.24
CAL-SNP-058,2026-07-01,CAL-MAT-058,WH-CAL,4750.0,380.0,290.0,863.64
CAL-SNP-059,2026-07-01,CAL-MAT-059,WH-CAL,8562.5,685.0,442.5,706.19
CAL-SNP-060,2026-07-01,CAL-MAT-060,WH-CAL,6875.0,550.0,375.0,647.06
CAL-SNP-061,2026-07-01,CAL-MAT-061,WH-CAL,7062.5,565.0,382.5,642.05
CAL-SNP-062,2026-07-01,CAL-MAT-062,WH-CAL,7250.0,580.0,390.0,637.36
CAL-SNP-063,2026-07-01,CAL-MAT-063,WH-CAL,7437.5,595.0,397.5,632.98
CAL-SNP-064,2026-07-01,CAL-MAT-064,WH-CAL,4000.0,320.0,260.0,680.85
CAL-SNP-065,2026-07-01,CAL-MAT-065,WH-CAL,7812.5,625.0,412.5,735.29
CAL-SNP-066,2026-07-01,CAL-MAT-066,WH-CAL,8000.0,640.0,420.0,727.27
CAL-SNP-067,2026-07-01,CAL-MAT-067,WH-CAL,8187.5,655.0,427.5,719.78
CAL-SNP-068,2026-07-01,CAL-MAT-068,WH-CAL,8375.0,670.0,435.0,712.77
CAL-SNP-069,2026-07-01,CAL-MAT-069,WH-CAL,4937.5,395.0,297.5,840.43
CAL-SNP-070,2026-07-01,CAL-MAT-070,WH-CAL,6875.0,550.0,375.0,647.06
CAL-SNP-071,2026-07-01,CAL-MAT-071,WH-CAL,7062.5,565.0,382.5,642.05
CAL-SNP-072,2026-07-01,CAL-MAT-072,WH-CAL,7250.0,580.0,390.0,637.36
CAL-SNP-073,2026-07-01,CAL-MAT-073,WH-CAL,7437.5,595.0,397.5,632.98
CAL-SNP-074,2026-07-01,CAL-MAT-074,WH-CAL,4000.0,320.0,260.0,680.85
CAL-SNP-075,2026-07-01,CAL-MAT-075,WH-CAL,7812.5,625.0,412.5,735.29
CAL-SNP-076,2026-07-01,CAL-MAT-076,WH-CAL,8000.0,640.0,420.0,727.27
CAL-SNP-077,2026-07-01,CAL-MAT-077,WH-CAL,8187.5,655.0,427.5,719.78
CAL-SNP-078,2026-07-01,CAL-MAT-078,WH-CAL,8375.0,670.0,435.0,712.77
CAL-SNP-079,2026-07-01,CAL-MAT-079,WH-CAL,4937.5,395.0,297.5,840.43
CAL-SNP-080,2026-07-01,CAL-MAT-080,WH-CAL,6875.0,550.0,375.0,647.06
CAL-SNP-081,2026-07-01,CAL-MAT-081,WH-CAL,7062.5,565.0,382.5,642.05
CAL-SNP-082,2026-07-01,CAL-MAT-082,WH-CAL,7250.0,580.0,390.0,637.36
CAL-SNP-083,2026-07-01,CAL-MAT-083,WH-CAL,7437.5,595.0,397.5,632.98
CAL-SNP-084,2026-07-01,CAL-MAT-084,WH-CAL,4000.0,320.0,260.0,680.85
CAL-SNP-085,2026-07-01,CAL-MAT-085,WH-CAL,7812.5,625.0,412.5,735.29
CAL-SNP-086,2026-07-01,CAL-MAT-086,WH-CAL,8000.0,640.0,420.0,727.27
CAL-SNP-087,2026-07-01,CAL-MAT-087,WH-CAL,8187.5,655.0,427.5,719.78
CAL-SNP-088,2026-07-01,CAL-MAT-088,WH-CAL,8375.0,670.0,435.0,712.77
CAL-SNP-089,2026-07-01,CAL-MAT-089,WH-CAL,4937.5,395.0,297.5,840.43
CAL-SNP-090,2026-07-01,CAL-MAT-090,WH-CAL,6875.0,550.0,375.0,647.06
CAL-SNP-091,2026-07-01,CAL-MAT-091,WH-CAL,7062.5,565.0,382.5,642.05
CAL-SNP-092,2026-07-01,CAL-MAT-092,WH-CAL,7250.0,580.0,390.0,637.36
CAL-SNP-093,2026-07-01,CAL-MAT-093,WH-CAL,7437.5,595.0,397.5,632.98
CAL-SNP-094,2026-07-01,CAL-MAT-094,WH-CAL,4000.0,320.0,260.0,680.85
CAL-SNP-095,2026-07-01,CAL-MAT-095,WH-CAL,7812.5,625.0,412.5,735.29
CAL-SNP-096,2026-07-01,CAL-MAT-096,WH-CAL,8000.0,640.0,420.0,727.27
CAL-SNP-097,2026-07-01,CAL-MAT-097,WH-CAL,8187.5,655.0,427.5,719.78
CAL-SNP-098,2026-07-01,CAL-MAT-098,WH-CAL,8375.0,670.0,435.0,712.77
CAL-SNP-099,2026-07-01,CAL-MAT-099,WH-CAL,4937.5,395.0,297.5,840.43
CAL-SNP-100,2026-07-01,CAL-MAT-100,WH-CAL,6875.0,550.0,375.0,647.06
CAL-SNP-101,2026-07-01,CAL-MAT-101,WH-CAL,7062.5,565.0,382.5,642.05
CAL-SNP-102,2026-07-01,CAL-MAT-102,WH-CAL,7250.0,580.0,390.0,637.36
CAL-SNP-103,2026-07-01,CAL-MAT-103,WH-CAL,7437.5,595.0,397.5,632.98
CAL-SNP-104,2026-07-01,CAL-MAT-104,WH-CAL,4000.0,320.0,260.0,680.85
CAL-SNP-105,2026-07-01,CAL-MAT-105,WH-CAL,7812.5,625.0,412.5,735.29
CAL-SNP-106,2026-07-01,CAL-MAT-106,WH-CAL,8000.0,640.0,420.0,727.27
CAL-SNP-107,2026-07-01,CAL-MAT-107,WH-CAL,8187.5,655.0,427.5,719.78
CAL-SNP-108,2026-07-01,CAL-MAT-108,WH-CAL,8375.0,670.0,435.0,712.77
CAL-SNP-109,2026-07-01,CAL-MAT-109,WH-CAL,4937.5,395.0,297.5,840.43
CAL-SNP-110,2026-07-01,CAL-MAT-110,WH-CAL,6875.0,550.0,375.0,647.06
CAL-SNP-111,2026-07-01,CAL-MAT-111,WH-CAL,7062.5,565.0,382.5,642.05
CAL-SNP-112,2026-07-01,CAL-MAT-112,WH-CAL,7250.0,580.0,390.0,637.36
CAL-SNP-113,2026-07-01,CAL-MAT-113,WH-CAL,7437.5,595.0,397.5,632.98
CAL-SNP-114,2026-07-01,CAL-MAT-114,WH-CAL,4000.0,320.0,260.0,680.85
CAL-SNP-115,2026-07-01,CAL-MAT-115,WH-CAL,7812.5,625.0,412.5,735.29
CAL-SNP-116,2026-07-01,CAL-MAT-116,WH-CAL,8000.0,640.0,420.0,727.27
CAL-SNP-117,2026-07-01,CAL-MAT-117,WH-CAL,8187.5,655.0,427.5,719.78
CAL-SNP-118,2026-07-01,CAL-MAT-118,WH-CAL,8375.0,670.0,435.0,712.77
CAL-SNP-119,2026-07-01,CAL-MAT-119,WH-CAL,4937.5,395.0,297.5,840.43
