event_id,event_type,severity,risk_score,affected_material_id,started_at,estimated_delay_hours
CAL-EVT-065,supply_disruption,medium,26.0,CAL-MAT-065,2026-07-10T08:00:00+00:00,16.0
CAL-EVT-066,supply_disruption,medium,29.0,CAL-MAT-066,2026-07-11T08:00:00+00:00,6.0
CAL-EVT-067,supply_disruption,medium,32.0,CAL-MAT-067,2026-07-12T08:00:00+00:00,8.0
CAL-EVT-068,supply_disruption,medium,35.0,CAL-MAT-068,2026-07-13T08:00:00+00:00,10.0
CAL-EVT-069,supply_disruption,medium,88.0,CAL-MAT-069,2026-07-14T08:00:00+00:00,52.0
CAL-EVT-070,supply_disruption,medium,20.0,CAL-MAT-070,2026-07-15T08:00:00+00:00,14.0
CAL-EVT-071,supply_disruption,medium,23.0,CAL-MAT-071,2026-07-16T08:00:00+00:00,16.0
CAL-EVT-072,supply_disruption,medium,26.0,CAL-MAT-072,2026-07-17T08:00:00+00:00,6.0
CAL-EVT-073,supply_disruption,medium,29.0,CAL-MAT-073,2026-07-18T08:00:00+00:00,8.0
CAL-EVT-074,supply_disruption,medium,82.0,CAL-MAT-074,2026-07-19T08:00:00+00:00,48.0
CAL-EVT-075,supply_disruption,medium,35.0,CAL-MAT-075,2026-07-20T08:00:00+00:00,12.0
CAL-EVT-076,supply_disruption,medium,38.0,CAL-MAT-076,2026-07-21T08:00:00+00:00,14.0
CAL-EVT-077,supply_disruption,medium,20.0,CAL-MAT-077,2026-07-22T08:00:00+00:00,16.0
CAL-EVT-078,supply_disruption,medium,23.0,CAL-MAT-078,2026-07-23T08:00:00+00:00,6.0
CAL-EVT-079,supply_disruption,medium,76.0,CAL-MAT-079,2026-07-24T08:00:00+00:00,44.0
CAL-EVT-080,supply_disruption,medium,29.0,CAL-MAT-080,2026-07-25T08:00:00+00:00,10.0
CAL-EVT-081,supply_disruption,medium,32.0,CAL-MAT-081,2026-07-26T08:00:00+00:00,12.0
CAL-EVT-082,supply_disruption,medium,35.0,CAL-MAT-082,2026-07-27T08:00:00+00:00,14.0
CAL-EVT-083,supply_disruption,medium,38.0,CAL-MAT-083,2026-07-28T08:00:00+00:00,16.0
CAL-EVT-084,supply_disruption,medium,70.0,CAL-MAT-084,2026-07-01T08:00:00+00:00,40.0
CAL-EVT-085,supply_disruption,medium,23.0,CAL-MAT-085,2026-07-02T08:00:00+00:00,8.0
CAL-EVT-086,supply_disruption,medium,26.0,CAL-MAT-086,2026-07-03T08:00:00+00:00,10.0
CAL-EVT-087,supply_disruption,medium,29.0,CAL-MAT-087,2026-07-04T08:00:00+00:00,12.0
CAL-EVT-088,supply_disruption,medium,32.0,CAL-MAT-088,2026-07-05T08:00:00+00:00,14.0
CAL-EVT-089,supply_disruption,medium,85.0,CAL-MAT-089,2026-07-06T08:00:00+00:00,60.0
CAL-EVT-090,supply_disruption,medium,38.0,CAL-MAT-090,2026-07-07T08:00:00+00:00,6.0
CAL-EVT-091,supply_disruption,medium,20.0,CAL-MAT-091,2026-07-08T08:00:00+00:00,8.0
CAL-EVT-092,supply_disruption,medium,23.0,CAL-MAT-092,2026-07-09T08:00:00+00:00,10.0
CAL-EVT-093,supply_disruption,medium,26.0,CAL-MAT-093,2026-07-10T08:00:00+00:00,12.0
CAL-EVT-094,supply_disruption,medium,79.0,CAL-MAT-094,2026-07-11T08:00:00+00:00,56.0
CAL-EVT-095,supply_disruption,medium,32.0,CAL-MAT-095,2026-07-12T08:00:00+00:00,16.0
CAL-EVT-096,supply_disruption,medium,35.0,CAL-MAT-096,2026-07-13T08:00:00+00:00,6.0
CAL-EVT-097,supply_disruption,medium,38.0,CAL-MAT-097,2026-07-14T08:00:00+00:00,8.0
CAL-EVT-098,supply_disruption,medium,20.0,CAL-MAT-098,2026-07-15T08:00:00+00:00,10.0
CAL-EVT-099,supply_disruption,medium,73.0,CAL-MAT-099,2026-07-16T08:00:00+00:00,52.0
CAL-EVT-100,supply_disruption,medium,26.0,CAL-MAT-100,2026-07-17T08:00:00+00:00,14.0
CAL-EVT-101,supply_disruption,medium,29.0,CAL-MAT-101,2026-07-18T08:00:00+00:00,16.0
CAL-EVT-102,supply_disruption,medium,32.0,CAL-MAT-102,2026-07-19T08:00:00+00:00,6.0
CAL-EVT-103,supply_disruption,medium,35.0,CAL-MAT-103,2026-07-20T08:00:00+00:00,8.0
CAL-EVT-104,supply_disruption,medium,88.0,CAL-MAT-104,2026-07-21T08:00:00+00:00,48.0
CAL-EVT-105,supply_disruption,medium,20.0,CAL-MAT-105,2026-07-22T08:00:00+00:00,12.0
CAL-EVT-106,supply_disruption,medium,23.0,CAL-MAT-106,2026-07-23T08:00:00+00:00,14.0
CAL-EVT-107,supply_disruption,medium,26.0,CAL-MAT-107,2026-07-24T08:00:00+00:00,16.0
CAL-EVT-108,supply_disruption,medium,29.0,CAL-MAT-108,2026-07-25T08:00:00+00:00,6.0
CAL-EVT-109,supply_disruption,medium,82.0,CAL-MAT-109,2026-07-26T08:00:00+00:00,44.0
CAL-EVT-110,supply_disruption,medium,35.0,CAL-MAT-110,2026-07-27T08:00:00+00:00,10.0
CAL-EVT-111,supply_disruption,medium,38.0,CAL-MAT-111,2026-07-28T08:00:00+00:00,12.0
CAL-EVT-112,supply_disruption,medium,20.0,CAL-MAT-112,2026-07-01T08:00:00+00:00,14.0
CAL-EVT-113,supply_disruption,medium,23.0,CAL-MAT-113,2026-07-02T08:00:00+00:00,16.0
CAL-EVT-114,supply_disruption,medium,76.0,CAL-MAT-114,2026-07-03T08:00:00+00:00,40.0
CAL-EVT-115,supply_disruption,medium,29.0,CAL-MAT-115,2026-07-04T08:00:00+00:00,8.0
CAL-EVT-116,supply_disruption,medium,32.0,CAL-MAT-116,2026-07-05T08:00:00+00:00,10.0
CAL-EVT-117,supply_disruption,medium,35.0,CAL-MAT-117,2026-07-06T08:00:00+00:00,12.0
CAL-EVT-118,supply_disruption,medium,38.0,CAL-MAT-118,2026-07-07T08:00:00+00:00,14.0
CAL-EVT-119,supply_disruption,medium,70.0,CAL-MAT-119,2026-07-08T08:00:00+00:00,60.0
