case_id,event_id,selected_strategy,created_at,outcome_status,covered_demand_rate,actual_delay_hours,predicted_delay_hours,actual_cost,predicted_cost,lost_orders,production_downtime_hours,human_rating
CAL-CASE-038,CAL-EVT-038,emergency_purchase,2026-07-11T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-039,CAL-EVT-039,emergency_purchase,2026-07-12T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-040,CAL-EVT-040,emergency_purchase,2026-07-13T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-041,CAL-EVT-041,emergency_purchase,2026-07-14T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-042,CAL-EVT-042,emergency_purchase,2026-07-15T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-043,CAL-EVT-043,emergency_purchase,2026-07-16T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-044,CAL-EVT-044,emergency_purchase,2026-07-17T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-045,CAL-EVT-045,emergency_purchase,2026-07-18T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-046,CAL-EVT-046,emergency_purchase,2026-07-19T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-047,CAL-EVT-047,emergency_purchase,2026-07-20T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-048,CAL-EVT-048,emergency_purchase,2026-07-21T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-049,CAL-EVT-049,emergency_purchase,2026-07-22T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-050,CAL-EVT-050,emergency_purchase,2026-07-23T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-051,CAL-EVT-051,emergency_purchase,2026-07-24T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-052,CAL-EVT-052,emergency_purchase,2026-07-25T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-053,CAL-EVT-053,emergency_purchase,2026-07-26T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-054,CAL-EVT-054,emergency_purchase,2026-07-27T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-055,CAL-EVT-055,emergency_purchase,2026-07-28T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-056,CAL-EVT-056,emergency_purchase,2026-07-01T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-057,CAL-EVT-057,emergency_purchase,2026-07-02T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-058,CAL-EVT-058,emergency_purchase,2026-07-03T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-059,CAL-EVT-059,emergency_purchase,2026-07-04T08:00:00+00:00,failed,0.3,30.0,10.0,1500.0,1000.0,2,8.0,2
CAL-CASE-060,CAL-EVT-060,standard_replenishment,2026-07-05T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-061,CAL-EVT-061,standard_replenishment,2026-07-06T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-062,CAL-EVT-062,standard_replenishment,2026-07-07T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-063,CAL-EVT-063,standard_replenishment,2026-07-08T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-064,CAL-EVT-064,standard_replenishment,2026-07-09T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-065,CAL-EVT-065,standard_replenishment,2026-07-10T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-066,CAL-EVT-066,standard_replenishment,2026-07-11T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-067,CAL-EVT-067,standard_replenishment,2026-07-12T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-068,CAL-EVT-068,standard_replenishment,2026-07-13T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-069,CAL-EVT-069,standard_replenishment,2026-07-14T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-070,CAL-EVT-070,standard_replenishment,2026-07-15T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-071,CAL-EVT-071,standard_replenishment,2026-07-16T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-072,CAL-EVT-072,standard_replenishment,2026-07-17T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-073,CAL-EVT-073,standard_replenishment,2026-07-18T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-074,CAL-EVT-074,standard_replenishment,2026-07-19T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-075,CAL-EVT-075,standard_replenishment,2026-07-20T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-076,CAL-EVT-076,standard_replenishment,2026-07-21T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-077,CAL-EVT-077,standard_replenishment,2026-07-22T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-078,CAL-EVT-078,standard_replenishment,2026-07-23T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-079,CAL-EVT-079,standard_replenishment,2026-07-24T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-080,CAL-EVT-080,standard_replenishment,2026-07-25T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-081,CAL-EVT-081,standard_replenishment,2026-07-26T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-082,CAL-EVT-082,standard_replenishment,2026-07-27T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-083,CAL-EVT-083,standard_replenishment,2026-07-28T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-084,CAL-EVT-084,standard_replenishment,2026-07-01T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-085,CAL-EVT-085,standard_replenishment,2026-07-02T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-086,CAL-EVT-086,standard_replenishment,2026-07-03T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-087,CAL-EVT-087,standard_replenishment,2026-07-04T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-088,CAL-EVT-088,standard_replenishment,2026-07-05T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-089,CAL-EVT-089,standard_replenishment,2026-07-06T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-090,CAL-EVT-090,standard_replenishment,2026-07-07T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-091,CAL-EVT-091,standard_replenishment,2026-07-08T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-092,CAL-EVT-092,standard_replenishment,2026-07-09T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-093,CAL-EVT-093,standard_replenishment,2026-07-10T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-094,CAL-EVT-094,standard_replenishment,2026-07-11T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-095,CAL-EVT-095,standard_replenishment,2026-07-12T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-096,CAL-EVT-096,standard_replenishment,2026-07-13T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-097,CAL-EVT-097,standard_replenishment,2026-07-14T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-098,CAL-EVT-098,standard_replenishment,2026-07-15T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-099,CAL-EVT-099,standard_replenishment,2026-07-16T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-100,CAL-EVT-100,standard_replenishment,2026-07-17T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-101,CAL-EVT-101,standard_replenishment,2026-07-18T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-102,CAL-EVT-102,standard_replenishment,2026-07-19T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-103,CAL-EVT-103,standard_replenishment,2026-07-20T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-104,CAL-EVT-104,standard_replenishment,2026-07-21T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-105,CAL-EVT-105,standard_replenishment,2026-07-22T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-106,CAL-EVT-106,standard_replenishment,2026-07-23T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-107,CAL-EVT-107,standard_replenishment,2026-07-24T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-108,CAL-EVT-108,standard_replenishment,2026-07-25T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-109,CAL-EVT-109,standard_replenishment,2026-07-26T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-110,CAL-EVT-110,standard_replenishment,2026-07-27T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-111,CAL-EVT-111,standard_replenishment,2026-07-28T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-112,CAL-EVT-112,standard_replenishment,2026-07-01T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-113,CAL-EVT-113,standard_replenishment,2026-07-02T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-114,CAL-EVT-114,standard_replenishment,2026-07-03T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-115,CAL-EVT-115,standard_replenishment,2026-07-04T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-116,CAL-EVT-116,standard_replenishment,2026-07-05T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-117,CAL-EVT-117,standard_replenishment,2026-07-06T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-118,CAL-EVT-118,standard_replenishment,2026-07-07T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
CAL-CASE-119,CAL-EVT-119,standard_replenishment,2026-07-08T08:00:00+00:00,success,0.95,4.0,10.0,1000.0,1000.0,0,0.0,5
